NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_JUNCTION_ASSEMBLY	Details ...	474	0.14857109	3.6767015	0.0	0.0	0.0	3747	tags=41%, list=26%, signal=53%	
GOBP_GOLGI_VESICLE_TRANSPORT	GOBP_GOLGI_VESICLE_TRANSPORT	Details ...	264	0.19630374	3.6483612	0.0	0.0	0.0	7494	tags=72%, list=53%, signal=149%	
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	GOBP_CELL_CELL_JUNCTION_ORGANIZATION	Details ...	203	0.21859615	3.5663009	0.0	0.0	0.0	2469	tags=39%, list=17%, signal=46%	
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	192	0.22294556	3.5568779	0.0	0.0	0.0	4204	tags=52%, list=30%, signal=72%	
GOBP_SENSORY_SYSTEM_DEVELOPMENT	GOBP_SENSORY_SYSTEM_DEVELOPMENT	Details ...	391	0.15224195	3.548705	0.0	0.0	0.0	5495	tags=53%, list=39%, signal=85%	
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	Details ...	348	0.16277319	3.4990277	0.0	0.0	0.0	6772	tags=64%, list=48%, signal=118%	
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	Details ...	141	0.24927768	3.4531984	0.0	0.0	0.0	7987	tags=81%, list=56%, signal=183%	
GOBP_CELL_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_CELL_JUNCTION_ASSEMBLY	Details ...	140	0.24299106	3.4399753	0.0	0.0	0.0	2469	tags=41%, list=17%, signal=50%	
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	92	0.29316363	3.3339727	0.0	0.0	0.0	4204	tags=59%, list=30%, signal=83%	
GOBP_ENDOTHELIUM_DEVELOPMENT	GOBP_ENDOTHELIUM_DEVELOPMENT	Details ...	144	0.23969802	3.3194857	0.0	1.177682E-4	0.001	3439	tags=48%, list=24%, signal=63%	
GOBP_ENDOTHELIAL_CELL_DIFFERENTIATION	GOBP_ENDOTHELIAL_CELL_DIFFERENTIATION	Details ...	119	0.2585634	3.2935185	0.0	1.07062E-4	0.001	3762	tags=52%, list=26%, signal=70%	
GOBP_CELL_PROJECTION_ASSEMBLY	GOBP_CELL_PROJECTION_ASSEMBLY	Details ...	475	0.13151276	3.2727404	0.0	9.814016E-5	0.001	5167	tags=49%, list=36%, signal=74%	
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT	GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT	Details ...	282	0.1652046	3.2693915	0.0	9.059092E-5	0.001	4958	tags=51%, list=35%, signal=77%	
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	Details ...	39	0.43080974	3.252105	0.0	8.412013E-5	0.001	2276	tags=59%, list=16%, signal=70%	
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	Details ...	375	0.145212	3.2049613	0.0	7.851212E-5	0.001	6028	tags=57%, list=42%, signal=96%	
GOBP_EPITHELIAL_CELL_DEVELOPMENT	GOBP_EPITHELIAL_CELL_DEVELOPMENT	Details ...	233	0.18168178	3.1902897	0.0	7.360512E-5	0.001	3439	tags=42%, list=24%, signal=55%	
GOBP_SENSORY_PERCEPTION	GOBP_SENSORY_PERCEPTION	Details ...	362	0.14428805	3.1441147	0.0	6.927541E-5	0.001	3617	tags=40%, list=25%, signal=52%	
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	Details ...	479	0.12109108	3.1180987	0.0	6.542677E-5	0.001	5490	tags=50%, list=39%, signal=79%	
GOBP_NEURAL_TUBE_DEVELOPMENT	GOBP_NEURAL_TUBE_DEVELOPMENT	Details ...	179	0.19887543	3.111677	0.0	6.198326E-5	0.001	6025	tags=62%, list=42%, signal=106%	
GOBP_MECHANORECEPTOR_DIFFERENTIATION	GOBP_MECHANORECEPTOR_DIFFERENTIATION	Details ...	77	0.2954325	3.1045694	0.0	1.18194286E-4	0.002	3762	tags=56%, list=26%, signal=76%	
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION		491	0.123995855	3.1000924	0.0	1.6821962E-4	0.003	8202	tags=70%, list=58%, signal=159%	
GOBP_CELLULAR_COMPONENT_MAINTENANCE	GOBP_CELLULAR_COMPONENT_MAINTENANCE		84	0.28600904	3.0693538	0.0	2.1533696E-4	0.004	2389	tags=45%, list=17%, signal=54%	
GOBP_AXON_DEVELOPMENT	GOBP_AXON_DEVELOPMENT		487	0.11984259	3.0423014	0.0	2.0597449E-4	0.004	5887	tags=53%, list=41%, signal=87%	
GOBP_POSTSYNAPSE_ORGANIZATION	GOBP_POSTSYNAPSE_ORGANIZATION		274	0.15887648	3.0318682	0.0	2.4798894E-4	0.005	3129	tags=38%, list=22%, signal=47%	
GOBP_APICAL_JUNCTION_ASSEMBLY	GOBP_APICAL_JUNCTION_ASSEMBLY		80	0.29494292	3.0185688	0.0	2.3806939E-4	0.005	3472	tags=54%, list=24%, signal=71%	
GOBP_HAIR_CELL_DIFFERENTIATION	GOBP_HAIR_CELL_DIFFERENTIATION		54	0.3413044	2.9973361	0.0	2.2891288E-4	0.005	3591	tags=59%, list=25%, signal=79%	
GOBP_CILIUM_ORGANIZATION	GOBP_CILIUM_ORGANIZATION		303	0.14799793	2.9970117	0.0	2.2043461E-4	0.005	5167	tags=51%, list=36%, signal=78%	
