gene,slope_z,r,p,n_cells_expr
Xkr4,0.09517996284870289,0.10008812003057313,0.38014472396590393,79
Rp1,0.05437340175010697,0.06279771162653718,0.6335989878808961,60
Sox17,0.06138082358123384,0.043646247518879744,1.0490688325442464e-05,10187
Mrpl15,-0.011578259764566085,-0.012299094409122377,0.006842638461727185,48349
Lypla1,0.009892691193547833,0.009509366911552053,0.04389648361497593,44904
Tcea1,0.01330850916787765,0.013799952711405822,0.0007475528929632377,59686
Rgs20,0.04096314078003722,0.0593425029798209,0.045535288600881366,1136
Atp6v1h,0.028959911669987473,0.029080634393530203,1.8839886769153676e-06,26845
Npbwr1,-0.0014683812686176094,-0.0045184037906500964,0.9418637843625284,263
Rb1cc1,0.024207314084354545,0.022663689284461126,5.358913441138729e-05,31761
St18,0.19065162302239835,0.12175313170561002,1.2345599257942237e-05,1282
Pcmtd1,0.041600243868715206,0.03895459562030621,1.2647091664736901e-15,42125
Sntg1,-0.002744198744155165,-0.0023213016773033337,0.9603141278265644,462
Rrs1,0.01394616931096569,0.017692356718936205,0.00135597358124594,32790
Adhfe1,-0.05883951578498318,-0.07205626297402243,3.2358264469360685e-09,6733
2610203C22Rik,0.10235975077541964,0.07770058375978471,0.00638110090702759,1231
3110035E14Rik,-0.41461440607479166,-0.28134994306761035,0.216642859997591,21
Mybl1,0.00772318901565242,0.011676389712795856,0.7690131104178899,635
Vcpip1,0.004226029878889266,0.004029609727223176,0.6360994301608109,13790
1700034P13Rik,0.03662205740699801,0.05321373672862273,0.2859605688057039,404
Sgk3,0.03367634254145814,0.041192233611170866,3.844372157236009e-11,25730
6030422M02Rik,0.012604336298746993,0.015146433460593663,0.6933842087099888,680
Snhg6,0.019903645773824512,0.022665191758758887,1.6149391346757924e-06,44775
Ppp1r42,-0.02199837821398816,-0.04837937337705551,0.0006214247842670998,5000
Cops5,0.0037439811018119408,0.004074613003071547,0.39103012131446957,44317
Cspp1,0.029807175850891956,0.02789259361867547,0.0008962735142739145,14175
Arfgef1,0.02518985570042033,0.023848674578235217,1.0604283503515296e-05,34101
Cpa6,0.008681231852005295,0.02151179525342526,0.7041579749997001,314
Prex2,0.12766632599985242,0.09475227822765765,1.7528008641961556e-18,8535
A830018L16Rik,-0.03371921090126387,-0.047970468765162234,0.6746193886302444,79
Sulf1,0.017269922723662155,0.018027247877447965,0.14812693453709797,6437
Slco5a1,-0.029076086486482695,-0.04074791017013884,0.4307974631472101,376
Prdm14,0.12281082315169621,0.07741055234896196,0.48398978091868494,84
Ncoa2,0.0019220299362514319,0.0017094592984603842,0.8397171714996498,14001
Tram1,-0.005190521704009204,-0.005344714072378937,0.13150803178654896,79628
Lactb2,-0.051583175729830844,-0.050876235960340625,2.698492521352211e-08,11930
Xkr9,-0.05099656922934447,-0.015406183009432712,0.7179766576946259,552
Gm5523,-0.032433075383297344,-0.025665939947601312,0.17339796959989043,2815
Eya1,0.06806897030107782,0.06812936159050241,0.04393041733675942,875
Msc,-0.07114739307712785,-0.08829615047526536,2.2577361461964006e-05,2297
Kcnb2,-0.017857276381093603,-0.01995463809821431,0.7674833181180355,222
Terf1,0.045243022040916694,0.04849456157031275,4.609076283953979e-10,16497
Gm106,-0.013166390087134789,-0.0166309835592037,0.48813213558430624,1740
4930444P10Rik,0.04405444755329786,0.07211456572950754,0.6948937348522947,32
Rpl7,-0.06284829275059235,-0.06419674352139397,1.3531516883064918e-135,148733
Rdh10,-0.020221817552254218,-0.017809076483911793,0.06671750568546363,10601
Stau2,-0.012171899791560345,-0.012799256336855278,0.41459786402154697,4065
Ube2w,0.021132390008139122,0.02136819405748001,0.00012349700230949388,32274
Tceb1,0.030410661329852758,0.03113312743064534,7.886856266049183e-20,85673
D030040B21Rik,0.07613510459447118,0.06957428923835125,0.35610312685711243,178
Tmem70,0.014225568817580855,0.014965689818162606,0.007513811702634688,31904
Ly96,0.03421323383379495,0.033090796872881606,9.306464303916113e-07,21969
Jph1,-0.01879605989139651,-0.026741400607257174,0.3775489363204779,1091
Gdap1,0.18831944866304087,0.14382232876435275,1.4349599636942364e-05,903
Pi15,0.006165883559051532,0.007038863677642643,0.7243239593421609,2513
Crispld1,0.03932390421246381,0.03319486218743026,0.048824587266991556,3523
Tfap2b,-0.007682820876538305,-0.014787203562734002,0.27706154371317143,5405
Pkhd1,-0.02414804086244512,-0.029939204508944363,0.05977778799447691,3954
Il17a,-0.10301898850676525,-0.2053190083672096,0.06769311758580213,80
Il17f,0.05648234532608758,0.05887853392091209,0.6158262046731047,75
Mcm3,0.008545628322948978,0.010970384043043688,0.1367406170538337,18400
6720483E21Rik,0.06141276087955891,0.05018183333241904,0.6584497160189894,80
Paqr8,-0.034309833462421745,-0.023270800415476058,0.3597440256953004,1551
Efhc1,0.043383743762496596,0.03583704573089072,0.31844433683777873,777
Tram2,0.052154773291724146,0.05461237981199248,0.16628266602158673,644
Tmem14a,0.006023929384100328,0.007232712699356987,0.5888827579034069,5586
Gsta3,0.02245597786288308,0.018750036947760347,0.03519720962423225,12617
Gm4956,0.10362723668679183,0.09049749750772468,2.4647107372777275e-05,2166
Khdc1a,-0.028365289249401685,-0.05529956751844024,0.2841795321913353,377
Khdc1c,-0.06724995067062524,-0.18723932131954762,0.0772043764852267,90
Khdc1b,-0.05851166585457254,-0.9999999999999967,5.713263971524577e-271,40
Kcnq5,-0.007543884896933041,-0.013777394859294618,0.6373676176096084,1173
Rims1,-0.08175990392382712,-0.04414387301016815,0.8377169942276563,24
Ogfrl1,-0.007163616299384331,-0.00890862771711958,0.09701217300086588,34702
B3gat2,-0.017019707905783166,-0.02682844713966009,0.16522897475668,2677
Smap1,0.008810031743591618,0.008732016530003373,0.03435929064889102,58713
1110058L19Rik,-0.0013701886239260888,-0.001333821272994212,0.807776513159917,33274
Fam135a,0.12232465963602453,0.09071553457102295,7.056144170151049e-18,8982
Col9a1,-0.020717347608362843,-0.033080350379641264,0.7582711131705637,89
Col19a1,-0.02658410091249127,-0.033713439769501884,0.541056793629894,331
