gene,slope_z,r,p,n_cells_expr,biotype
Xkr4,0.0951799628487028,0.1000881200305731,0.3801447239659039,79,protein-coding
Rp1,0.0543734017501069,0.0627977116265371,0.6335989878808961,60,protein-coding
Sox17,0.0613808235812338,0.0436462475188797,1.0490688325442464e-05,10187,protein-coding
Mrpl15,-0.011578259764566,-0.0122990944091223,0.0068426384617271,48349,protein-coding
Lypla1,0.0098926911935478,0.009509366911552,0.0438964836149759,44904,protein-coding
Tcea1,0.0133085091678776,0.0137999527114058,0.0007475528929632,59686,protein-coding
Rgs20,0.0409631407800372,0.0593425029798209,0.0455352886008813,1136,protein-coding
Atp6v1h,0.0289599116699874,0.0290806343935302,1.883988676915368e-06,26845,protein-coding
Npbwr1,-0.0014683812686176,-0.00451840379065,0.9418637843625284,263,protein-coding
Rb1cc1,0.0242073140843545,0.0226636892844611,5.358913441138729e-05,31761,protein-coding
St18,0.1906516230223983,0.12175313170561,1.2345599257942235e-05,1282,protein-coding
Pcmtd1,0.0416002438687152,0.0389545956203062,1.2647091664736901e-15,42125,protein-coding
Sntg1,-0.0027441987441551,-0.0023213016773033,0.9603141278265644,462,protein-coding
Rrs1,0.0139461693109656,0.0176923567189362,0.0013559735812459,32790,protein-coding
Adhfe1,-0.0588395157849831,-0.0720562629740224,3.235826446936068e-09,6733,protein-coding
Mybl1,0.0077231890156524,0.0116763897127958,0.7690131104178899,635,protein-coding
Vcpip1,0.0042260298788892,0.0040296097272231,0.6360994301608109,13790,protein-coding
Sgk3,0.0336763425414581,0.0411922336111708,3.844372157236009e-11,25730,protein-coding
Ppp1r42,-0.0219983782139881,-0.0483793733770555,0.000621424784267,5000,protein-coding
Cops5,0.0037439811018119,0.0040746130030715,0.3910301213144695,44317,protein-coding
Cspp1,0.0298071758508919,0.0278925936186754,0.0008962735142739,14175,protein-coding
Arfgef1,0.0251898557004203,0.0238486745782352,1.0604283503515296e-05,34101,protein-coding
Cpa6,0.0086812318520052,0.0215117952534252,0.7041579749997001,314,protein-coding
Prex2,0.1276663259998524,0.0947522782276576,1.7528008641961556e-18,8535,protein-coding
A830018L16Rik,-0.0337192109012638,-0.0479704687651622,0.6746193886302444,79,protein-coding
Sulf1,0.0172699227236621,0.0180272478774479,0.1481269345370979,6437,protein-coding
Slco5a1,-0.0290760864864826,-0.0407479101701388,0.4307974631472101,376,protein-coding
Prdm14,0.1228108231516962,0.0774105523489619,0.4839897809186849,84,protein-coding
Ncoa2,0.0019220299362514,0.0017094592984603,0.8397171714996498,14001,protein-coding
Tram1,-0.0051905217040092,-0.0053447140723789,0.1315080317865489,79628,protein-coding
Lactb2,-0.0515831757298308,-0.0508762359603406,2.6984925213522112e-08,11930,protein-coding
Xkr9,-0.0509965692293444,-0.0154061830094327,0.7179766576946259,552,protein-coding
Eya1,0.0680689703010778,0.0681293615905024,0.0439304173367594,875,protein-coding
Msc,-0.0711473930771278,-0.0882961504752653,2.257736146196401e-05,2297,protein-coding
Kcnb2,-0.0178572763810936,-0.0199546380982143,0.7674833181180355,222,protein-coding
Terf1,0.0452430220409166,0.0484945615703127,4.609076283953979e-10,16497,protein-coding
4930444P10Rik,0.0440544475532978,0.0721145657295075,0.6948937348522947,32,protein-coding
Rpl7,-0.0628482927505923,-0.0641967435213939,1.3531516883064918e-135,148733,protein-coding
Rdh10,-0.0202218175522542,-0.0178090764839117,0.0667175056854636,10601,protein-coding
Stau2,-0.0121718997915603,-0.0127992563368552,0.4145978640215469,4065,protein-coding
Ube2w,0.0211323900081391,0.02136819405748,0.0001234970023094,32274,protein-coding
Tmem70,0.0142255688175808,0.0149656898181626,0.0075138117026346,31904,protein-coding
Ly96,0.0342132338337949,0.0330907968728816,9.306464303916112e-07,21969,protein-coding
Jph1,-0.0187960598913965,-0.0267414006072571,0.3775489363204779,1091,protein-coding
Gdap1,0.1883194486630408,0.1438223287643527,1.4349599636942364e-05,903,protein-coding
Pi15,0.0061658835590515,0.0070388636776426,0.7243239593421609,2513,protein-coding
Crispld1,0.0393239042124638,0.0331948621874302,0.0488245872669915,3523,protein-coding
Tfap2b,-0.0076828208765383,-0.014787203562734,0.2770615437131714,5405,protein-coding
Pkhd1,-0.0241480408624451,-0.0299392045089443,0.0597777879944769,3954,protein-coding
Il17a,-0.1030189885067652,-0.2053190083672096,0.0676931175858021,80,protein-coding
Il17f,0.0564823453260875,0.058878533920912,0.6158262046731047,75,protein-coding
Mcm3,0.0085456283229489,0.0109703840430436,0.1367406170538337,18400,protein-coding
Paqr8,-0.0343098334624217,-0.023270800415476,0.3597440256953004,1551,protein-coding
Efhc1,0.0433837437624965,0.0358370457308907,0.3184443368377787,777,protein-coding
Tram2,0.0521547732917241,0.0546123798119924,0.1662826660215867,644,protein-coding
Tmem14a,0.0060239293841003,0.0072327126993569,0.5888827579034069,5586,protein-coding
Gsta3,0.022455977862883,0.0187500369477603,0.0351972096242322,12617,protein-coding
Khdc1a,-0.0283652892494016,-0.0552995675184402,0.2841795321913353,377,protein-coding
Khdc1c,-0.0672499506706252,-0.1872393213195476,0.0772043764852267,90,protein-coding
