,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
TSP1,0.0005785074822357564,0.0005365186922369092,0.00036672741152669246,0.00014840302260239245
TSP10,0.0,0.0008134692328483165,0.0013416116687390684,0.00035465156341388986
TSP14,0.00021355620907032643,0.000113801711390062,4.708756759101675e-06,5.3830938766163985e-05
TSP15,0.0006873267823215596,0.0,8.68142838345945e-06,2.499484092642875e-05
TSP2,0.0010514798165364503,0.0006614353648505886,2.1439193927340707e-05,7.693119438339755e-05
TSP21,0.00010586880816885146,0.00018947130454498987,4.028659156889969e-06,5.04460920181694e-05
TSP26,0.00024790862255066014,1.5528501952212147e-05,2.194362857485076e-05,8.459616681673413e-05
TSP30,0.00010708502095992224,0.0,9.216094393264777e-05,5.1358220420685046e-05
TSP4,0.00011168976803955358,6.44104037848174e-05,3.7512007464524654e-05,6.383205955028564e-05
TSP7,0.0001285950903331048,0.0003092252316198589,3.971687340876188e-05,9.106812432203062e-05
TSP9,0.00010255367376931328,0.0,2.8112702516925842e-05,5.563559413537606e-05
