,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
TSP1,35.48784694569714,32.912095034666784,22.496452769727995,9.103605249908078
TSP10,0.0,32.41258756430452,53.45636188112134,14.13105055457414
TSP14,55.34012137516431,29.49013071754572,1.2202088232845485,13.949539084005425
TSP15,95.32924732652833,0.0,1.2040765103303752,3.466676163141299
TSP2,58.051575860116614,36.51745345494873,1.1836451571199762,4.247325527814697
TSP21,30.264239487111904,54.163308682379174,1.1516546530079548,14.420797177500955
TSP26,67.0065101956578,4.197154232388859,5.931080398504476,22.865255173448865
TSP30,42.730739243666676,0.0,36.7755007034087,20.493760052924618
TSP4,40.256654276499084,23.21562129179856,13.52055736369723,23.007167068005142
TSP7,22.615878867370796,54.38310562972609,6.984963389166213,16.016052113736883
TSP9,55.04701508911941,0.0,15.089857854592042,29.86312705628855
