,Embryoblast,Germ layer-specific,Tissue-specific,Adult-specific
TSP1,0.0005785074822357564,0.0011150261744726658,0.0014817535859993581,0.0016301566086017506
TSP10,0.0,0.0008134692328483165,0.002155080901587385,0.0025097324650012747
TSP14,0.00021355620907032643,0.00032735792046038843,0.0003320666772194901,0.0003858976159856541
TSP15,0.0006873267823215596,0.0006873267823215596,0.000696008210705019,0.0007210030516314477
TSP2,0.0010514798165364503,0.0017129151813870388,0.0017343543753143794,0.001811285569697777
TSP21,0.00010586880816885146,0.00029534011271384135,0.00029936877187073134,0.00034981486388890073
TSP26,0.00024790862255066014,0.0002634371245028723,0.0002853807530777231,0.0003699769198944572
TSP30,0.00010708502095992224,0.00010708502095992224,0.00019924596489257,0.00025060418531325506
TSP4,0.00011168976803955358,0.00017610017182437097,0.00021361217928889562,0.00027744423883918124
TSP7,0.0001285950903331048,0.00043782032195296375,0.00047753719536172565,0.0005686053196837563
TSP9,0.00010255367376931328,0.00010255367376931328,0.00013066637628623913,0.00018630197042161518
