donor,age_yr,cell_type,mutations,callable_sites,burden_per_bp,burden_per_kb
TSP1,59,B_cell,0,1139792,0.0,0.0
TSP1,59,CD4-positive_alpha-beta_T_cell,163,60826209,2.679765888418264e-06,0.002679765888418264
TSP1,59,CD4-positive_alpha-beta_memory_T_cell,0,448880,0.0,0.0
TSP1,59,CD8-positive_alpha-beta_T_cell,27,18780109,1.4376913360832997e-06,0.0014376913360832997
TSP1,59,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,0,61256,0.0,0.0
TSP1,59,CD8-positive_alpha-beta_memory_T_cell,1,618129,1.617785284301497e-06,0.001617785284301497
TSP1,59,Mueller_cell,0,18544,0.0,0.0
TSP1,59,T_cell,14,21347485,6.55814958998683e-07,0.000655814958998683
TSP1,59,basal_cell,0,2156882,0.0,0.0
TSP1,59,basophil,4,7989482,5.006582404215943e-07,0.0005006582404215943
TSP1,59,bladder_urothelial_cell,84,69919855,1.2013754891225104e-06,0.0012013754891225105
TSP1,59,capillary_endothelial_cell,39,25911580,1.5051185608905361e-06,0.0015051185608905362
TSP1,59,classical_monocyte,4,5899005,6.780804559412986e-07,0.0006780804559412986
TSP1,59,club_cell,2,1153749,1.7334792922897442e-06,0.0017334792922897443
TSP1,59,common_myeloid_progenitor,0,9718,0.0,0.0
TSP1,59,conjunctival_epithelial_cell,0,172774,0.0,0.0
TSP1,59,corneal_epithelial_cell,0,53761,0.0,0.0
TSP1,59,dendritic_cell,2,6643449,3.010484463717566e-07,0.0003010484463717566
TSP1,59,effector_CD4-positive_alpha-beta_T_cell,0,160950,0.0,0.0
TSP1,59,effector_CD8-positive_alpha-beta_T_cell,0,173238,0.0,0.0
TSP1,59,endothelial_cell,0,237000,0.0,0.0
TSP1,59,endothelial_cell_of_artery,11,4467114,2.4624399556402634e-06,0.0024624399556402634
TSP1,59,endothelial_cell_of_hepatic_sinusoid,0,16169,0.0,0.0
TSP1,59,endothelial_cell_of_vascular_tree,39,22158758,1.7600264419152013e-06,0.0017600264419152013
TSP1,59,epithelial_cell,0,92916,0.0,0.0
TSP1,59,erythrocyte,0,519892,0.0,0.0
TSP1,59,erythroid_progenitor_cell,0,11177,0.0,0.0
TSP1,59,eye_photoreceptor_cell,0,33971,0.0,0.0
TSP1,59,fast_muscle_cell,3,1275893,2.3512943483505277e-06,0.0023512943483505275
TSP1,59,fibroblast,80,58817456,1.3601404317793003e-06,0.0013601404317793004
TSP1,59,granulocyte,0,26561,0.0,0.0
TSP1,59,hematopoietic_stem_cell,0,31666,0.0,0.0
TSP1,59,hepatocyte,0,83536,0.0,0.0
TSP1,59,innate_lymphoid_cell,0,102117,0.0,0.0
TSP1,59,intermediate_monocyte,0,38997,0.0,0.0
TSP1,59,keratinocyte,0,153887,0.0,0.0
TSP1,59,keratocyte,0,27221,0.0,0.0
TSP1,59,leukocyte,0,76304,0.0,0.0
TSP1,59,lung_ciliated_cell,7,15337122,4.564089664279909e-07,0.00045640896642799085
TSP1,59,lung_microvascular_endothelial_cell,1,403192,2.480207940633743e-06,0.0024802079406337427
TSP1,59,macrophage,233,125623049,1.8547551731529777e-06,0.0018547551731529777
TSP1,59,mast_cell,2,7054836,2.8349347879950717e-07,0.00028349347879950715
TSP1,59,mature_NK_T_cell,9,6828295,1.3180449878044227e-06,0.0013180449878044227
TSP1,59,memory_B_cell,10,9760132,1.024576306959783e-06,0.0010245763069597828
TSP1,59,mesenchymal_stem_cell,102,42281610,2.412396311304134e-06,0.002412396311304134
TSP1,59,monocyte,531,102442270,5.183407200953278e-06,0.0051834072009532784
TSP1,59,myofibroblast_cell,13,25242855,5.149972140631478e-07,0.0005149972140631477
TSP1,59,naive_B_cell,16,10374231,1.5422829894572426e-06,0.0015422829894572426
TSP1,59,naive_thymus-derived_CD4-positive_alpha-beta_T_cell,0,202468,0.0,0.0
TSP1,59,naive_thymus-derived_CD8-positive_alpha-beta_T_cell,0,54187,0.0,0.0
TSP1,59,neutrophil,1,587496,1.70213924860765e-06,0.00170213924860765
TSP1,59,non-classical_monocyte,4,3021915,1.3236639680467519e-06,0.0013236639680467518
TSP1,59,pericyte,50,29727775,1.6819287686347196e-06,0.0016819287686347195
TSP1,59,plasma_cell,12,17367601,6.909417138267974e-07,0.0006909417138267974
TSP1,59,pulmonary_alveolar_type_1_cell,2,3759396,5.320003532482346e-07,0.0005320003532482346
TSP1,59,pulmonary_alveolar_type_2_cell,30,35029389,8.564237303710892e-07,0.0008564237303710893
TSP1,59,regulatory_T_cell,0,40236,0.0,0.0
TSP1,59,respiratory_goblet_cell,3,8966324,3.345852770879125e-07,0.0003345852770879125
TSP1,59,retinal_blood_vessel_endothelial_cell,0,17462,0.0,0.0
TSP1,59,skeletal_muscle_satellite_stem_cell,13,12435862,1.0453638034902606e-06,0.0010453638034902605
TSP1,59,smooth_muscle_cell,0,2457793,0.0,0.0
TSP1,59,stromal_cell,0,11224,0.0,0.0
TSP1,59,type_I_NK_T_cell,0,146398,0.0,0.0
TSP1,59,vein_endothelial_cell,3,7727302,3.882338233965749e-07,0.0003882338233965749
TSP10,33,B_cell,1,708442,1.4115481577884992e-06,0.0014115481577884992
TSP10,33,CD4-positive_alpha-beta_T_cell,1,298016,3.355524535595404e-06,0.003355524535595404
TSP10,33,CD4-positive_alpha-beta_memory_T_cell,4,4640358,8.620024575690065e-07,0.0008620024575690065
TSP10,33,CD8-positive_alpha-beta_T_cell,11,6121958,1.7968107589107929e-06,0.001796810758910793
TSP10,33,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,3,1751883,1.7124431254826948e-06,0.0017124431254826949
TSP10,33,CD8-positive_alpha-beta_memory_T_cell,0,468390,0.0,0.0
TSP10,33,Mueller_cell,0,19955,0.0,0.0
TSP10,33,T_cell,46,36650006,1.255115756324842e-06,0.001255115756324842
TSP10,33,basal_cell,1,513963,1.9456653494512253e-06,0.0019456653494512254
TSP10,33,basophil,2,402158,4.973169749203049e-06,0.00497316974920305
TSP10,33,bladder_urothelial_cell,0,571347,0.0,0.0
TSP10,33,capillary_endothelial_cell,0,600771,0.0,0.0
TSP10,33,classical_monocyte,690,89565516,7.70385781063328e-06,0.00770385781063328
TSP10,33,club_cell,0,62202,0.0,0.0
TSP10,33,common_myeloid_progenitor,0,12808,0.0,0.0
TSP10,33,conjunctival_epithelial_cell,1,440554,2.2698693009256525e-06,0.0022698693009256523
TSP10,33,corneal_epithelial_cell,0,153141,0.0,0.0
TSP10,33,dendritic_cell,0,24120,0.0,0.0
TSP10,33,effector_CD4-positive_alpha-beta_T_cell,1,386180,2.589466052100057e-06,0.0025894660521000572
TSP10,33,effector_CD8-positive_alpha-beta_T_cell,1,302883,3.3016049101468223e-06,0.003301604910146822
TSP10,33,endothelial_cell,203,92795967,2.1875950708073335e-06,0.0021875950708073336
TSP10,33,endothelial_cell_of_artery,0,13021,0.0,0.0
TSP10,33,endothelial_cell_of_hepatic_sinusoid,0,19362,0.0,0.0
TSP10,33,endothelial_cell_of_vascular_tree,1,301091,3.321255035852948e-06,0.003321255035852948
TSP10,33,epithelial_cell,1,69581,1.4371739411620989e-05,0.014371739411620989
TSP10,33,erythrocyte,12,2559875,4.6877288930123545e-06,0.0046877288930123545
TSP10,33,erythroid_progenitor_cell,0,22978,0.0,0.0
TSP10,33,eye_photoreceptor_cell,0,48942,0.0,0.0
TSP10,33,fast_muscle_cell,0,15964,0.0,0.0
TSP10,33,fibroblast,753,145227475,5.184969304189858e-06,0.005184969304189858
TSP10,33,granulocyte,0,22714,0.0,0.0
