NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SENSORY_PERCEPTION_OF_SMELL	GOBP_SENSORY_PERCEPTION_OF_SMELL	Details ...	199	0.44718674	7.151565	0.0	0.0	0.0	3878	tags=65%, list=21%, signal=82%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	GOBP_DETECTION_OF_CHEMICAL_STIMULUS	Details ...	251	0.3839634	7.095815	0.0	0.0	0.0	3878	tags=59%, list=21%, signal=74%	
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	263	0.36463833	6.913105	0.0	0.0	0.0	3878	tags=57%, list=21%, signal=71%	
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	290	0.34976938	6.7658606	0.0	0.0	0.0	3878	tags=56%, list=21%, signal=69%	
GOBP_DETECTION_OF_STIMULUS	GOBP_DETECTION_OF_STIMULUS	Details ...	418	0.263981	6.167133	0.0	0.0	0.0	3878	tags=47%, list=21%, signal=58%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	252	0.24923238	4.6406255	0.0	0.0	0.0	7155	tags=63%, list=39%, signal=102%	
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	169	0.28217176	4.232413	0.0	0.0	0.0	4216	tags=51%, list=23%, signal=65%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	210	0.25244123	4.141001	0.0	0.0	0.0	7057	tags=63%, list=38%, signal=102%	
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	278	0.20281075	3.8553624	0.0	0.0	0.0	6381	tags=55%, list=35%, signal=82%	
GOBP_SKIN_DEVELOPMENT	GOBP_SKIN_DEVELOPMENT	Details ...	307	0.18008593	3.6855874	0.0	0.0	0.0	8364	tags=63%, list=45%, signal=114%	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	Details ...	101	0.31613714	3.6634438	0.0	0.0	0.0	6781	tags=68%, list=37%, signal=108%	
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	Details ...	230	0.20407297	3.6230733	0.0	0.0	0.0	8207	tags=65%, list=45%, signal=116%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	63	0.3589209	3.4182992	0.0	0.0	0.0	3346	tags=54%, list=18%, signal=66%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	169	0.2230125	3.4039452	0.0	0.0	0.0	5294	tags=51%, list=29%, signal=71%	
GOBP_EPIDERMIS_DEVELOPMENT	GOBP_EPIDERMIS_DEVELOPMENT	Details ...	380	0.14937878	3.3424203	0.0	0.0	0.0	7230	tags=54%, list=39%, signal=87%	
GOBP_KERATINOCYTE_DIFFERENTIATION	GOBP_KERATINOCYTE_DIFFERENTIATION	Details ...	158	0.22931437	3.289684	0.0	0.0	0.0	6061	tags=56%, list=33%, signal=82%	
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	Details ...	234	0.1878824	3.257276	0.0	0.0	0.0	7355	tags=59%, list=40%, signal=96%	
GOBP_SENSORY_SYSTEM_DEVELOPMENT	GOBP_SENSORY_SYSTEM_DEVELOPMENT	Details ...	427	0.13521224	3.253417	0.0	0.0	0.0	9802	tags=67%, list=53%, signal=139%	
GOBP_MICROTUBULE_BASED_MOVEMENT	GOBP_MICROTUBULE_BASED_MOVEMENT	Details ...	477	0.12783915	3.2480822	0.0	4.4714005E-5	0.001	7155	tags=51%, list=39%, signal=82%	
GOBP_FOREBRAIN_DEVELOPMENT	GOBP_FOREBRAIN_DEVELOPMENT	Details ...	403	0.13556516	3.1713703	0.0	4.2478303E-5	0.001	12255	tags=80%, list=67%, signal=234%	
GOBP_MICROTUBULE_BUNDLE_FORMATION	GOBP_MICROTUBULE_BUNDLE_FORMATION		133	0.22685823	3.0735092	0.0	1.5957719E-4	0.004	6781	tags=59%, list=37%, signal=93%	
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT	GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT		151	0.20560263	2.9222758	0.0	5.031263E-4	0.013	5627	tags=51%, list=31%, signal=73%	
GOBP_BASEMENT_MEMBRANE_ORGANIZATION	GOBP_BASEMENT_MEMBRANE_ORGANIZATION		40	0.38723505	2.8948286	0.0	5.563029E-4	0.015	4847	tags=65%, list=26%, signal=88%	
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION		337	0.13516802	2.8870132	0.0	5.331236E-4	0.015	5308	tags=42%, list=29%, signal=58%	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION		73	0.29127648	2.8644667	0.0	6.498422E-4	0.019	3481	tags=48%, list=19%, signal=59%	
GOBP_COMPLEMENT_ACTIVATION	GOBP_COMPLEMENT_ACTIVATION		55	0.3175343	2.8276474	0.0	9.20061E-4	0.028	3205	tags=49%, list=17%, signal=59%	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY		38	0.39717585	2.8002794	0.0	0.0011093244	0.035	4325	tags=63%, list=24%, signal=82%	
