gene,slope_z,r,p,n_cells_expr
ENSG00000000003,-0.01577689176669493,-0.02690643700060736,4.058416857431946e-08,41594
ENSG00000000005,-0.019960230888942065,-0.022021460074225306,0.2338797318025345,2924
ENSG00000000419,-0.018394181473202945,-0.025751597651872037,8.041150909404093e-25,159535
ENSG00000000457,-0.017144717863797485,-0.02675187976887853,2.7546323793633973e-10,55653
ENSG00000000460,-0.0009859600896211726,-0.0013659680587260361,0.779238436069844,42114
ENSG00000000938,0.0031206916673388275,0.003820516757254172,0.23755431317034403,95577
ENSG00000000971,-0.0024665377898805386,-0.002868841100850101,0.48427528365657235,59444
ENSG00000001036,-0.012615466318630928,-0.01790780149804056,1.473179619573295e-08,100047
ENSG00000001084,-0.004861041721849365,-0.005639542014456338,0.04874911076039842,122121
ENSG00000001167,-0.020736514491020906,-0.029860777967665817,4.8631005082743077e-17,78911
ENSG00000001460,-0.013355313211310194,-0.021006822470448463,0.0004767468700229936,27653
ENSG00000001461,-0.020387689123903294,-0.03291164727500197,2.081864214079233e-21,83292
ENSG00000001497,-0.01462957597272468,-0.022272620529793546,1.3492327792641652e-09,74048
ENSG00000001561,-0.013937457110563427,-0.022238725069090585,2.2285070671627548e-08,63244
ENSG00000001617,-0.018507564327570385,-0.026212840909415485,1.81333581872667e-05,26737
ENSG00000001626,-0.029181597217272228,-0.0513734969701998,2.2322011587639713e-19,30661
ENSG00000001629,-0.01859612008659301,-0.02674233268184247,1.6981366359262833e-32,196943
ENSG00000001630,-0.00913177536331374,-0.016663602422128988,0.0012578942985315093,37463
ENSG00000001631,-0.016031362296335,-0.024166996504522635,4.399001334406867e-14,97538
ENSG00000002016,-0.011559491878736724,-0.016428710429018542,0.00020386774108035324,51107
ENSG00000002079,-0.019568744538190054,-0.03188118281358088,0.10089767824118073,2649
ENSG00000002330,-0.023462519382926556,-0.03680096155430995,5.411964566814515e-34,109016
ENSG00000002549,-0.022088785740840847,-0.03147342865849865,2.488979086959155e-35,155246
ENSG00000002586,0.00042967404294295286,0.02834794006251985,0.028648673842812163,5959
ENSG00000002587,-0.011980548385962738,-0.015555954463701704,0.0030608827829415037,36243
ENSG00000002726,-0.004822757137251578,-0.02926771288166957,0.006401172057179884,8677
ENSG00000002745,-0.014964245713472327,-0.01782794226877174,0.28489395175671317,3600
ENSG00000002746,-0.006682337904618717,-0.009665424581576314,0.36634672750777675,8737
ENSG00000002822,-0.021206474200448643,-0.05349852009578906,2.393922941545492e-08,10869
ENSG00000002834,-0.02082897187217892,-0.028701072004971948,2.278099120744296e-32,170262
ENSG00000002919,-0.024866967711909396,-0.035913965436605876,2.911794704832556e-14,44781
ENSG00000002933,-0.029855773397587507,-0.048730939129290295,2.3831144897843786e-26,47448
ENSG00000003056,-0.020960925206614703,-0.02818613220665996,1.3220785870726887e-34,189413
ENSG00000003096,0.0059044129617196114,0.007820474493618274,0.177799554822127,29693
ENSG00000003137,-0.01700210465396736,-0.029575384387526025,0.015335441256219138,6719
ENSG00000003147,-0.019298685375684445,-0.034573804017449784,2.937532150387215e-22,78712
ENSG00000003249,-0.016659258061756197,-0.03379313416405945,0.0005979933605964277,10314
ENSG00000003393,-0.014454210525994386,-0.020938602521130546,5.2663288106130044e-08,67539
ENSG00000003400,-0.021783138303557558,-0.03141055231698478,6.702641183324746e-17,70672
ENSG00000003402,-0.01980286569218938,-0.027797811150393,3.773445283705019e-58,334316
ENSG00000003436,0.03822699954027313,0.046470464041363464,1.0939543382186225e-62,129175
ENSG00000003509,-0.020380313288191974,-0.030585151105156517,3.110452796611684e-17,76158
ENSG00000003756,-0.02015059718214616,-0.028154831761954484,2.8841975625353346e-37,205192
ENSG00000003987,-0.027573828007494926,-0.03958650347644242,2.230531626087901e-05,11468
ENSG00000003989,-0.0067298697616918765,-0.009666714850668693,0.04383357004996762,43480
ENSG00000004059,-0.02339739153674234,-0.03110798551464295,9.193816215654367e-36,160961
ENSG00000004139,-0.015583340322304956,-0.026495010678680053,3.406272592459334e-06,30723
ENSG00000004142,-0.02168789976219136,-0.030880930988556238,2.5290255791765455e-22,98985
ENSG00000004399,-0.029134165880754445,-0.0412058125009671,2.858838467104703e-32,82303
ENSG00000004455,-0.028193864433804817,-0.03983685277081016,9.88008340646629e-53,147071
ENSG00000004468,-0.025644749097423557,-0.03810209961176996,1.1925271446697938e-17,50363
ENSG00000004478,-0.007888767986873518,-0.01116146674903667,0.0001627020605820104,114134
ENSG00000004487,-0.011422897122820474,-0.015950921703534748,6.437300212049012e-09,132429
ENSG00000004534,-0.010478802215127078,-0.014941740898797051,6.151097351049064e-16,292854
ENSG00000004660,-0.021396619701654993,-0.032439474395234036,6.454971038433425e-09,32003
ENSG00000004700,-0.01424300912294724,-0.019046043153778766,3.0505985638492393e-12,134108
ENSG00000004766,-0.011738224633609252,-0.016629823947221466,1.1652965382258196e-08,117664
ENSG00000004776,-0.043830516146439145,-0.051395944803907044,2.4586953292633142e-23,37451
ENSG00000004777,-0.013059751774294389,-0.020660505706761853,0.037093506767424324,10182
ENSG00000004779,-0.03685548575687227,-0.05155588035819253,1.2841183304980024e-117,199726
ENSG00000004799,0.0003112007561839347,0.00039611315993075,0.8829368161348958,138186
ENSG00000004809,-0.029066594928462523,-0.03859065507274124,0.001534474230357775,6737
ENSG00000004838,0.0012073910987263187,0.0017166764593367937,0.9057745920945524,4757
ENSG00000004846,-0.0026243701215758345,-0.003931731628419777,0.791150373395646,4539
ENSG00000004848,0.01685289586231755,0.029559075062825665,0.35851460597081897,967
ENSG00000004864,-0.014026079265518746,-0.0194549572246079,3.6971572054872514e-16,175378
ENSG00000004866,-0.007736107787210136,-0.01167004495184565,0.0017222551060390048,72134
ENSG00000004897,0.011594319047033575,0.013741802276032807,1.631350486047949e-09,192588
ENSG00000004939,-0.028016415842832557,-0.00690660893892178,0.5196412546670467,8694
ENSG00000004948,0.028711736955029966,0.025587179260037392,0.11897757385387098,3714
ENSG00000004961,-0.014514992844462433,-0.020950129443283765,6.4457504550102e-07,56435
ENSG00000004975,-0.01589216140837353,-0.024294467775014202,4.689960545196684e-07,43003
ENSG00000005001,0.016421665992555987,0.026647848363516247,6.52554059732707e-05,22447
ENSG00000005007,-0.021129564846488487,-0.03123796942043515,2.091100268437806e-27,120488
ENSG00000005020,-0.012899100963461875,-0.016585948733952673,3.908024099890911e-15,224425
ENSG00000005022,-0.03697980592082168,-0.05097054267385626,4.882100409502115e-162,282857
ENSG00000005059,-0.012113935681007057,-0.015252904802413429,7.665886970279584e-10,162645
ENSG00000005073,-0.026474865935621004,-0.03850526847211973,0.046816139138243194,2666
ENSG00000005075,-0.019812640445829345,-0.023400329695478783,4.477520834431797e-23,178679
ENSG00000005100,-0.0005952192267350512,-0.0008094003557557276,0.8440934823231327,59037
ENSG00000005102,-0.020984240901251644,-0.028399656018935984,0.006684702226006031,9119
