gene,slope_z,r,p,n_cells_expr,gene_symbol
ENSG00000198804,-0.0241062737051477,-0.0244874610266463,1.2355197153217048e-61,457508,MT-CO1
ENSG00000166710,-0.0244583083153399,-0.0250594532540426,6.700821169452789e-64,453406,B2M
ENSG00000198712,-0.0131271114242756,-0.0180781309556468,6.493071337057089e-34,450871,MT-CO2
ENSG00000198886,0.0018119627235357,0.0024338970980554,0.1028724125694107,449107,MT-ND4
ENSG00000075624,-0.0185024146798931,-0.0185862554855946,1.5887350610980214e-35,447890,ACTB
ENSG00000133112,-0.0002611246567621,-0.0002618502951832,0.8609095217182695,447761,TPT1
ENSG00000198727,-0.0064000641570394,-0.0090086695849916,1.738876075527866e-09,446609,MT-CYB
ENSG00000211459,-0.0168218816242463,-0.0167331667322239,5.810109653217649e-29,445432,MT-RNR1
ENSG00000251562,0.0003513212350043,0.0004507743227973,0.763981776168571,443678,MALAT1
ENSG00000173812,0.0004618131680289,0.0004590360256151,0.7602702714250817,441842,EIF1
ENSG00000229117,0.0038477465693455,0.0038599732956281,0.0104942516960562,439548,RPL41
ENSG00000167996,-0.0072982557890266,-0.0072066862860962,1.7814166723507817e-06,439326,FTH1
ENSG00000198938,0.0009519850611435,0.0013493835036668,0.3715923793236247,438445,MT-CO3
ENSG00000210082,-0.0012651876627146,-0.0012513427750131,0.4079039448221467,437399,MT-RNR2
ENSG00000198840,0.0052787943811024,0.007810640448487,2.76996473472597e-07,432795,MT-ND3
ENSG00000087086,-0.0023270250387974,-0.0022571017712144,0.1379172433444018,432044,FTL
ENSG00000156508,0.0004521927084349,0.0005478505228592,0.7192504420506489,430508,EEF1A1
ENSG00000137818,-0.0081847661542089,-0.0083698755712515,4.1101336090201736e-08,429605,RPLP1
ENSG00000132475,-0.0037663316420403,-0.0050337116776471,0.0009711699742246,429456,H3-3B
ENSG00000108107,-0.0046909512043246,-0.0050007695678411,0.0010508110319697,429298,RPL28
ENSG00000150991,-0.0091592908471461,-0.0117471261511497,1.5036901598236408e-14,428201,UBC
ENSG00000198763,0.0044403893488402,0.0065459625502603,1.9219544149045406e-05,426254,MT-ND2
ENSG00000170889,0.0137367405903062,0.0160096129892006,1.4629885317077903e-25,426020,RPS9
ENSG00000198888,0.0192607186466336,0.027959110562979,2.6825167870196038e-74,425242,MT-ND1
ENSG00000156482,-0.0020979773900066,-0.0021783661589111,0.1561052747376281,423908,RPL30
ENSG00000145592,0.011288511774483,0.0138101885315966,2.4363657946701604e-19,423874,RPL37
ENSG00000108654,0.00782751003494,0.0108156476084409,1.93331458952961e-12,423565,DDX5
ENSG00000198899,0.0222369729119523,0.0353374260447597,7.121456507934675e-117,422690,MT-ATP6
ENSG00000164587,-0.0101338773612202,-0.0107486260181334,2.834795668315661e-12,422366,RPS14
ENSG00000205542,0.0007134169673239,0.0008645897071744,0.574619611901358,421417,TMSB4X
ENSG00000149806,-0.0028782909422978,-0.0030299117019632,0.0496385286565839,419769,FAU
ENSG00000070756,-0.0036435037703925,-0.0042155578701368,0.0063269319437107,419490,PABPC1
ENSG00000221983,0.0098441499107601,0.0095205908664275,7.14874394005297e-10,418992,UBA52
ENSG00000092841,-0.0250724893376422,-0.0250429915048623,6.58972782122997e-59,417485,MYL6
ENSG00000177600,-0.0038528532449378,-0.003989278332905,0.009949407907576,417480,RPLP2
ENSG00000142534,0.0094134812264162,0.0095921848736526,5.73158617689353e-10,417446,RPS11
ENSG00000245532,0.0092889588066123,0.012273245357114,2.2068051124316493e-15,417352,NEAT1
ENSG00000177954,0.0012553936627253,0.0014570330697878,0.3469872787719266,416614,RPS27
ENSG00000198786,-0.0215809191277335,-0.0290556061112148,1.853536514707434e-78,416360,MT-ND5
ENSG00000140264,-0.018437281058917,-0.0180827487002758,1.9321423978524003e-31,416050,SERF2
ENSG00000198918,0.0100211565705094,0.0124327953907844,1.0712491743336207e-15,415918,RPL39
ENSG00000109475,0.0067810335915099,0.0086866481083353,2.1793087251847843e-08,415157,RPL34
ENSG00000167526,-0.0123017898624845,-0.012332515387697,1.984612888068332e-15,414724,RPL13
ENSG00000206503,-0.0282503058765382,-0.030306399784806,9.145633990768488e-85,414209,HLA-A
ENSG00000124172,-0.0125647973619937,-0.0121080382750282,6.629228353277367e-15,414047,ATP5F1E
ENSG00000144713,-0.0058306745348962,-0.0061893856241929,6.847766271984752e-05,413805,RPL32
ENSG00000122026,-0.0019474641436786,-0.0019606225842637,0.2080437291226809,412325,RPL21
ENSG00000115268,-0.0110663039788204,-0.0115104891258208,1.4719420660237854e-13,412132,RPS15
ENSG00000142676,0.001041751563107,0.0011770906540835,0.4499482539671244,411958,RPL11
ENSG00000112306,-0.0072648008876232,-0.0069232129752972,8.887327703133208e-06,411769,RPS12
ENSG00000152601,-0.0027386819050199,-0.0034850929434837,0.0253951200023273,411394,MBNL1
ENSG00000105372,-0.0198637453268718,-0.021521648454889,2.7583123003177323e-43,410724,RPS19
ENSG00000134419,-0.0048017338223783,-0.0053103053549873,0.0006677783701515,410533,RPS15A
ENSG00000143947,-0.0075732194199995,-0.008763659016022,1.9954139838898244e-08,410121,RPS27A
ENSG00000147403,-0.0045670460341433,-0.0054265009823774,0.0005118035376791,409960,RPL10
ENSG00000138326,0.0074573843199126,0.0085278848928058,4.7731335054084215e-08,409845,RPS24
ENSG00000187514,-0.0009754936790956,-0.0012911544133984,0.4085645302425748,409685,PTMA
ENSG00000034510,0.0011051675692532,0.0012786842803917,0.4131865723531781,409543,TMSB10
ENSG00000142541,0.0020015205700145,0.0024134159327847,0.1226374497629227,409183,RPL13A
ENSG00000122566,0.0152314004114684,0.0204718118875881,3.4752682086196075e-39,409138,HNRNPA2B1
ENSG00000136156,-0.0163098096740116,-0.0187204322937439,5.405831307678936e-33,408447,ITM2B
ENSG00000140988,-0.0011606633887895,-0.0012207309418493,0.435436375903681,408193,RPS2
ENSG00000184009,-0.0095375718273943,-0.0130824262114589,6.489825626311068e-17,407927,ACTG1
ENSG00000233927,-0.0023417315755697,-0.0026285549205779,0.0931976811490785,407894,RPS28
ENSG00000137154,-0.0036410927894168,-0.0047304388871203,0.0025218851955615,407766,RPS6
ENSG00000231500,-0.0057054782611213,-0.0067839641104895,1.5130824967561771e-05,406775,RPS18
ENSG00000204525,-0.0184405123465958,-0.022163329399143,2.325093686274502e-45,406623,HLA-C
ENSG00000197756,0.0137996083239563,0.0167389712935345,1.3654274157932382e-26,406477,RPL37A
ENSG00000087460,-0.0231852278978464,-0.025770952259093,1.2102183500084748e-60,406214,GNAS
ENSG00000149273,-0.0148729855801536,-0.0174690064831754,8.555563167289991e-29,406176,RPS3
ENSG00000197958,0.0006519147781978,0.0007270789412818,0.6431843158466288,405950,RPL12
ENSG00000130522,-0.0107694483307404,-0.0112793654520545,6.711874679828967e-13,405771,JUND
ENSG00000142937,0.0071438679280237,0.0085584294836078,5.001462328606171e-08,405688,RPS8
ENSG00000234745,-0.0152800537526958,-0.0193578869938154,6.38326637718536e-35,405515,HLA-B
ENSG00000080824,0.0074648775842102,0.0103218742629094,4.9683142342326985e-11,405361,HSP90AA1
ENSG00000108298,-0.006810231364655,-0.0079368227129652,4.3538502560228e-07,405284,RPL19
ENSG00000105193,0.01112982101975,0.0143255756015375,7.802242376568286e-20,404886,RPS16
ENSG00000161016,-0.0204134426493323,-0.0227087241624305,2.7048672147416952e-47,404507,RPL8
ENSG00000104904,0.0025952251870805,0.0024634531366482,0.1174248098193383,403939,OAZ1
ENSG00000182899,0.0009782158961315,0.0010919783494658,0.4878051249720694,403690,RPL35A
ENSG00000145425,-0.0078755013225678,-0.0093856026375085,2.4887256788035318e-09,403526,RPS3A
ENSG00000213741,0.0089416466674439,0.0111854075052557,1.2038860668472073e-12,403451,RPS29
ENSG00000105640,-0.0096834696403225,-0.0105772843484184,1.875061808516884e-11,403068,RPL18A
ENSG00000131051,-0.0053885816367508,-0.0075071619137905,1.9545167782596674e-06,401699,RBM39
ENSG00000162244,-0.0105284159462594,-0.0124251528590602,3.4191016847742134e-15,401624,RPL29
ENSG00000198668,-0.0313358154676494,-0.0438791865133272,5.381219967190366e-170,400788,CALM1
ENSG00000196531,-0.0050924975783622,-0.0055544827496694,0.0004374148304712,400783,NACA
ENSG00000171863,-0.000114144208319,-0.0001458224027508,0.9265392652162052,399774,RPS7
ENSG00000172809,0.0064773963357263,0.0074262287060454,2.668891600146144e-06,399655,RPL38
ENSG00000063177,-0.001340867956036,-0.0016732330937218,0.2906530161528736,398827,RPL18
ENSG00000100316,-0.010824580571807,-0.0139211121491627,1.4914749583242145e-18,398677,RPL3
ENSG00000164924,-0.0137612154594946,-0.0190991568169484,1.816510412845799e-33,398344,YWHAZ
ENSG00000130255,-0.0067314322352072,-0.0082726476619176,1.787627853073847e-07,398169,RPL36
ENSG00000163682,0.0057857253050412,0.0074368070335812,2.719493485188416e-06,397867,RPL9
ENSG00000172757,-0.0196748489214256,-0.0263497718588481,4.839501635407301e-62,397794,CFL1
ENSG00000148303,-0.0020788528885952,-0.0026289974519181,0.0975653805174906,397143,RPL7A
ENSG00000110700,-0.0047414194747079,-0.0056288028955093,0.0003922456058886,396695,RPS13
ENSG00000171858,0.0043371406306578,0.0057914341356857,0.0002647465372761,396668,RPS21
ENSG00000198034,-0.0019614376067288,-0.0022468069174399,0.1572127526434128,396352,RPS4X
ENSG00000114391,0.0044396783330755,0.0054080789668533,0.0006656168764842,396029,RPL24
ENSG00000186468,0.0036136789139871,0.0045255102520916,0.0044045029282773,395943,RPS23
ENSG00000170776,0.0043113992599096,0.0059750738208897,0.0001712566197819,395575,AKAP13
ENSG00000166441,0.0137087616943703,0.0168213004059247,3.683694592563476e-26,395554,RPL27A
ENSG00000133639,-0.0165501638775534,-0.0225735921363998,9.8931918019998e-46,395310,BTG1
ENSG00000109332,-0.0001227405211996,-0.0001315447074236,0.934091130015387,395233,UBE2D3
ENSG00000118181,-0.0057868948298534,-0.0073332386579455,4.054322406178364e-06,394942,RPS25
ENSG00000174748,0.0027769624953608,0.0036320413998998,0.0225267047059482,394538,RPL15
ENSG00000204592,-0.0010286199841905,-0.0013887656723946,0.3830655137586537,394492,HLA-E
ENSG00000204628,-0.0048198865938291,-0.00631146774206,7.375378668265188e-05,394426,RACK1
ENSG00000188846,-0.0057515772240134,-0.0075723269803659,2.00376597402215e-06,393981,RPL14
ENSG00000122406,-0.0055850696012623,-0.0072755951520118,5.026259339496605e-06,393447,RPL5
ENSG00000111640,-0.0186875051818018,-0.0243345611346239,1.3912135381473089e-52,393181,GAPDH
ENSG00000089009,-0.0062879757625745,-0.0074427398692802,3.0874574920396484e-06,392837,RPL6
ENSG00000131469,0.0050398731273026,0.0066410508426101,3.1659321256962665e-05,392604,RPL27
ENSG00000136942,0.0006122470037167,0.0008081572796863,0.6131886200211509,391291,RPL35
ENSG00000231721,-0.000454389972431,-0.0006293351463692,0.6939176264414404,391044,LINC-PINT
ENSG00000189403,-0.0063924839181132,-0.0086142363320426,7.572199432323043e-08,389618,HMGB1
ENSG00000092199,0.0083130697003718,0.0111624491182306,3.3245741187477967e-12,389120,HNRNPC
ENSG00000198242,0.0064585839367348,0.0077160153727711,1.5115007735337487e-06,388545,RPL23A
ENSG00000125691,0.0282931603455345,0.0383046963907104,8.52799644134393e-126,387631,RPL23
ENSG00000146278,-0.0137907674707463,-0.0146074602702169,9.842630214729432e-20,387257,PNRC1
