gene_symbol	biotype
0610005C13Rik	lncRNA
0610006L08Rik	lncRNA
0610009E02Rik	lncRNA
0610009L18Rik	lncRNA
0610010K14Rik	protein_coding
0610012D04Rik	lncRNA
0610025J13Rik	lncRNA
0610030E20Rik	protein_coding
0610031O16Rik	lncRNA
0610033M10Rik	lncRNA
0610038B21Rik	lncRNA
0610039K10Rik	lncRNA
0610040B10Rik	lncRNA
0610040F04Rik	lncRNA
0610040J01Rik	protein_coding
0610043K17Rik	lncRNA
0710001A04Rik	lncRNA
1010001B22Rik	lncRNA
1100001I12Rik	lncRNA
1110002E22Rik	protein_coding
1110002J07Rik	lncRNA
1110002L01Rik	lncRNA
1110002O04Rik	lncRNA
1110003F10Rik	TEC
1110004F10Rik	protein_coding
1110006O24Rik	lncRNA
1110008E08Rik	lncRNA
1110015O18Rik	lncRNA
1110018N20Rik	lncRNA
1110019B22Rik	lncRNA
1110019D14Rik	lncRNA
1110020A21Rik	lncRNA
1110025M09Rik	TEC
1110028F11Rik	lncRNA
1110028F18Rik	lncRNA
1110032F04Rik	protein_coding
1110035H17Rik	lncRNA
1110038B12Rik	lncRNA
1110038F14Rik	protein_coding
1110046J04Rik	lncRNA
1110058D11Rik	lncRNA
1110059E24Rik	protein_coding
1110059G10Rik	protein_coding
1110060G06Rik	TEC
1110065P20Rik	protein_coding
1190001M18Rik	lncRNA
1190005I06Rik	protein_coding
1190028D05Rik	lncRNA
1200007C13Rik	lncRNA
1300002E11Rik	lncRNA
1300014J16Rik	lncRNA
1500002C15Rik	lncRNA
1500002F19Rik	lncRNA
1500004A13Rik	lncRNA
1500005C15Rik	TEC
1500009L16Rik	protein_coding
1500012K07Rik	lncRNA
1500015A07Rik	lncRNA
1500015L24Rik	lncRNA
1500026H17Rik	lncRNA
1500032F14Rik	lncRNA
1500035N22Rik	lncRNA
1600002D24Rik	lncRNA
1600010M07Rik	lncRNA
1600012H06Rik	protein_coding
1600012P17Rik	lncRNA
1600014C10Rik	protein_coding
1600014C23Rik	protein_coding
1600017P15Rik	TEC
1600019K03Rik	lncRNA
1600020E01Rik	lncRNA
1600022D10Rik	lncRNA
1600023N17Rik	TEC
1600025M17Rik	protein_coding
1600027J07Rik	lncRNA
1600029O15Rik	lncRNA
1700001D01Rik	lncRNA
1700001F09Rik	protein_coding
1700001G01Rik	lncRNA
1700001G11Rik	lncRNA
1700001G17Rik	TEC
1700001J03Rik	protein_coding
1700001J04Rik	lncRNA
1700001J11Rik	transcribed_processed_pseudogene
1700001K19Rik	protein_coding
1700001K23Rik	lncRNA
1700001L05Rik	lncRNA
1700001N15Rik	lncRNA
1700001O22Rik	protein_coding
1700003C15Rik	lncRNA
1700003D09Rik	lncRNA
1700003E16Rik	protein_coding
1700003E24Rik	lncRNA
1700003F12Rik	protein_coding
1700003G18Rik	lncRNA
1700003H04Rik	protein_coding
1700003I16Rik	lncRNA
1700003I22Rik	lncRNA
1700003L19Rik	lncRNA
1700003M07Rik	lncRNA
1700003N22Rik	processed_pseudogene
1700003O11Rik	lncRNA
1700003P14Rik	lncRNA
1700006A11Rik	protein_coding
1700006F04Rik	lncRNA
1700006H21Rik	lncRNA
1700006J14Rik	lncRNA
1700006P03Rik	TEC
1700007E05Rik	transcribed_processed_pseudogene
1700007F19Rik	lncRNA
1700007H22Rik	lncRNA
1700007J10Rik	lncRNA
1700007L15Rik	lncRNA
1700007P06Rik	lncRNA
1700008A23Rik	TEC
1700008B11Rik	lncRNA
1700008C04Rik	lncRNA
1700008H02Rik	TEC
1700008J07Rik	lncRNA
1700008K24Rik	lncRNA
1700008N11Rik	lncRNA
1700008O03Rik	protein_coding
1700008P02Rik	lncRNA
1700009C05Rik	lncRNA
1700009J07Rik	lncRNA
1700009N14Rik	protein_coding
1700010B08Rik	lncRNA
1700010B13Rik	lncRNA
1700010D01Rik	lncRNA
1700010G06Rik	lncRNA
1700010H22Rik	lncRNA
1700010I02Rik	lncRNA
1700010I14Rik	protein_coding
1700010J16Rik	lncRNA
1700010K23Rik	lncRNA
1700010K24Rik	lncRNA
1700010L04Rik	lncRNA
1700010N08Rik	transcribed_processed_pseudogene
1700011B04Rik	lncRNA
1700011C11Rik	lncRNA
1700011D18Rik	lncRNA
1700011L03Rik	lncRNA
1700011L22Rik	protein_coding
1700012A03Rik	protein_coding
1700012B07Rik	protein_coding
1700012B09Rik	protein_coding
1700012C08Rik	lncRNA
1700012C14Rik	lncRNA
1700012D16Rik	lncRNA
1700012E03Rik	lncRNA
1700012H19Rik	lncRNA
1700012I11Rik	lncRNA
1700012J15Rik	lncRNA
1700012J22Rik	TEC
1700013A02Rik	TEC
1700013D24Rik	lncRNA
1700013G24Rik	protein_coding
1700013H16Rik	protein_coding
1700013M08Rik	lncRNA
1700013N06Rik	lncRNA
1700014B07Rik	protein_coding
1700014F14Rik	lncRNA
1700014L14Rik	lncRNA
1700015C15Rik	lncRNA
1700015C17Rik	lncRNA
1700015H07Rik	lncRNA
1700015I17Rik	lncRNA
1700015O11Rik	lncRNA
1700016A09Rik	TEC
1700016B01Rik	lncRNA
1700016B15Rik	TEC
1700016D08Rik	TEC
1700016F12Rik	lncRNA
1700016G22Rik	lncRNA
1700016H03Rik	lncRNA
1700016H13Rik	protein_coding
1700016J18Rik	lncRNA
1700016K05Rik	lncRNA
1700016L21Rik	lncRNA
1700016P03Rik	lncRNA
1700016P04Rik	lncRNA
1700017B05Rik	protein_coding
1700017G19Rik	lncRNA
1700017I07Rik	lncRNA
1700017J07Rik	lncRNA
1700017L05Rik	lncRNA
1700017M07Rik	lncRNA
1700017N19Rik	protein_coding
1700018A04Rik	lncRNA
1700018A14Rik	TEC
1700018A23Rik	lncRNA
1700018B08Rik	protein_coding
1700018B24Rik	lncRNA
1700018F24Rik	protein_coding
1700018L02Rik	lncRNA
1700018P08Rik	lncRNA
1700018P22Rik	lncRNA
1700019A02Rik	protein_coding
1700019A23Rik	TEC
1700019C18Rik	lncRNA
1700019D03Rik	protein_coding
1700019F05Rik	lncRNA
1700019G24Rik	lncRNA
1700019J19Rik	lncRNA
1700019L13Rik	lncRNA
1700019M22Rik	processed_pseudogene
1700019P21Rik	lncRNA
1700020A23Rik	protein_coding
1700020D12Rik	lncRNA
1700020D14Rik	lncRNA
1700020G03Rik	TEC
1700020G17Rik	lncRNA
1700020L13Rik	lncRNA
1700020L24Rik	protein_coding
1700020M21Rik	lncRNA
1700020N01Rik	protein_coding
1700020N15Rik	protein_coding
1700020N18Rik	lncRNA
1700021A07Rik	lncRNA
1700021F02Rik	lncRNA
1700021G15Rik	lncRNA
1700021J08Rik	lncRNA
1700021N21Rik	lncRNA
1700021P04Rik	lncRNA
1700022A21Rik	lncRNA
1700022A22Rik	lncRNA
1700022E09Rik	lncRNA
1700022H01Rik	lncRNA
1700022H16Rik	lncRNA
1700022N22Rik	lncRNA
1700023C21Rik	lncRNA
1700023F02Rik	lncRNA
1700023G09Rik	lncRNA
1700023H06Rik	lncRNA
1700024B05Rik	protein_coding
1700024B18Rik	lncRNA
1700024G13Rik	protein_coding
1700024I08Rik	lncRNA
1700024J04Rik	lncRNA
1700024N05Rik	lncRNA
1700024P12Rik	lncRNA
1700025A08Rik	TEC
1700025B11Rik	protein_coding
1700025C18Rik	protein_coding
1700025D23Rik	lncRNA
1700025F24Rik	lncRNA
1700025G04Rik	protein_coding
1700025H01Rik	lncRNA
1700025J12Rik	lncRNA
1700025K04Rik	lncRNA
1700025K24Rik	lncRNA
1700025L06Rik	lncRNA
1700025M24Rik	lncRNA
1700025N21Rik	lncRNA
1700025N23Rik	lncRNA
1700025O08Rik	lncRNA
1700026D11Rik	lncRNA
1700026F02Rik	lncRNA
1700026J12Rik	lncRNA
1700026J14Rik	lncRNA
1700026N04Rik	lncRNA
1700027A07Rik	lncRNA
1700027F06Rik	lncRNA
1700027F09Rik	lncRNA
1700027H10Rik	lncRNA
1700027I24Rik	lncRNA
1700027J07Rik	lncRNA
1700028B04Rik	transcribed_processed_pseudogene
1700028D13Rik	lncRNA
1700028E10Rik	lncRNA
1700028E11Rik	lncRNA
1700028I16Rik	lncRNA
1700028J19Rik	protein_coding
1700028K03Rik	protein_coding
1700028M03Rik	lncRNA
1700028N14Rik	lncRNA
1700028P15Rik	lncRNA
1700029B22Rik	lncRNA
1700029B24Rik	TEC
1700029E06Rik	lncRNA
1700029F12Rik	protein_coding
1700029H14Rik	protein_coding
1700029J03Rik	lncRNA
1700029K24Rik	lncRNA
1700029M03Rik	lncRNA
1700029M20Rik	lncRNA
1700029N11Rik	lncRNA
1700030A11Rik	lncRNA
1700030C10Rik	lncRNA
1700030C12Rik	lncRNA
1700030C14Rik	lncRNA
1700030E10Rik	lncRNA
1700030F04Rik	lncRNA
1700030I03Rik	TEC
1700030J22Rik	protein_coding
1700030K09Rik	protein_coding
1700030L20Rik	lncRNA
1700030L22Rik	lncRNA
1700030M09Rik	lncRNA
1700030N03Rik	lncRNA
1700030N18Rik	TEC
1700030O20Rik	lncRNA
1700031A10Rik	lncRNA
1700031C06Rik	lncRNA
1700031F05Rik	protein_coding
1700031F10Rik	lncRNA
1700031L13Rik	protein_coding
1700031M16Rik	transcribed_unitary_pseudogene
1700031P21Rik	lncRNA
1700034B16Rik	lncRNA
1700034E13Rik	protein_coding
1700034G24Rik	lncRNA
1700034H15Rik	lncRNA
1700034J04Rik	TEC
1700034J05Rik	protein_coding
1700034K08Rik	lncRNA
1700034P13Rik	lncRNA
1700036A12Rik	lncRNA
1700036G14Rik	lncRNA
1700036O09Rik	lncRNA
1700037C18Rik	protein_coding
1700037F03Rik	lncRNA
1700039E22Rik	lncRNA
1700039I01Rik	TEC
1700039M10Rik	lncRNA
1700039M15Rik	lncRNA
1700039O17Rik	lncRNA
1700040D17Rik	lncRNA
1700040F17Rik	lncRNA
1700040K01Rik	lncRNA
1700040L08Rik	lncRNA
1700041A01Rik	lncRNA
1700041B01Rik	lncRNA
1700041C23Rik	lncRNA
1700041G16Rik	lncRNA
1700041I07Rik	lncRNA
1700041M05Rik	lncRNA
1700041M19Rik	lncRNA
1700042D02Rik	lncRNA
1700042G15Rik	lncRNA
1700042O05Rik	lncRNA
1700042O10Rik	lncRNA
1700044K03Rik	lncRNA
1700045H11Rik	lncRNA
1700045I11Rik	TEC
1700046C09Rik	lncRNA
1700047A11Rik	lncRNA
1700047E10Rik	lncRNA
1700047F07Rik	protein_coding
1700047G03Rik	lncRNA
1700047G07Rik	lncRNA
1700047K16Rik	lncRNA
1700047L14Rik	lncRNA
1700047M11Rik	lncRNA
1700047N06Rik	TEC
1700047O18Rik	TEC
1700048F04Rik	lncRNA
1700048M11Rik	lncRNA
1700048O14Rik	lncRNA
1700048O20Rik	lncRNA
1700048P04Rik	lncRNA
1700049E15Rik	lncRNA
1700049E17Rik1	protein_coding
1700049E17Rik2	protein_coding
1700049E22Rik	lncRNA
1700049L16Rik	processed_pseudogene
1700051A21Rik	lncRNA
1700051K13Rik	TEC
1700051O22Rik	TEC
1700052H01Rik	lncRNA
1700052I22Rik	lncRNA
1700052K11Rik	lncRNA
1700054A03Rik	lncRNA
1700054K02Rik	lncRNA
1700054K19Rik	lncRNA
1700054M17Rik	lncRNA
1700054O05Rik	lncRNA
1700054O19Rik	TEC
1700055C04Rik	lncRNA
1700055D18Rik	lncRNA
1700056E22Rik	protein_coding
1700056N10Rik	lncRNA
1700057H15Rik	lncRNA
1700057H21Rik	lncRNA
1700058P15Rik	lncRNA
1700060C16Rik	lncRNA
1700060C20Rik	lncRNA
1700060J05Rik	lncRNA
1700060O08Rik	lncRNA
1700061A03Rik	TEC
1700061E17Rik	lncRNA
1700061E18Rik	lncRNA
1700061F12Rik	lncRNA
1700061H18Rik	lncRNA
1700061I17Rik	lncRNA
1700061J23Rik	lncRNA
1700061N14Rik	lncRNA
1700062C10Rik	lncRNA
1700063A18Rik	lncRNA
1700063D05Rik	lncRNA
1700063H04Rik	lncRNA
1700063H06Rik	lncRNA
1700063I16Rik	TEC
1700063J08Rik	lncRNA
1700063K16Rik	transcribed_processed_pseudogene
1700064H15Rik	lncRNA
1700064J06Rik	lncRNA
1700064M15Rik	lncRNA
1700064N11Rik	lncRNA
1700065D16Rik	lncRNA
1700065I16Rik	lncRNA
1700065J11Rik	lncRNA
1700065J18Rik	lncRNA
1700065L07Rik	lncRNA
1700065O20Rik	lncRNA
1700066B17Rik	lncRNA
1700066C05Rik	lncRNA
1700066J03Rik	lncRNA
1700066M21Rik	protein_coding
1700066N21Rik	lncRNA
1700067G17Rik	lncRNA
1700067K01Rik	protein_coding
1700067P10Rik	protein_coding
1700069B07Rik	lncRNA
1700069L16Rik	lncRNA
1700069P05Rik	lncRNA
1700071G01Rik	lncRNA
1700071K01Rik	transcribed_processed_pseudogene
1700071M16Rik	lncRNA
1700072B07Rik	lncRNA
1700072G22Rik	lncRNA
1700072I22Rik	lncRNA
1700072O05Rik	lncRNA
1700073E17Rik	transcribed_processed_pseudogene
1700074A21Rik	TEC
1700074H08Rik	lncRNA
1700080C20Rik	lncRNA
1700080G18Rik	lncRNA
1700080N15Rik	lncRNA
1700081B01Rik	lncRNA
1700081H04Rik	lncRNA
1700081N11Rik	lncRNA
1700082M22Rik	lncRNA
1700083H02Rik	lncRNA
1700084C06Rik	lncRNA
1700084D21Rik	lncRNA
1700084E18Rik	lncRNA
1700084F23Rik	lncRNA
1700084J12Rik	transcribed_processed_pseudogene
1700084M14Rik	protein_coding
1700085C21Rik	lncRNA
1700085D07Rik	lncRNA
1700085D22Rik	lncRNA
1700086D15Rik	lncRNA
1700086L19Rik	lncRNA
1700086O06Rik	lncRNA
1700086P04Rik	lncRNA
1700087I21Rik	lncRNA
1700087M22Rik	lncRNA
1700088E04Rik	protein_coding
1700091H14Rik	lncRNA
1700092C10Rik	lncRNA
1700092C17Rik	lncRNA
1700092E16Rik	TEC
1700092E19Rik	lncRNA
1700092K14Rik	lncRNA
1700093J21Rik	lncRNA
1700093K21Rik	protein_coding
1700093P08Rik	lncRNA
1700094J05Rik	lncRNA
1700094M23Rik	lncRNA
1700094M24Rik	lncRNA
1700095A13Rik	lncRNA
1700095A21Rik	lncRNA
1700095B10Rik	lncRNA
1700095J03Rik	lncRNA
1700095J07Rik	lncRNA
1700095J12Rik	lncRNA
1700095K22Rik	lncRNA
1700096J18Rik	lncRNA
1700096K18Rik	lncRNA
1700097M23Rik	TEC
1700097N02Rik	lncRNA
1700099I09Rik	lncRNA
1700100I10Rik	lncRNA
1700100L14Rik	lncRNA
1700101I11Rik	lncRNA
1700101I19Rik	lncRNA
1700101O22Rik	lncRNA
1700102F20Rik	TEC
1700102H20Rik	lncRNA
1700102P08Rik	protein_coding
1700104B16Rik	lncRNA
1700104L18Rik	lncRNA
1700105G05Rik	lncRNA
1700105P06Rik	lncRNA
1700106O07Rik	lncRNA
1700108F19Rik	lncRNA
1700108J01Rik	lncRNA
1700108N06Rik	lncRNA
1700108N11Rik	lncRNA
1700109G14Rik	lncRNA
1700109G15Rik	lncRNA
1700109H08Rik	protein_coding
1700109I08Rik	lncRNA
1700109K24Rik	lncRNA
1700110C19Rik	lncRNA
1700110I01Rik	lncRNA
1700110I07Rik	lncRNA
1700110K17Rik	lncRNA
1700111E14Rik	lncRNA
1700111N16Rik	lncRNA
1700112D23Rik	lncRNA
1700112H15Rik	lncRNA
1700112J05Rik	lncRNA
1700112J16Rik	lncRNA
1700112K13Rik	lncRNA
1700112L15Rik	TEC
1700112M02Rik	lncRNA
1700113A16Rik	lncRNA
1700113B09Rik	lncRNA
1700113B19Rik	TEC
1700113H08Rik	protein_coding
1700116B05Rik	lncRNA
1700119H24Rik	lncRNA
1700119I11Rik	lncRNA
1700120B22Rik	lncRNA
1700120C14Rik	lncRNA
1700120C18Rik	lncRNA
1700120E14Rik	lncRNA
1700120G07Rik	lncRNA
1700120G11Rik	lncRNA
1700120K04Rik	lncRNA
1700121C08Rik	lncRNA
1700121C10Rik	lncRNA
1700121L03Rik	lncRNA
1700121L16Rik	lncRNA
1700121N20Rik	lncRNA
1700122C19Rik	lncRNA
1700122E12Rik	lncRNA
1700122H20Rik	lncRNA
1700122O11Rik	protein_coding
1700123J17Rik	lncRNA
1700123K08Rik	protein_coding
1700123M08Rik	lncRNA
1700123O12Rik	lncRNA
1700123O20Rik	protein_coding
1700123O21Rik	lncRNA
1700124L16Rik	lncRNA
1700124M09Rik	lncRNA
1700125G02Rik	lncRNA
1700125G22Rik	lncRNA
1700125H03Rik	lncRNA
1700126A01Rik	lncRNA
1700126G02Rik	lncRNA
1700126H18Rik	lncRNA
1700127F24Rik	lncRNA
1700128A07Rik	lncRNA
1700128E19Rik	lncRNA
1700128F08Rik	lncRNA
1700128I11Rik	lncRNA
1700129C05Rik	protein_coding
1700129L04Rik	lncRNA
1810006J02Rik	lncRNA
1810007C17Rik	lncRNA
1810007D17Rik	lncRNA
1810008B01Rik	lncRNA
1810008I18Rik	lncRNA
1810009A15Rik	protein_coding
1810009J06Rik	protein_coding
1810010H24Rik	protein_coding
1810010K12Rik	lncRNA
1810012K08Rik	lncRNA
1810012K16Rik	lncRNA
1810013D15Rik	lncRNA
1810014B01Rik	transcribed_unprocessed_pseudogene
1810014P07Rik	lncRNA
1810017P11Rik	TEC
1810018F18Rik	lncRNA
1810019D21Rik	lncRNA
1810019N24Rik	lncRNA
1810021B22Rik	lncRNA
1810024B03Rik	protein_coding
1810028F09Rik	lncRNA
1810030O07Rik	protein_coding
1810034E14Rik	lncRNA
1810035K13Rik	lncRNA
1810037I17Rik	protein_coding
1810041H14Rik	lncRNA
1810044D09Rik	lncRNA
1810044K17Rik	lncRNA
1810049I09Rik	lncRNA
1810049J17Rik	protein_coding
1810053B23Rik	lncRNA
1810055G02Rik	protein_coding
1810058N15Rik	lncRNA
1810059C17Rik	lncRNA
1810059H22Rik	lncRNA
1810062G17Rik	protein_coding
1810062O18Rik	lncRNA
1810063I02Rik	lncRNA
1810064F22Rik	lncRNA
1810065E05Rik	protein_coding
1810073O08Rik	lncRNA
2010001A14Rik	lncRNA
2010001K21Rik	lncRNA
2010001M07Rik	lncRNA
2010002M09Rik	lncRNA
2010003K11Rik	protein_coding
2010004M13Rik	lncRNA
2010007H06Rik	lncRNA
2010008C14Rik	TEC
2010009K17Rik	lncRNA
2010010A06Rik	lncRNA
2010013B24Rik	lncRNA
2010016I18Rik	lncRNA
2010103J01Rik	lncRNA
2010106C02Rik	lncRNA
2010106E10Rik	protein_coding
2010106G04Rik	lncRNA
2010109A12Rik	protein_coding
2010109P13Rik	TEC
2010110E17Rik	lncRNA
2010110G14Rik	lncRNA
2010110K18Rik	lncRNA
2010203P06Rik	lncRNA
2010204K13Rik	lncRNA
2010308F09Rik	lncRNA
2010309G21Rik	lncRNA
2010310C07Rik	lncRNA
2010315B03Rik	protein_coding
2010320M18Rik	lncRNA
2010320O07Rik	lncRNA
2200002A13Rik	TEC
2200002D01Rik	protein_coding
2200002J24Rik	protein_coding
2200007N16Rik	TEC
2210009P08Rik	TEC
2210011K15Rik	lncRNA
2210016L21Rik	protein_coding
2210017I01Rik	protein_coding
2210020O09Rik	lncRNA
2210022D18Rik	lncRNA
2210039B01Rik	lncRNA
2210404E10Rik	lncRNA
2210406H18Rik	TEC
2210406O10Rik	lncRNA
2210408F21Rik	lncRNA
2210408I21Rik	protein_coding
2210409D07Rik	lncRNA
2210409E12Rik	transcribed_processed_pseudogene
2210411M09Rik	lncRNA
2210412B16Rik	TEC
2210414B05Rik	lncRNA
2210414F02Rik	lncRNA
2210417A02Rik	lncRNA
2210418O10Rik	protein_coding
2210420H20Rik	lncRNA
2300002M23Rik	protein_coding
2300009A05Rik	protein_coding
2310001H17Rik	lncRNA
