__mclCluster,EnrichmentMap::-log10(pvalue) (con_up),EnrichmentMap::-log10(pvalue)*sign(NES) (con_up),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (con_up),EnrichmentMap::ES (con_up),EnrichmentMap::fdr_qvalue (con_up),EnrichmentMap::fwer_qvalue (con_up),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (con_up),EnrichmentMap::pvalue (con_up),name,selected,shared name
,3,3,3,0.999,,1E-3,,SKI|MYC|CAV1|HMGA2|LIF|E2F1|FN1|ITGB3|FOSL2|CD300A|NUPR1|HRAS|PDGFC|CCNA2|MORC3|TGIF1|CD74|WNT5A|CCNB1|CDC6|SPHK1|AGT|CDK4|PDGFA|PDGFB|CDKN1A|NGFR|MIF|CREB1|WNT1|CTC1|CTNNB1|IGF1|DACH1|AQP1|PML|FTH1|GSTP1|SIRT6|KMT2A|NLRC3|TP53INP1|NF1|INCA1|IL13|TRIM32|CDK6|ZMIZ1|CDC73|LZTS2|LTA|PDGFD|EREG|DHX9|EMD|MED25|TGFB1|FBXO4|DDR2|PAWR|ABL1|MED31|IFI30|PDGFRA|DAB2IP|BTC|HTN3|PARP10|RNASEH2B|ESR1|PLA2G1B|ZMPSTE24|BAX|LIG4|MYB|GAS6|FBLN1|TP53|WNT2|ING5|C1QL4|S100A6|SOD2|EGFR|SFRP1|B4GALT7|PEX2|BMI1|BRK1|JUN|FGF10|CD248,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_FIBROBLAST_PROLIFERATION,92,ENR,GOBP_REGULATION_OF_FIBROBLAST_PROLIFERATION,1,1E-3,GOBP_REGULATION_OF_FIBROBLAST_PROLIFERATION,FALSE,GOBP_REGULATION_OF_FIBROBLAST_PROLIFERATION
59,3,3,3,0.999,,1E-3,,BMP4|MYC|NKX3-2|REST|HESX1|WNT3A|SIX1|ANP32B|FGF9|MKS1|OTOGL|GLI3|FZD3|DLX5|RDH10|DLX6|PAFAH1B1|NTN1|ELMOD3|OSR2|ADGRV1|HPN|PI4KB|SPRY2|IGF1|RBPJ|NOX3|OTX1|SIX4|TCAP|FZD2|SIX2|DVL2|FOXG1|GABRA5|NECTIN1|GABRB2|GABRB3|ZIC1|PROX1|HEY2|BCL2|BCL2L11|ECE1|KCNK3|GATA3|MYO3A|MYO3B|GRXCR1|TBX3|RPGRIP1L|GSC|SLC4A7|MCOLN3|TCF15|CECR2|LRP10|DCHS1|CALB1|GET1|PLPPR4|CCM2|FGFR2|GJB6|HPCA|EDN1|STRA6|EDNRA|MAF|AHI1|MAPKAPK2|NECTIN3|ANKRD24|CLRN2|GRXCR2|GSDME|NTRK3|LHFPL5|PDZD7|STRC|SLC44A4|TECTA|TPRN|HES5|OTOL1|MYCL|SCRIB|SLC17A8|MSX1|PAX2|CHD7|PAX8|POU3F4|TBX1|RAC1|MPV17|SHH|NR4A3|CHRNA10|CHRNA9|INSIG1|TRIOBP|VANGL2|BMP2|EYA1|EYA4|SLITRK6|FGF10|FGF8|HOXA13|TGFB2|JAG2|TIFAB|DLL1|CEBPD|ATG4B|MYCN|ATG5|INSIG2|WNT5A|TSKU|ATP6V1B1|HOXA2|TSHZ1|BLOC1S5|ROR1|GATA2|PTPN11|C1QTNF5|STOX1|FRZB|DIAPH3|HOXA1|TBX18|ATP8A2|OTOP1|ATP8B1|EPHB2|ESRP1|SEC24B|OSR1|SLC25A27|TTC8|ZEB1|IFT20|IFT27|IFT88|LIN7A|SLC26A5|DDR1|WDR19|CTHRC1|TMC1|HMX2|NOG|NIPBL|MAFB|SDC4|FZD6|LGR5|SHROOM2|TWIST1|PJVK|SOX2|TBX2|TRIP11|COL11A1|JAG1|COL2A1|CYTL1|ZIC3|ATOH1|CCNA2|FOXI1|HMX3|ITGA8|KCNQ4|LRIG1|LRIG3|MYO15A|POU4F3|PRRX1|SOBP|EPHA4|TFAP2A|TMIE|TTC39C|CDKN1B|MYO6|WNT1|HES1|SPARC|GRHL3|USH1C|PTK7|LHX3|MYO7A|NAGLU|PRKRA|TGFB1|NOTCH1|FGF2|FGFR1|CEP290|WDPCP|CDH23|CLRN1|KCNQ1|ADAM10|FREM2|MINAR2|NEUROD1|DVL1|PCDH15|CEBPA|PLS1|BCR|BMP5|BMPER|USH1G|KCNK2|USH2A|ALDH1A3|NHERF1|ESRRB|WHRN|MAPK1|MAPK3|MCM2|FGF20|SOD1|SOX9|RPL38,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EAR_DEVELOPMENT,233,ENR,GOBP_EAR_DEVELOPMENT,1,1E-3,GOBP_EAR_DEVELOPMENT,FALSE,GOBP_EAR_DEVELOPMENT
6,3,3,3,0.999,,1E-3,,BMP4|FGF2|FGFR1|SIX1|FZD5|GATA5|HOXC11|NKX2-1|ROBO1|WNT2B|AR|ROBO2|DKK1|HIPK1|POU5F1|HIPK2|FGF1|GDNF|WNT1|WNT2|SPRY1|CTNNB1|C12ORF43|HOXA11|BMP2|WNT3|SIX3|WNT4|FGF10|FGF8|FRS2|SOX9|SALL1|SOX8|MESP1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DEVELOPMENTAL_INDUCTION,35,ENR,GOBP_DEVELOPMENTAL_INDUCTION,1,1E-3,GOBP_DEVELOPMENTAL_INDUCTION,FALSE,GOBP_DEVELOPMENTAL_INDUCTION
2,3,3,3,0.999,,1E-3,,CNTN2|DLX1|DLX2|SHANK3|GATA2|ARX|NKX2-1|DRD2|RAC1|INHBA|RAC3|BCL11B|HELT|DRD1|LHX6|ASCL1|ZSWIM6,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GABAERGIC_NEURON_DIFFERENTIATION,17,ENR,GOBP_GABAERGIC_NEURON_DIFFERENTIATION,1,1E-3,GOBP_GABAERGIC_NEURON_DIFFERENTIATION,FALSE,GOBP_GABAERGIC_NEURON_DIFFERENTIATION
5,3,3,3,0.999,,1E-3,,FGFR1|LRRC4|CSMD2|IL1RAP|WNT7A|NRXN2|PTK2B|LATS1|RELN|CLSTN3|ABI3|PLXNB2|PTPRS|SLITRK3|SRGAP2|PRICKLE1|CASKIN1|PTEN|WNT5A|CBLN1|NPTN|ADGRL2|ADGRL3|PTPN13|C1QL2|C1QL3|NLGN1|CRIPT|NLGN2|NRXN1|LRFN1|LRFN4|LRRC4B|LRRTM2|NTRK3|SHANK3|SRGAP2C|VSTM5|GRID2|NPTX1|PTPRD|ZDHHC12|SEMA4A,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXCITATORY_SYNAPSE_ASSEMBLY,43,ENR,GOBP_EXCITATORY_SYNAPSE_ASSEMBLY,1,1E-3,GOBP_EXCITATORY_SYNAPSE_ASSEMBLY,FALSE,GOBP_EXCITATORY_SYNAPSE_ASSEMBLY
6,3,3,3,0.999,,1E-3,,SKI|BMP4|TIFAB|PITX2|DLL1|AXIN1|PGAP1|LEFTY2|ZIC3|WNT8A|WDR77|C2CD3|WT1|WNT5A|AHI1|CRIPTO|DDIT3|STC1|PAX6|BMPR1A|TASOR|WNT1|TDRD1|CDX1|TDRD5|CHRDL1|CTNNB1|CXXC4|MNS1|HOXD8|CER1|MESP2|OTX2|RIPPLY2|LDB1|TDRD6|TDRD7|TDRKH|SMAD4|SMAD6|CAPRIN2|CDX2|VAX2|WLS|CITED2|GPC3|MESP1|SIX2|SMO|WNT6|RNF2|SMAD2|NOTCH1|SRF|IRX4|FZD5|WNT7A|PTCH1|EPB41L5|IFT172|TTC8|BASP1|IFT25|BCOR|ETS2|AXIN2|MDFI|PRICKLE1|NCKAP1|TBX6|AURKA|HEY2|LHX1|ARL13B|SHH|NODAL|PKD1L1|STIL|FUT6|SETDB2|LEFTY1|NOTCH2|COBL|FOXA2|PCSK6|SFRP1|TBX3|TMED2|NRARP|WNT3|SIX3|FGF10|FRS2|GDF3|PLD6,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_AXIS_SPECIFICATION,95,ENR,GOBP_AXIS_SPECIFICATION,1,1E-3,GOBP_AXIS_SPECIFICATION,FALSE,GOBP_AXIS_SPECIFICATION
22,3,3,3,0.999,,1E-3,,CDON|ADAMTS15|MYMX|CAV3|NEO1|ADGRB3|CCL8|NPHS1|TANC1|TNFSF14|CAPN2|ITGB1|CFLAR|PTGFRN|ADAMTS5|ADGRB1|DOCK2|DOCK5|ADAM12|DYRK1B|CD81|RIPOR2|CD9|MAPK14|PLEKHO1|FLOT1|MYMK|MYOD1|DOCK1|MYOG|CD53|WNT1|NOS1|ERVFRD-1|ERVW-1|GDF15|CXCL10|MYH9|CACNA1H|SCGB3A1|IL4R|CXCL9|CACNA1S|EHD1|EHD2|NFATC2|KCNH1|TMEM182,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MYOBLAST_FUSION,48,ENR,GOBP_MYOBLAST_FUSION,1,1E-3,GOBP_MYOBLAST_FUSION,FALSE,GOBP_MYOBLAST_FUSION
116,3,3,3,0.999,,1E-3,,STK4|LIF|CNOT9|PAQR3|AKT1|MAD2L2|IFNG|PTEN|NT5DC2|TENM1|TRIM6|PDCD10|PFN2|IL6|OSM|RASSF2|BRAF|SPRY2|IL11|EGFR|CNKSR3|NSD1|ERCC6|ARAF|GADD45A|STOX1|CREBL2|NLRP2B|DMTN|IRGM|RAF1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,31,ENR,GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,1,1E-3,GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,FALSE,GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION
5,3,3,3,0.999,,1E-3,,DOCK10|CARMIL3|ARHGAP33|CSMD2|SENP1|NRXN2|SIGMAR1|NEURL1|LATS1|ABI3|ARHGEF9|CASKIN1|MAP1B|PTEN|WNT5A|CBLN1|MARK1|S1PR2|ARHGAP12|DOCK1|GAP43|CRIPT|CRK|LRFN1|CRKL|LRFN4|NECTIN3|LRRC4B|UBE3B|LRRTM2|NTRK3|UBE2M|GRID2|NTNG2|PTPRD|CDH2|ARHGEF15|SEMA4C|PPP1R9B|EPHB2|NLGN3|NCKIPSD|NUMBL|ABL1|TRIM47|FGFR1|IL1RAP|WNT7A|CRMP1|PTK2B|HTR4|RAC1|ELMO1|PTPN1|RELN|RAC3|PTPRS|SLITRK3|PRICKLE1|SLC12A5|SPTBN2|ASIC2|RTN4|RTN4R|DOCK4|LZTS1|C1QL2|CC2D1A|C1QL3|LRP4|NAE1|NLGN1|NLGN2|CYFIP2|NRXN1|VPS35|NEDD8|PUM2|SHANK3|RHOG|NPTX1|ASIC1|GNA13|ZDHHC12|ZDHHC8|SYNDIG1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSTSYNAPSE_ASSEMBLY,86,ENR,GOBP_POSTSYNAPSE_ASSEMBLY,1,1E-3,GOBP_POSTSYNAPSE_ASSEMBLY,FALSE,GOBP_POSTSYNAPSE_ASSEMBLY
2,3,3,3,0.999,,1E-3,,AGBL4|CHRNB2|WNT3A|POU4F1|PTF1A|RORB|GLI3|ZC4H2|NKX2-1|ATF5|ZDHHC16|KIFBP|TGIF1|ATP7A|B2M|DCLK2|RAPGEF2|UNC5D|DLX5|PAFAH1B1|PAX6|CRK|CRKL|CSF1R|PSEN1|EN1|EN2|LMX1A|B4GALT5|BRINP1|UBB|EPHA2|LEP|HPRT1|SALL1|ASCL1|BRINP2|BRINP3|CDON|SMO|SCN1B|EFNA1|FEZF1|FOXG1|SUFU|AGTPBP1|EOMES|NIN|PTCH1|DRD2|DCC|PROX1|TBX20|NHLH2|DLX1|DLX2|GIGYF2|TUBA1A|DYNC2H1|NPY|SHANK3|POU3F2|CDK5|CLN8|BTG2|NEUROD4|LHX8|ITGB1|FGFR2|SKOR2|OGDH|ERBB4|PTEN|WNT9B|DKK1|NKX6-1|MIB1|DMRT3|MYCBP2|NRP2|FZD1|PRKCA|ADARB1|PLXNA4|HES5|CSNK1D|TTC36|LDB1|SFRP2|NANOS1|SEMA3E|FOXP2|ZMIZ1|ARHGEF28|LHX6|PHOX2A|UQCRQ|ZSWIM6|CHD5|MAPT|TGIF2|SLIT3|TBR1|DAB1|B4GALT6|RAC1|GBA1|RAC3|SECISBP2|FAIM2|SPTBN4|PALS1|SHH|EPHB1|KNDC1|NTRK2|SZT2|WDR47|SLIT2|LRP6|ZHX2|SIN3A|SPOCK1|PEX5|FGF8|PRDM8|PLXNA1|OTP|TOX|WNT5A|CDH11|TSKU|SLC25A46|GATA2|BRSK1|TFAP2C|BRSK2|ZNF335|SCYL1|DLL4|EPHB2|ELAVL4|IFT172|NFE2L1|SCYL2|HERC1|MAP2|SLC4A10|CNTN2|NDEL1|C21ORF91|NRXN1|TTLL1|WNT2|HOXC10|TULP3|SFRP1|BMPR1B|TAOK1|LMO4|GABRB1|BCL6|GDF11|ATOH1|ARHGAP35|CBLN1|DRD1|TAL1|DISC1|EPHA4|OPHN1|SPG11|BMPR1A|WNT1|NOVA2|CTNNB1|ID4|GRID2|HES1|ARX|INHBA|MAP2K1|ISL1|KIAA0319|NDNF|GBX1|ISL2|LHX3|LHX4|LONRF2|MDGA2|MNX1|ZEB2|OLIG2|SCYL3|TCTN1|HOXD10|NOTCH1|NRP1|WNT7A|GLI2|PLXNA3|NR4A2|BCL11B|ROBO1|DRAXIN|ROBO2|FOXN4|NEUROD1|GDF7|LHX1|LHX5|RYK|MDGA1|ABT1|PAX7|TTC21B|SOX1|GBA2|EMX1|NFIB|SLIT1|CEND1|RORA|WNT3|C12ORF57|VSX2|FBXO45|NR2E1|EPHB3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,230,ENR,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,1,1E-3,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,FALSE,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION
