__mclCluster,EnrichmentMap::-log10(pvalue) (con_down),EnrichmentMap::-log10(pvalue)*sign(NES) (con_down),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (con_down),EnrichmentMap::ES (con_down),EnrichmentMap::fdr_qvalue (con_down),EnrichmentMap::fwer_qvalue (con_down),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (con_down),EnrichmentMap::pvalue (con_down),name,selected,shared name
22,3,3,3,0.999,,1E-3,,BTN2A2|UBR2|THY1|VTCN1|CBLB|CD2AP|CCR7|CD300A|CD81|EIF2B1|EIF2B3|EIF2B4|ZAP70|RAB29|BTN1A1|BTN2A1|DUSP22|BTNL3|PRKD2|BTNL9|SIVA1|ELF1|PTPRC|CRKL|ERMAP|BCL10|FYB1|FYB2|ITPRIPL1|PSEN1|BTK|PVRIG|THEMIS2|UBASH3A|EIF2B5|CEACAM1|FCHO1|BTNL8|CD247|CD3D|CD3G|GBP1|MOG|NFKBID|CD8B|PIK3CD|CTLA4|PRAM1|RPS3|RC3H1|TESPA1|RC3H2|CYLD|NCK1|SHB|HLA-DQB1|IKBKG|ICOSLG|LIME1|BTN3A3|MAP3K7|GATA3|BRAF|SKAP1|THEMIS|UBE2N|CD8A|RBCK1|TNFRSF21|STK11|TRAT1|IKBKB|PLCG1|PLCG2|KHDRBS1|FYN|RIPK2|LGALS3|RNF31|LAT|BTN3A1|BTN3A2|FOSL2|CD160|EIF2B2|HRAS|CD226|CD276|CD3E|LCK|CD28|DUSP3|PHPT1|HLA-A|SLA2|HLA-DPB1|HLA-DRB1|BTNL2|DGKZ|CARD11|STOML2|LCP2|TEC|CSK|LIPA|PRNP|TRAF6|DENND1B|LILRB4|PDE4B|HHLA2|PDE4D|RFTN1|BTRC|PTPN22|EZR|PAWR|ABL1|FOXP3|BCAR1|TXK|ITK|PTPRJ|KCNN4|ZC3H12A|PTPN2|PTPN6|ZNF683|CACNB3|INPP5D|RELA|PIK3CA|SLC39A6|NECTIN2|CACNB4|LAPTM5|NFKBIZ|ADA|WNK1|MALT1|SH2D1A|MAPK1|SPPL3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,143,ENR,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1,1E-3,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,FALSE,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY
,3,3,3,0.999,,1E-3,,GHRL|UMOD|HRH2|DRD2|CES1|KCNQ1|SLC51B|P2RX7|ACACB|CHRM5|AGXT|DRD3|NMU|ABCB11|SLC9A4|ABAT|ABCB4|APBA1|BEST1|CACNB4|CASR|GABBR1|PTGER3|HIP1R|NHERF1|NTSR1|SCT|SLC22A16|TNF|SGK1|SLC51A|TRH|CCKBR|NF1|TRPC4|SLC26A6|UGT1A3|SLC26A7|SNX10|CLDN2|TFF2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ACID_SECRETION,41,ENR,GOBP_ACID_SECRETION,1,1E-3,GOBP_ACID_SECRETION,FALSE,GOBP_ACID_SECRETION
,3,3,3,0.999,,1E-3,,FLOT2|IL10|FGG|SKAP1|AGER|CD44|KLF4|BMP7|TNF|WNK1|MYADM|MAP2K5|ADIPOQ|LCK|CEACAM6|MBP|FGA|FGB|IL1B|IL1RN|MAPK7|GCNT2|APOA1|FLOT1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION,24,ENR,GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION,1,1E-3,GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION,FALSE,GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION
48,3,3,3,0.999,,1E-3,,CBLB|PDCD1|TGFB1|ITCH|PHLPP1|ICOS|NR5A2|FOXP3|TNFAIP3|XKR8|LILRB2|CCR4|CD3E|CLC|LGALS9|ACOD1|AIRE|HAVCR2|LYN|FOXJ1|PSG9|HMGB1|MARCHF7|HLA-B|HLA-E|HLA-G|TGFBR2|IL2RA|LILRB4|IDO1|IRAK3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TOLERANCE_INDUCTION,31,ENR,GOBP_TOLERANCE_INDUCTION,1,1E-3,GOBP_TOLERANCE_INDUCTION,FALSE,GOBP_TOLERANCE_INDUCTION
1,3,3,3,0.999,,1E-3,,VTCN1|WNT3A|ARL2|HRG|AKT1|DOCK5|B2M|CD4|PDGFB|GFUS|GSK3B|BCL10|HMGB1|IGF1|IGF2|IL6ST|EMILIN2|CD1D|HACD1|LEP|CD36|HSD17B12|MTOR|FGA|FGB|PIK3CD|CYLD|HLA-DMA|HLA-DOA|HTN1|HLA-DOB|HLA-DQA1|HLA-DQA2|HLA-DQB1|HLA-DQB2|PIEZO1|DUSP10|HLA-DRB5|ICOSLG|JAK1|FLOT1|FLOT2|FUT3|RAP1GAP|PNP|UTRN|NPY|SKAP1|HLA-E|ANK3|HLA-G|TNFRSF13C|TNFSF13B|RNASE10|AP3D1|IRAK1|KLHL25|BRD4|CCN1|CDH13|RHOA|NRG1|PRKCA|PPM1F|CSK|TNF|DAB2|LDB1|NLRP3|TGM2|CYTH3|PKP1|PDPK1|XBP1|ABL1|PIK3R6|ACTB|ACTL6A|ACTL6B|EPB41L5|AGER|PODXL|ARID1A|PRKCE|ARID1B|ARID2|PTPN6|IFNG|IL4|BRD7|SHH|NR4A3|RELA|CD55|PTPN23|MALT1|PRKCZ|NPY2R|STAT5A|APBB1IP|BTN2A2|CAV1|C1QBP|ANGPT1|ICOS|P4HB|KAT5|FN1|FUT1|PLPP3|CD46|CD80|RUNX3|SOCS1|CD63|CD86|PCK1|FBXO38|FOXF1|FLNA|PBRM1|PHF10|PTPN11|GPR65|HLA-DMB|HLA-DRA|HLX|IL2RG|IL4I1|IL4R|CDK6|KLHL22|LGALS1|NFKBID|PKP3|RPS3|SHB|SMAD7|SOCS5|SMARCA2|SMARCA4|SMARCB1|UNC13D|SMARCC1|SMARCC2|YWHAG|SMARCD1|ZBTB1|SMARCD2|ZBTB7B|SMARCD3|SMARCE1|FSTL3|SFRP1|CD27|CD70|SOX2|BCL6|ARHGEF7|DSG2|CD28|EPHA4|FGG|CORO1A|CTNNB1|HES1|HYAL1|IL2RA|MMRN1|TGFB1|NR5A2|NRP1|TFE3|FOXP3|GLI2|ABL2|ADAM8|AIF1|ALOX5|ANXA1|IL10|IL2|IL6|AZU1|IL7R|PPP3CA|TEK|PRSS2|EP300|CD44|CALR|VTN|FERMT2|WNT4|CCL19|CCL2|CCL21|GCNT2|CCL25|CCL28|FOXA1|CD209|CCL5|CFL1|LIF|CCR2|HTR2A|CCR7|NPNT|GLI3|DAG1|BRD2|SART1|CD47|EFNB2|CD74|EFNB3|CD81|JUP|RRAS|CDC42|CHST2|CHST4|PRKCQ|PRKD2|CRK|PTPRC|CRKL|CSF1|CTSG|CX3CL1|CXCL12|ITGA5|CXCL13|ITGAV|SRC|STK4|TNFSF4|DOCK8|AP3B1|DPP4|ELANE|VEGFA|EMILIN1|EMP2|F11R|FADD|BAD|AFDN|FUT4|FUT7|MYOC|SLC7A1|GATA3|GCNT1|BRAF|CD24|SOX4|CIB1|TPM1|BMI1|IL12A|IL1B|ADAM9|IL23A|IL6R|ERBB2|CBFB|FYN|ITGA2|ITGA3|CYRIB|ITGA4|EPO|ITGB3|DNAJA3|MAGI1|MYADM|CARMIL1|KITLG|KLRC4-KLRK1|ITGB1BP1|KLRK1|ITGB2|WNT10B|IL36B|LCK|LGALS9|TJP1|LYN|MDK|DHPS|LAMC1|HSPD1|NCKAP1L|NEDD9|MAP4K4|SFRP2|ZMIZ1|P2RY12|IHH|KDR|CITED2|PREX1|PTK2B|PTPRJ|RAC1|RAC3|RET|SPTA1|ROCK1|BAG4|EGR3|STX3|SAA1|SELE|SELENOK|SELP|TRIOBP|SIRPA|SLAMF1|BMP7|OPA1|SPN|ST3GAL4|STAT5B|RHOD|SYK|PLAUR|TGFB2|POLDIP2|THY1|DUSP26|TNFRSF14|TNFRSF18|AMBRA1|TNFSF11|TNFSF14|TNFSF18|PYCARD|VAV1|VAV3|AGR2|VCAM1|LIMS1|WNT5A|XCL1|YES1|ZAP70|NFAT5|ZP3|SFN|OLFM4|RHOH|SMAD3|PTPRU|CD5|TFRC|EFNB1|ADGRG1|FCHO1|HSPH1|IGFBP2|NKAP|RASAL3|SIRPB1|SIRPG|VNN1|SOX12|TMEM102|SOX13|TESPA1|NCK1|NCK2|TNFSF9|ZBTB16|KIFAP3|LGALS8|PIK3R2|ADAM19|DENND6A|FOXC2|FBLN1|RASGRP1|FOXA2|NOD2|SDC4|GP6|HAS2|ALOX15|APOA1|ILK|TESK1|ATM|RIPK2|MFSD2B|ZP4|CD160|S100A10|PDPN|CD274|ABI3BP|CD276|ARPC2|CD3E|CASS4|CCDC80|CEACAM6|CR1|CHRD|DISC1|COL16A1|EBI3|COL26A1|HAVCR2|COL8A1|HLA-A|CSPG5|HLA-DPA1|DMP1|HLA-DPB1|DOCK1|HLA-DRB1|ECM2|EDIL3|BTNL2|EFEMP2|EGFL6|IL12B|EGFLAM|IL12RB1|CARD11|EPB41L4B|STX4|EPHA1|IL18|CCDC88B|FBLN2|FRMD5|CD6|IBSP|CD83|IFT74|IL21|IL23R|KIF26B|LAMA1|LAMA2|LAMB1|TGFBR2|LAMB2|LIMS2|MEGF10|MYO10|TRAF6|FERMT1|JAK2|NDNF|NID1|PLEKHA2|TSC1|LILRB1|RELL2|LILRB4|RIN2|RREB1|RSU1|PDCD1LG2|SPOCK2|HHLA2|VIT|VWC2|ZFHX3|RARA|IL15|SASH3|GPAM|IL1A|IL1RL2|IL7|TYK2|ETS1|VSIR|LILRB2|MAP3K8|CD40LG|NODAL|LEF1|ITPKB|NFKBIZ|FOXO3|ADA|RAG1|RUNX1|SERPINF2|PRKAA1|TMIGD2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,497,ENR,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,1,1E-3,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,FALSE,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION
31,3,3,3,0.999,,1E-3,,BMP4|CHRNB1|ACTN3|PITX2|ACTA1|SIX1|ACTC1|ADPRHL1|ANKRD23|DMD|BMP10|ALPK2|CASQ1|ALPK3|CSRP2|ANHX|CSRP3|MYH3|DCAF8|DNER|MYH6|ADM|MAML1|SGCB|SGCZ|TBX5|BIN3|WFIKKN1|FHOD3|WFIKKN2|FLNC|PDGFRB|XK|KRT19|CCNB1|LDB3|CDK1|MYBPC1|MYBPC2|COL6A1|MYBPC3|GSK3A|MYBPH|MYH11|MYL2|MYOM1|MYOM2|MYOM3|MYOZ2|ANK2|IGF1|MYPN|NEB|NEBL|NRAP|OBSCN|PGM5|KLHL40|PRKAR1A|KLHL41|SIX4|SYNPO2L|MTOR|TCAP|TNNT1|TNNT2|FOXP1|SHOX2|TNNT3|UCHL1|RYR1|SMO|MYH10|AFG3L2|SGCD|VEGFA|NPPA|ADRA1A|PRICKLE1|PROX1|STAC3|MYORG|HEY2|ZMPSTE24|BCL2|SELENON|P2RX2|CAV2|TBX3|FHL2|MYF5|TPM1|MYF6|CNTNAP1|NFATC2|RCAN1|SKI|SMYD3|CTCF|CXADR|ITGB1|CTDP1|EDN1|EDNRA|CFL2|WNT10B|LARGE1|ACTN2|FLII|NACA|GPX1|HOMER1|PAK1|LMOD1|LMOD2|LMOD3|RGS2|LMNA|MYLK3|MEF2A|CACNA2D2|AKAP6|NFATC4|ENG|PLEC|TMOD1|TMOD2|TMOD4|LOX|PTCD2|SLC8A1|OBSL1|TMEM182|CAV3|AKAP13|CAPN3|KDM1A|CFLAR|HDAC9|PRKD1|ATG5|WDR1|ATP2A2|ACTN4|MYOG|PDLIM5|PI16|SORBS2|ACTG1|TBX18|ACTN1|BIN1|NKX2-5|KEL|SRF|MYO18B|RGS4|COMP|TOMM70|SYPL2|CSRP1|PARP2|SDC1|MEIS1|HNRNPU|TTN|YY1|ANKRD1|TMOD3|MYL9|SPG11|MYOD1|BMPR1A|EFEMP2|HES1|MEGF10|ISL1|SMAD4|GATA4|NAGLU|PPARA|PPP3CB|MYOZ1|NOTCH1|PDGFRA|COL14A1|PRKG1|RAMP2|ASB2|PPP3CA|CACNB4|FBXO22|G6PD|CACNA1S,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MUSCLE_CELL_DEVELOPMENT,194,ENR,GOBP_MUSCLE_CELL_DEVELOPMENT,1,1E-3,GOBP_MUSCLE_CELL_DEVELOPMENT,FALSE,GOBP_MUSCLE_CELL_DEVELOPMENT
,3,3,3,0.999,,1E-3,,TXNDC2|KRIT1|PRDX6|TXNRD1|TXNRD2|ERO1B|TXNRD3|PRDX3|NFE2L1|PRDX5|NNT|PRDX2|SLC2A10|APEX1|PRDX1|DDIT3|GLRX3|NOS2|SELENON|TXN|BOLA1|GCLC|SELENOS|BOLA2B|BOLA3|CHD6|GLRX5|TXN2|GPX1|PRDX4|NOS1|NQO1|EGLN2|NOS3|NFE2L2|HVCN1|GLRX2|GSR|ERO1A|ERP44|SELENOT|GIT1|SLC11A1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_REDOX_HOMEOSTASIS,43,ENR,GOBP_CELL_REDOX_HOMEOSTASIS,1,1E-3,GOBP_CELL_REDOX_HOMEOSTASIS,FALSE,GOBP_CELL_REDOX_HOMEOSTASIS
19,3,3,3,0.999,,1E-3,,BUD13|KHDC4|TXNL4A|U2AF2|RSRP1|USP39|LUC7L|CELF1|LUC7L2|CELF2|LUC7L3|CELF3|CELF4|SCAF11|CELF5|CELF6|SETX|SF1|SF3A1|SF3A2|SF3A3|YTHDC1|SF3B1|SF3B2|SF3B3|SF3B4|NCBP1|SF3B5|SF3B6|CRNKL1|SFSWAP|NOL3|SLU7|SMN1|SMN2|ZRSR2|SNIP1|DDX1|SNRNP200|DDX23|PHF5A|DDX39B|DDX42|DDX46|SNRPA1|SNRPB|SNRPB2|SNRPC|SNRPD1|SNRPD2|SNRPD3|SNRPE|SNRPF|SNRPG|SRPK1|SRPK2|PRPF19|SRPK3|SRSF1|PRPF39|SRSF10|SRSF12|PRPF6|SRSF5|PSIP1|SRSF6|GCFC2|GEMIN2|PTBP2|SRSF9|PUF60|GEMIN6|HTATSF1|RBM5|ISY1|RBMX2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,76,ENR,GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,1,1E-3,GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,FALSE,GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY
1,3,3,3,0.999,,1E-3,,MSH6|CCL3|UNG|NDFIP1|ENPP3|CCR2|ENTPD7|CCR6|CD177|BRD2|CD300A|ANXA3|CD69|ATP7A|CD74|CD81|EIF2AK4|PAXIP1|PCYT1A|CHGA|PMS2|CLEC4D|PTPRC|PSEN1|HMGB1|BTK|CX3CR1|IL6ST|CEACAM1|MTOR|STAT6|KARS1|FOXP1|CLEC4E|TBX21|CLNK|PIK3CD|PIK3CG|EOMES|TNFSF13|TNFSF4|IFNE|ICOSLG|IFNA5|MSH2|JAK1|F2RL1|FCGR2B|FCER1G|FER|SUPT6H|FGR|PLA2G3|GATA3|GKN2|ST3GAL1|TP53|RORC|NOTCH2|GPR15LG|HLA-F|GPR183|AP1G1|IFI35|ICAM1|IFNK|PLCG2|SCNN1B|IL23A|PLCL2|IL33|IL6R|IRF4|BRD4|ITGAL|KLRC2|DOCK2|KIT|LILRA2|ITGAM|ITGB2|LBP|LGALS9|LYN|MDK|CD180|MYD88|LCP1|CRACR2A|TNF|AICDA|HSPD1|NCKAP1L|SBNO2|NLRP3|RABGEF1|NMI|SEMA6D|PDPK1|XBP1|ABL1|PTGER4|PTK2B|GBF1|PRKCE|RAC2|PTPN6|IFNG|IL4|NR4A3|LAMP1|SLAMF1|TREX1|OPA1|MALT1|PRKCZ|SPI1|SH2D1B|SPN|STAT5A|SWAP70|SYK|APBB1IP|TICAM1|CDH17|DOCK10|ADORA2B|DOCK11|DYSF|GAPT|ICOS|ITFG2|C17ORF99|DLL1|ITM2A|LFNG|MFNG|TNFSF18|PDP2|PYCARD|PHF14|PLXNA1|CD1C|KMT5B|KMT5C|CD46|MAD2L2|CD80|CD84|CD86|NBN|DNASE1|DNASE1L3|NKX2-3|NSD2|PCK1|FERRY3|TYROBP|FES|FGL2|PARP3|FOXF1|GAB2|GATA1|GATA2|GPR65|HLA-DMB|HLA-DRA|HLX|KMT2A|DDRGK1|IL13RA2|IL13|IL4R|MEN1|TFRC|JAK3|JUNB|LGALS1|SLC11A1|LOXL3|RIF1|NFKBID|LRP1|RNF168|SLC15A4|RNF8|PRAM1|RC3H1|SLC18A2|RC3H2|SHB|SMAD7|SHLD1|SOCS5|SHLD2|SHLD3|SNAP23|LGALS8|UNC13D|ZBTB7B|LIG4|CPLX2|RAB27A|SPHK2|RASGRP1|CBL|TP53BP1|CD19|STXBP1|STXBP2|STXBP3|FCER1A|FCGR3A|TAOK3|TCIM|GRP|RIPK2|LGALS3|APLF|ATAD5|KLRF2|VAMP2|VAMP3|BCL3|LAT|BCL6|LAT2|MILR1|CD160|MRGPRX2|NKG7|CD244|PTGDR|PTGDS|RAB44|SNX4|CR1|CD28|S100A13|SNX6|CD40|HAVCR2|SCN11A|HLA-DRB1|IFNL1|IL12B|IL12RB1|STX4|IL18|CLCF1|IL18R1|CORO1A|TBK1|IL21|IL23R|IL27|GRN|IRF8|PIK3R1|TSC1|LILRB1|ERCC1|PGLYRP1|PGLYRP2|PGLYRP3|STAT3|EXOSC3|EXOSC6|RARA|TGFB1|SLAMF6|TREM2|TLR4|FOXP3|VAMP8|ZC3H12A|ZFPM1|ZNF683|ADAM10|BATF|LY9|ADGRE2|CD40LG|MYB|APP|EXO1|HMCES|ANXA1|IL10|SUCNR1|IL2|IL27RA|LEF1|ASCL2|IL6|SOCS3|BCR|NFKBIZ|ADA|EP300|POU2AF1|RAG2|RORA|RELB|SANBR|SEMA4A|STAT4|CCL19|TMEM98|MLH1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,311,ENR,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1,1E-3,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,FALSE,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
1,3,3,3,0.999,,1E-3,,RARA|BCL6B|NDFIP1|TNFSF4|CCR2|BCL3|ECM1|BCL6|SOCS5|ARG2|BATF|CD74|CD81|CD86|IL4|XCL1|STARD7|MYB|TRAF3IP2|ANXA1|ARG1|IL10|IFNL1|IL27RA|ASCL2|GATA3|IL6|IL18|NOD2|RSAD2|HLX|KMT2A|PRKCZ|DENND1B|IL4R|MEN1|NLRP3|FCER1A|IDO1|STAT6|TBX21|IL33,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TYPE_2_IMMUNE_RESPONSE,42,ENR,GOBP_TYPE_2_IMMUNE_RESPONSE,1,1E-3,GOBP_TYPE_2_IMMUNE_RESPONSE,FALSE,GOBP_TYPE_2_IMMUNE_RESPONSE
