__mclCluster,EnrichmentMap::-log10(pvalue) (non_mouse_up),EnrichmentMap::-log10(pvalue)*sign(NES) (non_mouse_up),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (non_mouse_up),EnrichmentMap::ES (non_mouse_up),EnrichmentMap::fdr_qvalue (non_mouse_up),EnrichmentMap::fwer_qvalue (non_mouse_up),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (non_mouse_up),EnrichmentMap::pvalue (non_mouse_up),name,selected,shared name
,1.92771244800285,1.92771244800285,1.92771244800285,0.988188976,,7.1748359999999997E-2,,GSK3B|CD36|FOXO3|IGF1|CACNA2D1|CACNB1|LRP1|VCAM1|ICAM1|APP|TREM2|CALCR|FPR2|NGFR|LGMN|GJA1|BACE1|TLR6|PRNP|PSEN1|MMP2|TLR4|AGER|RAMP3|PARP1|EPHB2|SYK|EPHA4|ABCC1|FCGR2B|ADRB2|TNF|SIRT1|BCL2L2|SNX6|CDK5|ATP1A3|FYN|MMP9|ITGA4|CACNA1A|IGF1R,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_RESPONSE_TO_AMYLOID_BETA,42,ENR,GOBP_RESPONSE_TO_AMYLOID_BETA,1,1.1811024E-2,GOBP_RESPONSE_TO_AMYLOID_BETA,FALSE,GOBP_RESPONSE_TO_AMYLOID_BETA
,1.59617402316123,1.59617402316123,1.59617402316123,0.97465886999999995,,9.6653186000000002E-2,,DMBT1|GINS4|GINS1|SBDS|BRD4|BRCA2|NDEL1|NCAPG2|INTS1|PELO|PALB2|TAF8|CHEK1|SALL4|SETDB1|COPS2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,16,ENR,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,1,2.534113E-2,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,FALSE,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION
8,2.7331972499496899,2.7331972499496899,2.7331972499496899,1,,2.4597852999999999E-4,,RAB11A|P2RX7|NDE1|SNAPIN|VPS33A|MYO5B|ATP9A|SYT11|PSEN1|UNC13B|PRKCZ|LRRK2|MAP2K1|RAB27A|UNC13C|GBF1|ITGA4|STK11|AP1AR|RASGRP1|CHMP2A|SCRIB|PAFAH1B1|SDC4|TESK1|ARFGAP3|BTBD8|KIF16B|CTBP1|KIFC1|EXOC1|UNC13D|ARF1|MYLK2|WASL|TRAPPC9|SYNJ1|MYO1C|DNM2|KIF5A|KIF5C|KIFC2|KIF13A|PREB|STARD3|DNM3|SAR1A|SMPD3|AHI1|PCLO|SEC16A|TRAPPC1|PIK3CG|RAB7|TRAPPC2|TRAPPC2L|CNIH2|TRAPPC3|AP3B1|TRAPPC4|TRAPPC5|TRAPPC6A|ATP13A2|NLGN2|BLOC1S1|CDH2|BLOC1S2|MAPK15|CDK5|SHROOM2|ACTN4|CUL3|DCTN2|DPYSL2|HAP1|DTNBP1|ARFGAP2|NAGLU|TRAPPC10|AP1S2|TRAPPC6B|AP3M1|YKT6|AP3S1|AP3S2|BAIAP3|SYN2|TMED9|USO1|TRIP11|STXBP2|SYBU|SNAP25|RAB3GAP1|SAR1B|NLGN3|AP3B2|AP3M2|FNBP1L|KIF1A|MYO1A|MYO7A|MYRIP|LIMK2|STEAP3|RAB3A|VPS4B|PTEN|BSN|KIF1C|EXOC3|EXOC6B|SYN3|SNCA|CLASP1|STARD3NL|CLASP2|MX2|MYO5A|TRAK2|TCIRG1|TRIM46|EXOC7|RAB17|LIN7A|LIN7B|LIN7C|EXOC4|SLC2A4|FBXW11|CADPS2|COPS5|PDCD6IP|EXOC5|DYNC1I1|EXOC6|HGS|MLPH|SYN1|MAGI2|PICALM|PDZD11|VPS33B|FYCO1|5730455P16RIK|DCTN1|TRAK1|WDR11|VPS4A|PPFIA2|TANC2|CLN3|MAPK8|TMED10|UNC13A|CTNNB1|MREG|NLGN1|STXBP1|HTT|KLHL12|SYT4|FGFR2|NRXN1|MADD|MECP2|SNAP91|PDCD6|PEF1|PCDH17|SDC1|MAP4K2|KIF5B|TCF7L2|WIPI1|EXOC2|RAB11B|CDH3|SPG11|NDEL1|TOR1A|AP3D1|CADPS|IKBKG|DNM1|BLOC1S3|SDCBP|SNF8|STAM|KIF1B|TSG101|BCL2L1|MYO5C|EXOC8|TBC1D23|F8A,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_VESICLE_LOCALIZATION,196,ENR,GOBP_VESICLE_LOCALIZATION,1,0,GOBP_VESICLE_LOCALIZATION,FALSE,GOBP_VESICLE_LOCALIZATION
35,2.4141373562346402,2.4141373562346402,2.4141373562346402,0.99614643540000003,,2.2283915000000001E-2,,CEACAM1|GP5|SERPINE2|ALOX12|PRKCD|TMX1|APOE|C1QTNF1|ADAMTS18|PDGFRA|UBASH3B|PDGFA|PDGFB|CD9|PRKG1|SH2B3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION,16,ENR,GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION,1,3.8535646000000001E-3,GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION,FALSE,GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION
,1.93701613156816,1.93701613156816,1.93701613156816,0.98843930700000004,,3.4383980000000001E-2,,NME7|TUBG2|PCNT|DCTN1|PDE4DIP|TPPP|TPX2|CCDC57|NDE1|NEDD1|SLAIN1|SLAIN2|TUBGCP2|TUBGCP3|TUBGCP4|TUBGCP5|TUBGCP6|HSPA1A|SSNA1|NDEL1|CSNK1D|ARHGEF7|CCDC66|EML2|HAUS2|CEP192|HSPA1B|GOLGA2|MECP2|GIT1|CLASP1|MZT1|AKAP9|CLASP2|CKAP5|NIN|PAK1|TUBG1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_MICROTUBULE_NUCLEATION,38,ENR,GOBP_MICROTUBULE_NUCLEATION,1,1.1560693E-2,GOBP_MICROTUBULE_NUCLEATION,FALSE,GOBP_MICROTUBULE_NUCLEATION
14,2.6954816834389099,2.6954816834389099,2.6954816834389099,0.99798387099999997,,2.8310644999999999E-2,,EDEM2|EIF2AK3|EDEM3|MANF|TMEM33|PACRG|PARP6|PPP1R15A|RPAP2|PARP8|SERP2|DNAJC10|DNAJB9|KLHL15|SERP1|ATF3|ERN1|TMED2|AKT2|ERN2|ATF6B|VCP|BAX|AKT3|TM7SF3|NCK2|EIF2AK4|DDIT3|IFNG|RNF126|UBR5|TMBIM6|HSF1|CDK5RAP3|PTPN2|PTPN1|IGTP|COPS5|DERL1|AKIRIN2|BFAR|DERL2|DERL3|ERLEC1|OS9|RHBDD1|TMBIM4|NCK1|YOD1|HERPUD1|PARP16|DAXX|EIF2A|EIF2S1|BAK1|UBR4|HERPUD2|TMTC4|VAPB|HSPA5|XBP1|PMP22|ATF4|ABCA7|TBL2|PDIA6|PIK3R1|CREB3|STUB1|UMOD|NFE2L2|ATAD3A|AKT1|HSPB8|BOK|CAV1|CUL3|BAG3|CCND1|FICD|ATXN3|QRICH1|HSPD1|STC2|BHLHA15|WFS1|DNAJC3|DNAJB12|DNAJB14|EIF2AK2|DNAJC18|CASP12|HDAC6|SDF2L1|ABCB10|ERMP1|ATF6|AMFR|ASB11|AGR2|UBE2W|CREB3L1|OPTN|DDRGK1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,104,ENR,GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,1,2.0161290000000002E-3,GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,FALSE,GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN
15,1.56314192529759,1.56314192529759,1.56314192529759,0.97265625,,9.9022455999999995E-2,,HMGB1|ROBO4|PDCD10|ITGB1BP1|MEF2C|TGFB1|DLL4|GADD45A|NOTCH1|PIK3R2|SPRED1|ACVRL1|CSNK2B|RHOA|PPARG|JUP|VASH1|STARD13|ANGPT2|HDAC5|KLF4|MEOX2|THBS1|MECP2|MAP2K5|TBXA2R|TNF|MMRN1|APOE|CARD10|MMRN2|ATP2B4|HRG|FGF2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,34,ENR,GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,1,2.734375E-2,GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,FALSE,GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION
51,2.7331972499496899,2.7331972499496899,2.7331972499496899,1,,1.3977073000000001E-3,,MPDZ|NEDD4L|PAK2|MYO1C|SVEP1|NPHP4|RAB13|PARD3|PKP2|ILDR1|EPHA2|RPS6|ROCK1|ROCK2|CLDN17|ACVRL1|CLDN13|CLDN18|PRKCH|SNAI1|CLDN3|SNAI2|CLDN5|CLDN7|CLDN10|CLDN16|DLG1|CLDN15|EPHB2|ALOX12B|ARL2|ALOXE3|TNF|OCLN|TGFBR1|ABCC8|EXT1|F11R|OCEL1|FZD5|MICALL2|ACTN4|SLC39A9|CLDN2|ACTG1|WNT11|TGFB3|CLDN6|CLDN12|CLDN9|CLDN14|CLDN22|DSG3|IKBKB|CLDN23|CLDN8|ITGB1|GJA1|PLEC|RAMP2|CDH5|CLDN19|CLDN4|PECAM1|PRKACA|MARVELD2|PDCD6IP|CDH1|TBCD|GRHL2|MYLK3|CLDN1|MPP7|MARVELD3|TJP1|CGN|ESAM|SRF|POF1B|RAC1|ECT2|IL1B|CLDN11|NPHP1|LSR,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_TIGHT_JUNCTION_ORGANIZATION,85,ENR,GOBP_TIGHT_JUNCTION_ORGANIZATION,1,0,GOBP_TIGHT_JUNCTION_ORGANIZATION,FALSE,GOBP_TIGHT_JUNCTION_ORGANIZATION
1,2.7331972499496899,2.7331972499496899,2.7331972499496899,1,,1.1118983000000001E-2,,RAB14|RAB34|TMEM175|RAB20|RAB39|SNAPIN|STX17|GRIK5|YIPF5|RAB4B|CHMP5|SYT7|SYT11|RAB3A|STX16|STX6|VPS39|GNAI3|SNAP47|PRRT2|RUFY1|SNCA|STX12|SAMD9L|AU040320|RIMS2|STXBP6|VAMP1|SYT2|NKD2|RAB8A|GOSR1|GOSR2|VPS11|BNIP1|SLAMF1|CHMP1A|CHMP1B|CHMP2A|PLA2G4A|VAMP2|CHMP2B|CHMP3|PLA2G5|CHMP4C|CHMP6|STX11|STX7|PIKFYVE|STX8|CHMP4B|ERC1|ERC2|SNAP29|SPHK1|RIMBP2|STX2|ANKFY1|SYT8|VTI1B|TOM1|VAV3|VPS41|VPS4A|SEC22B|VAMP3|VPS8|TBC1D4|STX3|RUFY4|CLN3|CORO1A|RAB7|ANKRD27|PIP4K2A|CHMP7|PIP4K2B|STXBP1|DYSF|SYT4|ATP13A2|ANXA2|VAMP4|BET1|TGFBRAP1|ANXA1|YIPF4|YIPF7|VCPIP1|CAV2|KIF5B|SYT1|STX5A|SYT3|SPG11|VTI1A|STX19|PLEKHM1|ARL8B|UVRAG|DOC2A|DOC2B|DOC2G|SNPH|SYT13|RPH3A|SYT5|ZNRF2|STX1A|SYT9|CPLX2|USO1|PLEKHM2|SNAP23|EEA1|STX4A|SNAP25|VAMP8|TRIM9|ZNRF1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_ORGANELLE_MEMBRANE_FUSION,120,ENR,GOBP_ORGANELLE_MEMBRANE_FUSION,1,0,GOBP_ORGANELLE_MEMBRANE_FUSION,FALSE,GOBP_ORGANELLE_MEMBRANE_FUSION
6,2.7331972499496899,2.7331972499496899,2.7331972499496899,1,,1.5647290000000001E-2,,FANCB|DPF1|DPF2|MAD2L2|DPF3|EP400|EPC2|FUS|VPS72|NBN|PIAS4|PRMT1|FMN2|FOXM1|HELQ|PARP3|ING3|DMAP1|SIRT6|TRRAP|SETMAR|RUVBL1|RUVBL2|SPIRE1|KDM4D|MBTD1|MEAF6|MGMT|DDX11|MORF4L1|MRE11A|CREBBP|ERCC6|KAT5|OOEP|EPC1|RIF1|RNF8|UBE2N|PNKP|SMCHD1|RAD51AP1|MORF4L2|TOP2B|PBRM1|RNF126|ATM|PELI1|PHF10|SKP2|WRAP53|SPIRE2|TIMELESS|FH1|ACTB|UBE2V2|ACTL6A|ACTL6B|WDR48|AGER|ARID1A|ARID2|PARP1|SMARCA2|YEATS4|SMARCA4|BLM|SMARCB1|SMARCC1|ZCWPW1|BRD7|SMARCC2|SMARCD1|ACTR2|SMARCD2|SMARCD3|SMARCE1|BCL7A|BCL7B|BCL7C|SIRT1|BRD8|PRKDC|WAS,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,84,ENR,GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,1,0,GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,FALSE,GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR
