__mclCluster,EnrichmentMap::-log10(pvalue) (non_mouse_down),EnrichmentMap::-log10(pvalue)*sign(NES) (non_mouse_down),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (non_mouse_down),EnrichmentMap::ES (non_mouse_down),EnrichmentMap::fdr_qvalue (non_mouse_down),EnrichmentMap::fwer_qvalue (non_mouse_down),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (non_mouse_down),EnrichmentMap::pvalue (non_mouse_down),name,selected,shared name
9,2.3793055119744699,2.3793055119744699,2.3793055119744699,0.99582463460000004,,4.1309222999999999E-2,,CES1F|CES1B|CES1C|CES1E|CYP7B1|CES1G|CYP8B1|ERRFI1|FGFR4|ACOX2|CYP27A1|CYP39A1|STARD4|NR1D1|CYP7A1|STAR|HSD17B10|AKR1D1|SLC27A5|HNF1A|AMACR|SLC27A2|SIRT1|PROX1|ABCD3|BAAT|CES1D,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS,27,ENR,GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS,1,4.1753653999999996E-3,GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS,FALSE,GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS
6,2.2148438676778102,2.2148438676778102,2.2148438676778102,0.9939024393,,5.0125040000000003E-2,,NEDD4L|CACNA1C|DSC2|DSG2|DSP|PKP2|GJA5|CAV3|GPD1L|KCNE1|KCNE2|JUP|KCNE3|DLG1|KCNH2|KCND3|KCNE4|RNF207|RYR2|SCN2B|SCN3B|BIN1|SCN5A|KCNJ8|TRPM4|KCNQ1|ANK2|SNTA1|CAV1|CTNNA3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,30,ENR,GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,1,6.0975606999999999E-3,GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,FALSE,GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL
16,2.3873898534387101,2.3873898534387101,2.3873898534387101,0.9959016396,,5.9725430000000003E-2,,BECN1|PPP2CB|LCT|MAP1LC3A|BACE1|STAR|NCAM1|CDK4|ALAD|PPP1CA|CLDN1|PTGS2|MECP2|FECH|UCP2|MAPT|CAT|PLSCR1|SLC34A1|PPP5C|DNMT3A|SERPINA1A|SERPINA1B|SERPINA1C|SERPINA1D|SERPINA1E,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_RESPONSE_TO_LEAD_ION,26,ENR,GOBP_RESPONSE_TO_LEAD_ION,1,4.0983603999999998E-3,GOBP_RESPONSE_TO_LEAD_ION,FALSE,GOBP_RESPONSE_TO_LEAD_ION
,1.7976137296102099,1.7976137296102099,1.7976137296102099,0.98406374500000005,,9.7140050000000006E-2,,CTNS|OGT|NDUFC2|UCP1|INS1|SPHK2|INS2|PPARA|PARK7|TLR6|ALOX5|RHOA|TLR4|CYBA|ABCD1|SLC25A33|ALOX12|STAT3|HBP1|PLCG2|RAB27A|NOX4|ABCD2|NCF2|FYN|MPV17L|CD36|FOXO3|IL4|GRIN1|ZFP13|HSPD1|CFLAR|PIKFYVE|MFN2|SOD2|ABCB7|PTGR1|ADCY10|DUOXA1|DUOXA2|ARG2|SIRT1|HDAC4|HIF1A|CLCN3|LCN2|HVCN1|SLC5A3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,49,ENR,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,1,1.5936255E-2,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,FALSE,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS
2,2.7084209139887099,2.7084209139887099,2.7084209139887099,1,,2.7073943999999999E-5,,IDO1|IDO2|IL4I1|KMO|ACMSD|KYNU|PAH|GSTZ1|HAAO|FAH|AFMID|HGD|HPD|TAT|QDPR|TDO2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS,16,ENR,GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS,1,0,GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS,FALSE,GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS
,1.8352374943705301,1.8352374943705301,1.8352374943705301,0.98538622200000003,,6.5911114000000007E-2,,MKNK2|EEF2|OGT|MSI2|RPL10|NANOS1|UPF1|NANOS3|UPF3A|NEURL1A|UPF3B|RPL13A|NOLC1|OGFOD1|OTUD6B|ERBB2|PAIP2|PAIP2B|RPL26|PATL1|ZFP36L1|PLXNB2|POLDIP3|POLR2G|PPP1R15A|RPS27L|PPP1R15B|PRKCH|PRR16|PSTK|RPL38|PUM1|RPL5|RBMS3|RNF139|RPS6KB2|RXRA|SAMD4|SAMD4B|SARNP|SECISBP2|RPS14|SEPSECS|SERBP1|SERP1|SLC35A4|SRP9|MAPK1|SSB|TMED2|AKT2|TNRC6A|ALKBH3|TNRC6B|TNRC6C|CNBP|TOB1|CPEB1|TPR|CPEB2|CPEB3|CPEB4|TRNAU1AP|CSDE1|DHX29|UHMK1|DHX36|WTIP|DHX9|NCK2|YBX2|YTHDF1|EIF2AK4|YTHDF3|EIF2B5|ZFP36|ZFP598|ZFP706|TARBP2|INPP5E|EIF3B|RARA|EIF3D|TSC1|EIF3E|EIF3K|USP16|GZMB|SCRIB|GZMC|EIF4EBP1|IGFBP5|EIF5|ETF1|ITGA2|FMR1|HNRNPD|HNRNPU|IGF2BP1|IMPACT|LIN28A|MVK|MCTS1|METTL3|MIF4GD|NCBP1|NCBP2|NCK1|NMNAT2|PABPC1|AKAP6|PAIP1|ZCCHC4|PARP16|SOX4|PIWIL2|PKP1|RBM24|RBM4|RPLP1|XBP1|PRKCA|PURA|RPS3|RPS4X|TYMS|PRMT1|RPS9|SH3BGRL|ANG|SMYD5|BCL3|SYNCRIP|UNK|YBX1|YTHDF2|ZFP385A|ACO1|DAPK1|WT1|AKT1|PLD1|MAPKAPK5|PTAFR|CYP1B1|EIF5A|GZMN|ALKBH5|CASC3|EIF2AK3|RGS2|RPS6KB1|CIRBP|ELAVL1|CNOT6L|PML|PINK1|PTK2B|SHMT2|KRT13|SESN2|S100A9|SHMT1|DUS3L|KRT17|TNF|KLHL25|EIF1|ELAVL4|ERN1|HABP4|ABCF1|ALKBH1|ILF3|C1QBP|CDK5RAP1|KHDRBS1|FASTKD2|FASTKD3|CALR|LRPPRC|MAGOH|METTL8|MPV17L2|PUM2|METTL14|CDK4|MRPL13|TRAP1|DDX39B|DDX3X|PCBP1|PCIF1|EIF2A|EEF2K|EIF4A3|EIF5B|EIF2S1|IGF1|PTBP1|PRG3|PUS7|GEMIN5|MTOR|MAPK3|MRPS27|RBM3|PPP1CA|RBM4B|THBS1|MTG1|RBM8A|NGRN|NSUN3|NSUN4|PTCD3|ABCE1|PELO|APLP1|RMND1|RPUSD3|B3GNTL1|RPUSD4|TACO1|BTG2|TRUB2|BZW1|TCOF1|TSFM|BZW2|CAPRIN1|CAPRIN2|METTL5|XRN1|CNOT1|CNOT10|CNOT2|CNOT3|CNOT6|FOXO3|CNOT7|NAT10|CNOT8|NCL|CTIF|NGDN|CYFIP1|DAP|DAPK3|DDX25|APP|DDX6|WFS1|DNAJC1|DNAJC3|EEFSEC|EIF2AK2|EIF4E|EIF4E2|EIF6|EIF4E3|EIF4EBP2|EIF4EBP3|EIF4ENIF1|EIF4G1|EIF4G2|EP300|EIF4G3|NPM1|EIF5A2|ENC1|NSUN5|BANK1|FXR1|IL6|FXR2|GIGYF2|PA2G4|GRB7|GSPT1|EIF2AK1|GAPDH|GTDC1|FECH|GUF1|HBS1L|IREB2|IFRD2|IGF2BP2|IGF2BP3|TIA1|PRKDC|JMJD4|KBTBD8|LARP1|LARP4|LARP4B|LARP6|LIMD1|LSM14A|LSM14B|DAPL1|MKNK1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_REGULATION_OF_TRANSLATION,303,ENR,GOBP_REGULATION_OF_TRANSLATION,1,1.4613777999999999E-2,GOBP_REGULATION_OF_TRANSLATION,FALSE,GOBP_REGULATION_OF_TRANSLATION
16,2.7084209139887099,2.7084209139887099,2.7084209139887099,1,,4.0869946000000002E-3,,P2RX7|MCOLN1|BECN1|CYP2R1|PGAM2|PRKAA1|PRKAA2|GUCA1A|BMP6|HSPA8|KCNMA1|LRRK2|UCP2|MAPK1|ABAT|ATP12A|GPHN|IMPA2|SLC11A1|KCNK3|ITPKA|ITPKB|ITPKC|LCAT|TFRC|AKR1C18|KCNA1|HNRNPD|KIT|ABCB1A|LCK|AKAP5|SLC34A1|SLC41A1|ZFP658|ANK3|ASPH|ATG5|NFATC1|BCL2|CYP1A1|TRPM2|CALM1|FUS|CALM2|CALM3|CYP27B1|CAPN3|CREB1|TSPO|RYR1|HSD17B1|RYR3|B2M|STAR|SMPD3|SOD1|DPEP1|ACO1|AKT1|ALOX15|ALOX5AP|ABCC2|ATP13A2|PLCD1|ATP7A|PLCG2|ABCC8|TNNC1|CAT|PLSCR1|CDK1|BNIP3|ATP1A3|CEBPA|CAV1|CASR|GLUD1|GPR39|GRIA1|CP|HOMER1|ENDOG|HAAO|HPCA|SLC30A5|CYP2A5|FXN|CRP|IL1A|KCNC1|KCNC2|KCNIP3|JUN|KCNJ1|KCNJ10|MTTP|MYOG|AHCYL1|FGA|LONP1|FGB|MAPT|KCNMB1|APOBEC1|MEF2A|MICU1|HAMP|HAMP2|HVCN1|MMP9|EDN1|NUDT1|NPTX1|OTC|P2RX4|SLC30A2|P2RX5|MEF2C|PKD2|FABP4|PLN|PPP2CB|PPP3CA|SLC12A2|SLC13A2|PARK7|PRNP|PPIF|PTK2B|SLC25A23|KRT10|SNCA|SLC1A1|RYR2|SCN5A|SLC30A1|SORD|TRF|ABCC9|MAPK9|TAT|STIM1|CYP1A2|HNRNPA1|STK39|NFE2L1|SLC25A24|SUMO1|TCIRG1|PAM|TLR9|SLC25A39|ACTA1|XDH|HSF1|NFATC3|TRPC1|NFATC4|SHH|TRPC3|A3GALT2|ACER1|ADAM9|ADD1|PLA2G4A|ANXA11|ANXA5|WNK1|ANXA7|ATF1|BACE1|BRAF|BSG|CALR|CAMK2B|CARF|PPARG|CASP3|CASP6|CASP9|SLC25A13|CD14|CDH1|SOD2|CDK4|CDKN1B|CHUK|VPS54|CLDN1|CLIC4|CPA1|PTGS2|CPNE1|CPNE2|CPNE3|CPNE4|CPNE5|CPNE7|CPNE8|CRHBP|CRIP1|CUTA|CYBB|CYBRD1|DAXX|ENPP1|DDX19A|DLG2|DLG4|DNMT3A|ECT2|EEF2K|EGFR|EIF2S1|ENTPD6|TNNT2|FN1|TH|FOS|FOSB|GSK3A|TTN|FOXA2|GSK3B|GABRB3|GDI1|GGH|GIPR|GPLD1|GSS|HESX1|ID2|GATM|INHBB|IQGAP1|ITPR3|LTA4H|JUNB|JUND|KHK|KCNB1|KCNH1|KCNMB2|ASS1|KCNMB4|MT3|LCT|UROS|AQP2|ATF4|LGMN|LOXL2|MAP1LC3A|CACNA1G|MAPK3|MAPK8|CPS1|MDM2|MNAT1|MT1|MT2|MT4|MTF1|NCAM1|NCSTN|GCLC|NEK7|NFATC2|NFE2L2|NLGN1|PPP1CA|NPC1|ERCC1|HTT|NQO1|NRXN1|THBS1|FAS|OGG1|MECP2|PCDH15|PCNA|PCSK1|PDCD6|PDE1C|PDX1|PEF1|FGG|PENK|PPP5C|RASA4|AQP1|RASAL1|RASGRP2|S100A16|SDC1|SEC31A|SERPINA1A|SLC25A12|SERPINA1B|SERPINA1C|SERPINA1D|SERPINA1E|MAOB|SERPINF1|SETD2|MYLK|SLC30A10|SLC30A3|SLC30A4|SLC30A8|SMPD1|SOD3|SOX2|SUCNR1|SYT1|SLC39A8|SYT3|HFE|TFAP2A|TFR2|TNFRSF11B|TRPV6|ALDOB|TUBA1A|TXNIP|APP|WNT5A|ABCC6|ADCY1|GSN|EP300|FBP1|ADCY7|ABCB6|ALAD|FECH|HMOX1|D2HGDH|GPI1|IREB2|ATP1A2|HIF1A|SLC11A2|HMGCS2|LIG4,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_RESPONSE_TO_METAL_ION,347,ENR,GOBP_RESPONSE_TO_METAL_ION,1,0,GOBP_RESPONSE_TO_METAL_ION,FALSE,GOBP_RESPONSE_TO_METAL_ION
,2.3961993748905801,2.3961993748905801,2.3961993748905801,0.99598393600000001,,3.4251644999999997E-2,,EXOSC10|PIF1|WNT3A|AURKB|GAR1|PML|MAPK3|GNL3L|HSP90AA1|NEK7|HSP90AB1|CTNNB1|SRC|ACD|CCT2|CCT3|PRKCQ|CCT4|CCT5|CCT6A|CCT7|CCT8|DCLRE1B|MAPK1|DCP2|ERCC4|FBXO4|HMBOX1|PTGES3|MAP2K7|MAP3K4|MAPK15|MAPKAPK5|MCRS1|PARN|PARP4|PINX1|PKIB|PNKP|DHX36|POT1A|POT1B|TRP53|RAD50|HNRNPA2B1|RPA1|RTEL1|HNRNPC|SLX4|TCP1|TEP1|ATM|NAF1|TERF2|ATR|NAT10|TERF2IP|TINF2|TNKS|NHP2|TNKS2|WRAP53|ZBTB48|GCH1|NEK2|NOP10|PARP1|RAD51|HNRNPD|HNRNPU|XRCC5|TERF1|DKC1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,73,ENR,GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,1,4.0160639999999997E-3,GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,FALSE,GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING
1,2.21923513428872,2.21923513428872,2.21923513428872,0.99396378269999996,,4.344597E-2,,SUMO1|NEDD4L|PLCB4|OXSR1|GRP|CASQ2|CAV3|ATF4|KCNAB1|PTGER3|CRBN|PTK2B|KCNE1|KCNE2|KCNE3|KCNH2|RGS4|ACTN2|GNAQ|AGRN|BIN1|AKAP5|KCNQ1|KCNRG|ANK3|KEL|NOS3|CAV1|STK39,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,29,ENR,GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,1,6.0362172999999996E-3,GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,FALSE,GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT
1,2.7084209139887099,2.7084209139887099,2.7084209139887099,1,,3.7087599999999998E-2,,NEDD4|NEDD4L|OSR1|OXSR1|PCSK9|PKD2|PLN|PPP3CA|PPP3CB|PPP3CC|PPP3R1|PRKCE|PPIF|PTGER3|PTK2B|REM1|RGS4|GSTM7|UCP2|SESTD1|SLC30A1|SLN|SRI|STK39|SUMO1|TGFB2|TLR9|TMBIM6|TRDN|UBQLN1|UBR3|WNK1|WNK2|WNK4|YWHAE|YWHAQ|FMR1|SERPINE2|PTGS2|ACTN2|AGRN|AKAP5|TRIM27|ANK3|BCL2|CNR1|CACNA1F|INPP5K|CALM1|TGFB1|CALM2|CALM3|CAMK2D|CASQ2|CAV3|MTOR|ATF4|AHR|PIK3C2A|COMMD1|CRBN|CD300A|CRHR2|DRD4|DYSF|AKT1|GNAO1|ATP7A|GNAQ|FBXO11|FCRL5|HES1|HSD3B2|ACE|HSD3B3|HSD3B6|FKBP1B|HTR7|MAOB|CAV1|GNB5|PACSIN3|GOPC|PAWR|GPR35|PLCB4|PRKG2|PXK|GRP|GSTO1|STC1|ICAM1|HRC|USP2|KCNAB1|ISCU|KCNE1|KCNE2|KCNE3|KCNH2|VDAC1|BIN1|ATP1A2|KCNQ1|KCNRG|HAMP|HAMP2|KEL|NOS3|MMP9,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,110,ENR,GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,1,0,GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,FALSE,GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT
