__mclCluster,EnrichmentMap::-log10(pvalue) (noncon_human_down),EnrichmentMap::-log10(pvalue)*sign(NES) (noncon_human_down),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (noncon_human_down),EnrichmentMap::ES (noncon_human_down),EnrichmentMap::fdr_qvalue (noncon_human_down),EnrichmentMap::fwer_qvalue (noncon_human_down),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (noncon_human_down),EnrichmentMap::pvalue (noncon_human_down),name,selected,shared name
19,2.23384186989249,2.23384186989249,2.23384186989249,0.99416342420000003,,7.2788400000000003E-2,,MTMR10|MTMR11|MTMR12|MTMR2|MTMR3|MTMR4|MTMR6|MTMR7|MTMR8|MTMR9|PIP4P1|PIP4P2|OCRL|CHRM5|PTEN|SACM1L|MTM1|INPP5A|INPP5B|INPP5D|INPP5E|INPP5F|INPP5J|INPPL1|INPP5K|SYNJ1|FIG4|SYNJ2|MTMR1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION,29,ENR,GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION,1,5.8365758000000004E-3,GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION,FALSE,GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION
,1.74123919793404,1.74123919793404,1.74123919793404,0.98185484000000001,,8.9099960000000006E-2,,THBS1|TICAM1|CCL3|DYSF|TLR1|ADGRF5|WNK4|TLR6|TNIP2|CD200|NR1H3|CD74|BPI|WNT5A|TYROBP|PTPRC|HMGB1|CX3CL1|VSIG4|CX3CR1|SHPK|IL13|IL4R|FCER2|KARS1|NR1D1|FOXP1|SLC11A1|EDN2|PLA2G10|FCGR2B|C1QA|PLA2G3|FPR2|PLA2G4A|IFI35|CTSC|CLU|PLCG2|FCGR3A|SYT11|JMJD6|IL33|KCNJ8|ITGAM|CST7|ITGB2|LBP|JUND|LCN10|HAVCR2|SPHK1|FAM76B|MIF|MFHAS1|CD93|SNCA|HSPA12A|IL1RL1|NR4A1|IL31RA|SPACA3|GRN|TNF|HSPD1|TMEM229B|JAK2|IFNGR2|SBNO2|IRGM|LRFN5|MCUB|NMI|NAGLU|IFNGR1|MAPT|TREM2|CALHM2|TLR3|TLR4|PJA2|TLR9|AGER|PRKCE|ZC3H12A|CRTC3|IFNG|IL4|AIF1|MMP8|GPR137B|APP|IL10|SUCNR1|CEBPA|IL6|TTBK1|AZU1|TAFA3|LDLR|TREX1|C5AR1|LRRK2|RORA|STAP1|JUN|STK39|SYK|MYO18A|TMEM106A,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MACROPHAGE_ACTIVATION,110,ENR,GOBP_MACROPHAGE_ACTIVATION,1,1.814516E-2,GOBP_MACROPHAGE_ACTIVATION,FALSE,GOBP_MACROPHAGE_ACTIVATION
4,2.71432976660709,2.71432976660709,2.71432976660709,1,,4.2121884000000001E-4,,BLOC1S1|PAFAH1B1|PSEN1|PIK3CG|AP3B1|ATP13A2|ARL6|BLOC1S2|WIPI1|CDK5|AP1AR|AP1G1|AP3D1|AP3S1|AP3S2|ARFGAP2|ARFGAP3|ITGA4|ATP9A|BBS2|CEP19|PTEN|CLN3|PINK1|MYO1C|SNCA|CSNK1D|SMPD3|RAB11B|RAB7A|CUL3|SYNJ1|DNM2|EXOC1|EXOC2|EXOC4|SCRIB|EXOC5|SDCBP|EXOC6|EXOC6B|EXOC8|GBF1|IFNG|HTT|KIF13A|KIF16B|KIF1C|KLHL12|LRRK2|MAPK15|MYO5A|PDCD6|PEF1|RAB3A|PPP6C|PREB|WASL|RAB11A|RAB1A|ACTN4|AP1M2|AP3B2|AP3M1|AP3M2|BAIAP3|BBS5|BBS7|BICDL1|BICDL2|BLOC1S3|CHMP2A|BLOC1S4|BLOC1S5|CHMP3|BORCS5|BRSK1|BRSK2|CHMP6|BSN|BTBD8|C17ORF75|CADPS|CADPS2|CCDC186|CDH2|CDH3|CDR2L|CLASP1|CLASP2|SAR1A|COPS5|SAR1B|CTBP1|DCTN1|DCTN2|DNM1|DNM3|DTNBP1|DYNC1I1|EXOC3|EXOC7|SEC16A|F8A1|F8A3|FAM91A1|FBXW11|FNBP1L|FYCO1|GPR143|HAP1|IRAG2|KIF1A|KIF1B|HGS|KIF3A|KIF3B|KIF5A|KIF5B|KIF5C|SNAP23|IKBKG|KIFAP3|KIFC2|LIMK2|LIN7A|LIN7B|LIN7C|MAP2|MAP4K2|MKKS|MLPH|MREG|MX1|MX2|MYO1A|NDE1|NDEL1|NLGN1|NLGN2|NRXN1|PCDH17|PCLO|PDZD11|PPFIA2|RAB17|RAB27A|RASGRP1|SDC1|TCIRG1|SDC4|TFG|SEPTIN5|SHROOM2|TMED10|SLC2A4|TMED2|PDCD6IP|SNAP25|STARD3|STARD3NL|STK11|STXBP1|STXBP2|TMED9|STXBP3|SYBU|TRAPPC1|SYN1|TRAPPC10|SYN2|TRAPPC11|SYN3|TRAPPC12|SYNDIG1|TRAPPC13|SYT11|TRAPPC2|SYT4|TRAPPC2B|TANC2|TRAPPC2L|TBC1D23|TRAPPC3|TESK1|TMEM230|TRAPPC4|TOR1A|TRAPPC5|TPGS1|TRAPPC6A|TRAK1|TRAPPC6B|TRAK2|TRAPPC8|TRAPPC9|TRIM46|BLOC1S6|TRIP11|UNC13A|UNC13B|UNC13C|USO1|WDR11|SNAP29|SNAPIN|SNF8|SPG11|YKT6|STAM|CTNNB1|MAP2K1|TSG101|MYO7A|NAGLU|PRKN|VPS33A|VPS33B|VPS4A|VPS4B|ASIP,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VESICLE_LOCALIZATION,221,ENR,GOBP_VESICLE_LOCALIZATION,1,0,GOBP_VESICLE_LOCALIZATION,FALSE,GOBP_VESICLE_LOCALIZATION
2,2.71432976660709,2.71432976660709,2.71432976660709,1,,9.7172850000000009E-3,,TUBGCP4|TUBGCP5|TUBGCP6|MZT1|NIN|CCDC66|HSPA1B|AKAP9|PDE4DIP|ARHGEF7|GOLGA2|EML2|NEDD1|PCNT|RANBP9|CCDC57|SLAIN1|SLAIN2|SSNA1|TPPP|NDE1|NDEL1|CEP192|BLOC1S2|PAK1|CKAP5|CSNK1D|HSPA1A|HAUS1|HAUS2|CLASP1|HAUS3|TPX2|CLASP2|HAUS4|HAUS5|HAUS6|NME7|DCTN1|GIT1|HAUS7|HAUS8|TUBG1|MECP2|TUBG2|TUBGCP2|TUBGCP3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MICROTUBULE_NUCLEATION,47,ENR,GOBP_MICROTUBULE_NUCLEATION,1,0,GOBP_MICROTUBULE_NUCLEATION,FALSE,GOBP_MICROTUBULE_NUCLEATION
19,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.5628169999999998E-3,,MTMR10|MTMR11|MTMR12|MTMR14|MTMR2|MTMR3|MTMR4|MTMR6|MTMR7|MTMR8|HTR2A|MTMR9|PGAP1|OCRL|PDGFA|PDGFB|PGAP2|PGAP3|PGAP4|PI4K2A|PI4K2B|PI4KA|PI4KB|PIGA|PIGB|PIGC|INPP5K|PIGF|PIGG|PIGH|PIGK|PIGL|PIGM|PIGN|PIGO|PIGP|PIGQ|PIGS|PIGT|PIGU|PIGV|PIGW|PIGX|PIGZ|PIK3C2A|PIK3C2B|PIK3C2G|PIK3C3|PIK3CB|PIK3CD|PIK3CG|PIK3R3|PIK3R4|PIK3R5|PIKFYVE|PIP4K2A|PIP4K2B|PIP4K2C|PIP4P1|PIP4P2|PIP5K1A|PIP5K1B|PIP5K1C|PIP5KL1|PITPNM1|PITPNM2|PITPNM3|PLA2G3|PLA2G4D|PLA2G4E|PLCB1|PLCB2|PLCB3|PLCB4|PLCD1|PLCE1|PLCG1|AGPAT5|PLCG2|PLCH1|PLCH2|PLCL1|PLCL2|ATG14|ATM|BECN1|BMX|BPNT1|DDHD1|BPNT2|UVRAG|CDIPT|CDS1|CHRM5|PTEN|CWH43|PTPRQ|SACM1L|DGKE|SH3YL1|DPM1|SLC30A5|DPM2|DPM3|EFR3A|EFR3B|SMG1|PIK3R1|SYNJ1|FIG4|SYNJ2|TMEM150A|GALR2|TNFAIP8L3|TPTE2|TTC7A|TTC7B|VAC14|GPAA1|HTR2B|HTR2C|HYCC1|HYCC2|IMPA1|IMPA2|INPP1|INPP4A|MTM1|INPP4B|INPP5A|INPP5B|INPP5D|INPP5E|INPP5F|INPP5J|PIK3CA|INPPL1|IP6K1|IP6K2|IP6K3|IPMK|ITPKA|ITPKB|ITPKC|LCLAT1|LPGAT1|MBOAT7|MPPE1|MTMR1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,149,ENR,GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,1,0,GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,FALSE,GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS
2,1.8521312996433601,1.8521312996433601,1.8521312996433601,0.98594377499999997,,7.7560580000000004E-2,,ZWINT|C9ORF78|KAT5|NSMCE2|MAD2L2|CENPE|CENPF|CDK5RAP2|CCNB1|CDK1|PBRM1|DLGAP5|PHF10|HORMAD1|PLK1|CSNK2A2|KIF2C|SMC5|SMC6|KLHL22|RMI2|MAP3K20|NDC80|GEN1|SIRT1|PPP2R2A|SMARCA2|PPP2R2D|SMARCA4|SMARCB1|SMARCC1|SMARCC2|SMARCD1|SMARCD2|SMARCD3|RAD18|SMARCE1|RCC2|KNTC1|HNRNPU|RAD21|IK|RB1|KNL1|KAT2B|ATM|BECN1|BUB1|PLSCR1|AURKB|MAD1L1|MAD2L1BP|NCAPD2|NCAPD3|NCAPG|NCAPG2|NCAPH|NCAPH2|NUMA1|SKA1|TRIP13|SKA3|SMC2|SMC4|XRCC3|TPR|CDC6|ZW10|ANAPC1|ANAPC11|ANAPC15|ANAPC2|ANAPC4|ANAPC5|ANAPC7|APC|UBE2C|DUSP1|CUL3|DYNC1LI1|CDC16|CDC20|FBXO5|PRP4K|USP44|CDC23|ACTB|ACTL6A|CDC27|ACTL6B|CHFR|ARID1A|ARID1B|ARID2|PUM1|BCL7A|BCL7B|BCL7C|BRD7|IHO1|CSNK2A1|BIRC5|PUM2|BUB1B|PRAP1|BUB3|CDCA8|DPF1|DPF2|ESPL1|DPF3|HASPIN|HECW2|INCENP|LCMT1|MAD2L1|NEK6|NUF2|PSMG2|SIRT2|RIOK2|MAPK15|SPC24|SPC25|SPDL1|TACC3|TEX14|TTK|ZNF207|ZWILCH,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,130,ENR,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,1,1.4056225E-2,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,FALSE,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION
,2.7092699609758299,2.7092699609758299,2.7092699609758299,0.998046875,,3.1336054000000002E-2,,GBP4|IRF4|GBP6|VTCN1|DEFA1|GBP7|DEFA1B|IER3|BCL3|CD37|HRAS|NKG7|BATF|CLEC7A|CD40|LYST|GBP2|ARG1|BPGM|IL10|IL12B|CCDC88B|MYD88|BATF2|IRF8|SPN|TSPAN32|IL4R|SLC11A1|GBP1|PF4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_PROTOZOAN,31,ENR,GOBP_RESPONSE_TO_PROTOZOAN,1,1.953125E-3,GOBP_RESPONSE_TO_PROTOZOAN,FALSE,GOBP_RESPONSE_TO_PROTOZOAN
,1.9956351989404899,1.9956351989404899,1.9956351989404899,0.98989899000000003,,6.1838770000000001E-2,,ACVR1C|CASP9|CIDEC|APAF1|BLCAP|NMNAT1|HTR2A|PLSCR1|AKT1|CASP10|CAPN10|DEDD2|TNFRSF1A|AIFM3|DLC1|FZD3|BNIP1|MADD|DNASE2|ENDOG|STK24|DNASE2B|TP53BP2|CIDEB|XRCC4|CASP7|EXOG|DNASE1L3|SHARPIN|CASP3|CDK5RAP3|COL6A1|FAP|FOXL2|GPER1|CIDEA|DICER1|DFFA|CTSD|DFFB|HSPD1|CASP8|HTRA2|CYCS|CXCR3|COLEC11|CASP2|GATA5|ERN2|XKR4|XKR6|XKR7|XKR8|ZC3H12A|XKR9|HSF1|NPR2|PTGIS|FADD|BAX|BBC3|BCL2L1|IL6|TP53|BOK|NDUFA13|NFKBIZ|VPS54|ACIN1|FASLG|RIPK1|SIRT2|GCG|TAOK1|CECR2|TOP2A|TRPC5,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXECUTION_PHASE_OF_APOPTOSIS,77,ENR,GOBP_EXECUTION_PHASE_OF_APOPTOSIS,1,1.0101010000000001E-2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS,FALSE,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
5,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.6193929999999999E-2,,HDGFL2|HELQ|ING3|KAT5|KDM4D|KMT5B|KMT5C|MAD2L2|MBTD1|MEAF6|MGMT|MORF4L1|MORF4L2|MRE11|MRGBP|MRNIP|NBN|OOEP|PARP3|PBRM1|PELI1|PHF10|PIAS4|PNKP|SIRT6|PRKDC|RAD50|RAD51AP1|RIF1|RNF126|FH|RNF8|RUVBL1|RUVBL2|SETMAR|SHLD1|SHLD2|SHLD3|SIRT1|SKP2|SLF1|FUS|SLF2|SMARCA2|SMARCA4|SMARCB1|SMARCC1|SMARCC2|SMARCD1|SPIRE1|SMARCD2|SPIRE2|SMARCD3|SMARCE1|SMCHD1|SPIDR|TIMELESS|TOP2B|UBE2N|UBE2V2|VPS72|WAS|WDR48|TRRAP|WRAP53|YEATS4|ZCWPW1|ATM|PARP1|PRMT1|ACTB|ACTL6A|ACTL6B|ACTR2|AGER|ARID1A|ARID1B|ARID2|BCL7A|BCL7B|BCL7C|BRD7|BRD8|CREBBP|CYREN|DDX11|DMAP1|DPF1|DPF2|DPF3|EP400|EPC1|EPC2|ERCC6|FANCB|FMN2|FOXM1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,97,ENR,GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,1,0,GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,FALSE,GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR
18,2.71432976660709,2.71432976660709,2.71432976660709,1,,6.3140610000000002E-3,,NSF|MTMR4|OPTN|OSBPL5|SNX17|PHAF1|PKDCC|PREPL|RAB10|RAB11A|ATP6AP1|RAB11FIP3|RAB13|RAB14|RAB26|RAB31|RAB34|RAB3IP|RAB8A|RABEP1|RACK1|DEF6|RSC1A1|EPG5|SEC16A|HGS|RAB12|SNX12|ANKRD27|SNX3|SORL1|SNX27|SPTBN1|VPS53|STEAP2|AKAP5|PLA2G3|ARHGAP44|STX6|STXBP5|VPS35|PLA2G4E|STXBP5L|SYS1|RAB17|ACSL3|AMN|ANK3|ANXA13|CLSTN1|CPLX1|MICALL2|ARFGEF2|ARFRP1|ARL3|ATP2C1|ATP9A|BBS1|BBS2|VAMP2|VAMP3|VAMP4|GRIP1|VAMP5|GRIP2|GRIPAP1|BLZF1|VPS35L|CCDC22|SNF8|VPS51|CCDC93|VPS52|SNX30|VTI1A|CLN3|SNX4|SACM1L|CNST|LRRC7|SNX7|ACAP2|MICALL1|ACTN2|ANKRD50|STX16|COMMD1|ARF6|STX12|ARHGAP1|ARHGAP8|ARL4C|BLTP1|NSG1|CMTM6|CSK|DENND1A|RAB11B|DENND1B|DENND1C|RAB7A|RAB8B|EHD1|EHD2|EHD4|VPS13B|EIPR1|EHD3|ENTR1|EPS15|EXOC1|EXOC2|SCARB2|EXOC4|LMTK2|SCRIB|EXOC5|EXOC6|EXOC6B|EXOC8|NDRG4|RAB11FIP4|GCC2|VPS26A|GGA1|RAB35|GGA2|SLC1A1|GGA3|GOLGA4|VPS39|GOLGA7|GOLPH3|GOLPH3L|GOPC|SNX31|STX3|INPP5F|KIF13A|VPS26C|VPS29|VPS50|TRARG1|WASHC1|KRT18|WASHC2C|LLGL1|LLGL2|WIPF3|PTPN23|LYPLA1|LYPLAL1|MACF1|ZDHHC2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,154,ENR,GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,1,0,GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,FALSE,GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE
