cell_type,tissue_type,germ_layer
B_cell,Bladder,Endoderm
B_cell,Fat,Mesoderm
B_cell,Kidney,Mesoderm
B_cell,Large_Intestine,Endoderm
B_cell,Limb_Muscle,Mesoderm
B_cell,Liver,Mesoderm
B_cell,Lung,Mesoderm
B_cell,Mammary_Gland,Mesoderm
B_cell,Marrow,Mesoderm
B_cell,Pancreas,Endoderm
B_cell,Skin,Ectoderm
B_cell,Spleen,Mesoderm
"CD4-positive,_alpha-beta_T_cell",Lung,Mesoderm
"CD8-positive,_alpha-beta_T_cell",Kidney,Mesoderm
"CD8-positive,_alpha-beta_T_cell",Lung,Mesoderm
DN3_thymocyte,Thymus,Mesoderm
DN4_thymocyte,Heart_and_Aorta,Mesoderm
DN4_thymocyte,Mammary_Gland,Mesoderm
DN4_thymocyte,Pancreas,Endoderm
DN4_thymocyte,Thymus,Mesoderm
Kupffer_cell,Heart_and_Aorta,Mesoderm
Kupffer_cell,Kidney,Mesoderm
Kupffer_cell,Limb_Muscle,Mesoderm
Kupffer_cell,Liver,Mesoderm
Langerhans_cell,Tongue,Ectoderm
NK_cell,Bladder,Endoderm
NK_cell,Kidney,Mesoderm
NK_cell,Large_Intestine,Endoderm
NK_cell,Liver,Mesoderm
NK_cell,Lung,Mesoderm
NK_cell,Marrow,Mesoderm
NK_cell,Spleen,Mesoderm
Schwann_cell,Limb_Muscle,Mesoderm
T_cell,Fat,Mesoderm
T_cell,Kidney,Mesoderm
T_cell,Limb_Muscle,Mesoderm
T_cell,Lung,Mesoderm
T_cell,Mammary_Gland,Mesoderm
T_cell,Skin,Ectoderm
T_cell,Spleen,Mesoderm
adventitial_cell,Lung,Mesoderm
alveolar_macrophage,Lung,Mesoderm
basal_cell,Fat,Mesoderm
basal_cell,Kidney,Mesoderm
basal_cell,Limb_Muscle,Mesoderm
basal_cell,Mammary_Gland,Mesoderm
basal_cell_of_epidermis,Bladder,Endoderm
basal_cell_of_epidermis,Fat,Mesoderm
basal_cell_of_epidermis,Kidney,Mesoderm
basal_cell_of_epidermis,Limb_Muscle,Mesoderm
basal_cell_of_epidermis,Lung,Mesoderm
basal_cell_of_epidermis,Mammary_Gland,Mesoderm
basal_cell_of_epidermis,Marrow,Mesoderm
basal_cell_of_epidermis,Pancreas,Endoderm
basal_cell_of_epidermis,Skin,Ectoderm
basal_cell_of_epidermis,Spleen,Mesoderm
basal_cell_of_epidermis,Thymus,Mesoderm
basal_cell_of_epidermis,Tongue,Ectoderm
basophil,Lung,Mesoderm
basophil,Marrow,Mesoderm
bladder_cell,Bladder,Endoderm
