cell_type,donor_tissue,germ_layer
B_cell,Bladder,Mesoderm
B_cell,Blood,Mesoderm
B_cell,BoneMarrow,Mesoderm
B_cell,Eye,Mesoderm
B_cell,Fat,Mesoderm
B_cell,Liver,Mesoderm
B_cell,Lung,Mesoderm
B_cell,Lymph_Node,Mesoderm
B_cell,Spleen,Mesoderm
B_cell,Tongue,Mesoderm
CD4-positive_alpha-beta_T_cell,Blood,Mesoderm
CD4-positive_alpha-beta_T_cell,Bone_Marrow,Mesoderm
CD4-positive_alpha-beta_T_cell,Eye,Mesoderm
CD4-positive_alpha-beta_T_cell,Fat,Mesoderm
CD4-positive_alpha-beta_T_cell,Liver,Mesoderm
CD4-positive_alpha-beta_T_cell,Lung,Mesoderm
CD4-positive_alpha-beta_T_cell,Lymph_Node,Mesoderm
CD4-positive_alpha-beta_T_cell,Muscle,Mesoderm
CD4-positive_alpha-beta_T_cell,SalivaryGland,Mesoderm
CD4-positive_alpha-beta_T_cell,Spleen,Mesoderm
CD4-positive_alpha-beta_T_cell,Tongue,Mesoderm
CD4-positive_alpha-beta_memory_T_cell,Blood,Mesoderm
CD4-positive_alpha-beta_memory_T_cell,Fat,Mesoderm
CD4-positive_alpha-beta_memory_T_cell,Lymph_Node,Mesoderm
CD4-positive_alpha-beta_memory_T_cell,Spleen,Mesoderm
CD8-positive_alpha-beta_T_cell,Bladder,Mesoderm
CD8-positive_alpha-beta_T_cell,Blood,Mesoderm
CD8-positive_alpha-beta_T_cell,Bone_Marrow,Mesoderm
CD8-positive_alpha-beta_T_cell,Fat,Mesoderm
CD8-positive_alpha-beta_T_cell,Lung,Mesoderm
CD8-positive_alpha-beta_T_cell,Lymph_Node,Mesoderm
CD8-positive_alpha-beta_T_cell,Muscle,Mesoderm
CD8-positive_alpha-beta_T_cell,Spleen,Mesoderm
CD8-positive_alpha-beta_T_cell,Tongue,Mesoderm
CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,Blood,Mesoderm
CD8-positive_alpha-beta_memory_T_cell,Blood,Mesoderm
CD8-positive_alpha-beta_memory_T_cell,Lymph_Node,Mesoderm
CD8-positive_alpha-beta_memory_T_cell,Spleen,Mesoderm
Mueller_cell,Eye,Ectoderm
T_cell,Bladder,Mesoderm
T_cell,BoneMarrow,Mesoderm
T_cell,Eye,Mesoderm
T_cell,Fat,Mesoderm
T_cell,Liver,Mesoderm
T_cell,Lymph_Node,Mesoderm
T_cell,Mammary,Mesoderm
T_cell,Muscle,Mesoderm
T_cell,Spleen,Mesoderm
T_cell,Tongue,Mesoderm
basal_cell,Lung,Endoderm
basal_cell,Mammary,Ectoderm
basal_cell,Tongue,Ectoderm/Endoderm
basophil,Blood,Mesoderm
basophil,Lung,Mesoderm
basophil,Muscle,Mesoderm
basophil,Spleen,Mesoderm
bladder_urothelial_cell,Bladder,Endoderm
capillary_endothelial_cell,Bladder,Mesoderm
capillary_endothelial_cell,Fat,Mesoderm
capillary_endothelial_cell,Lung,Mesoderm
capillary_endothelial_cell,Lymph_Node,Mesoderm
capillary_endothelial_cell,Muscle,Mesoderm
capillary_endothelial_cell,Tongue,Mesoderm
cardiac_endothelial_cell,Heart,Mesoderm
classical_monocyte,Blood,Mesoderm
classical_monocyte,Eye,Mesoderm
classical_monocyte,Fat,Mesoderm
classical_monocyte,Liver,Mesoderm
classical_monocyte,Lung,Mesoderm
classical_monocyte,Lymph_Node,Mesoderm
classical_monocyte,Spleen,Mesoderm
club_cell,Lung,Endoderm
common_myeloid_progenitor,Blood,Mesoderm
common_myeloid_progenitor,BoneMarrow,Mesoderm
common_myeloid_progenitor,Bone_Marrow,Mesoderm
conjunctival_epithelial_cell,Eye,Ectoderm
corneal_epithelial_cell,Eye,Ectoderm
dendritic_cell,Eye,Mesoderm
dendritic_cell,Lung,Mesoderm
effector_CD4-positive_alpha-beta_T_cell,Fat,Mesoderm
effector_CD4-positive_alpha-beta_T_cell,Lung,Mesoderm
effector_CD4-positive_alpha-beta_T_cell,Lymph_Node,Mesoderm
effector_CD8-positive_alpha-beta_T_cell,Lung,Mesoderm
effector_CD8-positive_alpha-beta_T_cell,Lymph_Node,Mesoderm
effector_CD8-positive_alpha-beta_T_cell,Spleen,Mesoderm
endothelial_cell,Eye,Mesoderm
endothelial_cell,Fat,Mesoderm
endothelial_cell,Liver,Mesoderm
endothelial_cell,Lymph_Node,Mesoderm
endothelial_cell,Mammary,Mesoderm
endothelial_cell,Muscle,Mesoderm
endothelial_cell,Ovary,Mesoderm
endothelial_cell,Spleen,Mesoderm
endothelial_cell,Tongue,Mesoderm
endothelial_cell_of_artery,Lung,Mesoderm
endothelial_cell_of_artery,Muscle,Mesoderm
endothelial_cell_of_hepatic_sinusoid,Liver,Mesoderm
endothelial_cell_of_vascular_tree,Muscle,Mesoderm
epithelial_cell,Muscle,Mesoderm
epithelial_cell,Stomach,Mesoderm
erythrocyte,Blood,Mesoderm
erythrocyte,Eye,Mesoderm
erythrocyte,Fat,Mesoderm
erythrocyte,Liver,Mesoderm
erythrocyte,Lymph_Node,Mesoderm
erythrocyte,Muscle,Mesoderm
erythrocyte,Spleen,Mesoderm
erythroid_progenitor_cell,BoneMarrow,Mesoderm
eye_photoreceptor_cell,Eye,Ectoderm
fast_muscle_cell,Muscle,Mesoderm
fibroblast,Bladder,Mesoderm
fibroblast,Eye,Mesoderm
fibroblast,Fat,Mesoderm
fibroblast,Liver,Mesoderm
fibroblast,Lung,Mesoderm
fibroblast,Lymph_Node,Mesoderm
fibroblast,Spleen,Mesoderm
fibroblast,Stomach,Mesoderm
fibroblast,Thymus,Mesoderm
