NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,Unnamed: 11
GOBP_TRANSLATION_AT_SYNAPSE,GOBP_TRANSLATION_AT_SYNAPSE,Details ...,48,-0.77504027,-6.3563643,0.0,0.0,0.0,1756,"tags=90%, list=12%, signal=102%",
GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,Details ...,157,-0.40988553,-5.961105,0.0,0.0,0.0,1211,"tags=49%, list=9%, signal=53%",
GOBP_AEROBIC_RESPIRATION,GOBP_AEROBIC_RESPIRATION,Details ...,149,-0.32122433,-4.4860315,0.0,0.0,0.0,6743,"tags=79%, list=47%, signal=149%",
GOBP_OXIDATIVE_PHOSPHORYLATION,GOBP_OXIDATIVE_PHOSPHORYLATION,Details ...,108,-0.355995,-4.3922944,0.0,0.0,0.0,6696,"tags=82%, list=47%, signal=155%",
GOBP_CELLULAR_RESPIRATION,GOBP_CELLULAR_RESPIRATION,Details ...,196,-0.2694216,-4.3584747,0.0,0.0,0.0,6743,"tags=74%, list=47%, signal=139%",
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,Details ...,291,-0.21591905,-4.301011,0.0,0.0,0.0,6816,"tags=69%, list=48%, signal=130%",
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Details ...,402,-0.17497918,-4.0954027,0.0,0.0,0.0,6816,"tags=65%, list=48%, signal=121%",
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,Details ...,339,-0.18313776,-3.9709983,0.0,0.0,0.0,6394,"tags=63%, list=45%, signal=111%",
GOBP_MITOCHONDRIAL_TRANSLATION,GOBP_MITOCHONDRIAL_TRANSLATION,Details ...,118,-0.30425188,-3.9055455,0.0,0.0,0.0,8967,"tags=93%, list=63%, signal=250%",
GOBP_ELECTRON_TRANSPORT_CHAIN,GOBP_ELECTRON_TRANSPORT_CHAIN,Details ...,85,-0.3511893,-3.8023045,0.0,0.0,0.0,6748,"tags=82%, list=47%, signal=156%",
