__mclCluster,EnrichmentMap::-log10(pvalue) (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)*sign(NES) (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::ES (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fdr_qvalue (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fwer_qvalue (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (mouse_r_protein_coding_classic.GseaPreranked),EnrichmentMap::pvalue (mouse_r_protein_coding_classic.GseaPreranked),name,selected,shared name
20,2.0969100130080598,-2.0969100130080598,2.0969100130080598,-0.99199999999999999,-0.1552,5.7200000000000001E-2,1,CAMK2N1|NEDD4L|MANF|NR2F2|NR3C2|RHOA|ADRA1A|RARRES2|AR|ARHGAP42|EDNRB|TNF|CALCA|HSD11B2|RNLS|TAC1|CHRM3|NPPA|NPPB|ECE1|ADM2|APLN|KCNK3|F2RL1|PTPN1|GJA5|WNK1|SLC2A5|NCALD|SOD2|BMPR2|ADRA1B|ADRB1|ADRB3|ADRB2|ANPEP|CPA3|ENPEP|AGTR1A|MCPT4|MME|NKX2-1|PRCP|COMT|PREP|RASL10B|RPS6KA2|PDGFB|SLC4A5|NMU|TPM1|GSK3A|OXTR|P2RX2|KL|ADM|AGT|ADAMTS16|AHR|AVPR2|BBS4|DDAH1|SMTN|CYBA|GPR37L1|KCNK6|EMP2|NAV2|POSTN|TACR1|EDN3|MECP2|F2R|ACE|ACE2|ADORA1|TNNI3|AVP|KLK1|AVPR1A|KLK1B11|KLK1B21|KLK1B22|KLK1B27|KLK1B3|KLK1B4|KLK1B5|KLK1B9|SUCNR1|SERPINF2|ADRA1D|CORIN|CORO2B|ENG|GJA1|PTPRO|GAS6|TTR|UTS2R|PLCB3|ATP6AP2|G6PDX|KDR|CYP2J5|KCNN4|NDST2|TAC4|IER3|NOS3|EDN1|EDN2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,111,ENR,GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,-1.8907,8.0000000000000002E-3,GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,FALSE,GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE
34,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.155,2.9999999999999997E-4,1.6E-2,PUF60|U2AF1|U2AF1L4|UBL5|UPF1|RBM10|UPF3A|UPF3B|RBM5|USP49|RBMX|WBP4|WDR83|WTAP|ZC3H14|ZCRB1|ZFP64|ZMAT2|HSPA8|SART1|SART3|SCAF11|SETX|SF3A1|SF3A2|SF3A3|SF3B1|SFSWAP|ZBTB7A|SLU7|SMN1|SNRNP200|SNRPB|SNRPC|SNRPD1|SNRPD2|SNRPD3|SNRPE|SNRPF|DHX9|SNRPG|SRPK1|SRPK2|SRPK3|SRSF1|SRSF10|SRSF12|SRSF6|TSSC4|U2AF2|USP39|USP4|FMR1|HNRNPU|METTL3|NCBP1|WDR77|NCBP2|XAB2|YTHDC1|RBM24|RBM4|ZRSR2|AKR1C6|ACIN1|AQR|ARGLU1|BC005624|BCAS2|BUD13|BUD31|CASC3|CDC40|CDC5L|CDK13|CIRBP|CTNNBL1|CWC15|CWC22|CWC25|CWF19L1|CWF19L2|DAZAP1|DBR1|DCPS|DDX23|DDX41|DDX5|DHX16|DHX38|DHX40|DHX8|DNAJC17|DYRK1A|EFTUD2|EIF1|STRAP|ESRP1|ESRP2|FBXO24|GPATCH8|GPKOW|HMX2|HNRNPA1|HNRNPA2B1|HNRNPA3|HNRNPC|HNRNPK|HNRNPL|HNRNPM|HNRNPUL1|HNRNPUL2|IK|ILF3|C1QBP|CELF1|CELF2|CELF3|JMJD6|CELF4|KHDRBS1|CELF5|KHDRBS3|CELF6|LARP7|CLNS1A|COIL|CRNKL1|LSM3|LSM5|LSM7|MAGOH|DDX17|MAGOHB|DDX20|MBNL2|METTL14|MFAP1A|MFAP1B|DDX39B|MYOD1|DDX42|NOVA1|DDX46|NOVA2|NUP98|PCBP4|PHF5A|EIF4A3|PLRG1|PPIE|PPIL1|EXOSC10|PQBP1|PRDX6|PRDX6B|PRPF38A|PRPF4|PRPF40A|PRPF40B|PTBP1|GEMIN4|GEMIN5|GEMIN6|GEMIN7|RBFOX1|GEMIN8|RBFOX3|RBM11|RBM14|RBM15|RBM15B|RBM17|RBM20|RBM22|RBM25|RBM3|RBM39|RBM41|HTATSF1|RBM42|RBM44|RBM47|RBM6|RBM7|RBM8A|ISY1|RBMX2|RBMXL1|RBPMS|RBPMS2|REST|LSM2|RNF113A1|LSM4|RNF113A2|LSM6|LUC7L|RNPC3|LUC7L2|RNPS1|LUC7L3|MBNL1|RSRC1|SAP18|METTL16|SCNM1|SF1|SF3B2|SF3B3|SF3B4|SF3B5|SFPQ|SLC39A5|NCL|SMU1|SNIP1|SNRNP25|SNRNP35|RBFOX2|SNRNP70|SNRPA|SNRPA1|NOL3|SNRPB2|SNW1|SON|SRRM1|SRRM2|SRRM4|SRSF2|SRSF3|SRSF4|NPM1|SRSF5|SRSF7|SRSF9|SYF2|TFIP11|THRAP3|THUMPD2|TIA1|TRA2A|TRA2B|PRMT5|PRMT7|PRPF18|PRPF19|PRPF3|PRPF31|PRPF39|PRPF4B|PRPF6|PRPF8|PSIP1|TXNL4A|PTBP2|TXNL4B,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,258,ENR,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,-2.8559999999999999,0,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,FALSE,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS
48,1.83564714421556,-1.83564714421556,1.83564714421556,-0.98540000000000005,-9.0300000000000005E-2,6.59E-2,1,MKNK2|EEF2|OGT|MSI2|RPL10|NANOS1|UPF1|NANOS3|UPF3A|NEURL1A|UPF3B|RPL13A|NOLC1|OGFOD1|OTUD6B|ERBB2|PAIP2|PAIP2B|RPL26|PATL1|ZFP36L1|PLXNB2|POLDIP3|POLR2G|PPP1R15A|RPS27L|PPP1R15B|PRKCH|PRR16|PSTK|RPL38|PUM1|RPL5|RBMS3|RNF139|RPS6KB2|RXRA|SAMD4|SAMD4B|SARNP|SECISBP2|RPS14|SEPSECS|SERBP1|SERP1|SLC35A4|SRP9|MAPK1|SSB|TMED2|AKT2|TNRC6A|ALKBH3|TNRC6B|TNRC6C|CNBP|TOB1|CPEB1|TPR|CPEB2|CPEB3|CPEB4|TRNAU1AP|CSDE1|DHX29|UHMK1|DHX36|WTIP|DHX9|NCK2|YBX2|YTHDF1|EIF2AK4|YTHDF3|EIF2B5|ZFP36|ZFP598|ZFP706|TARBP2|INPP5E|EIF3B|RARA|EIF3D|TSC1|EIF3E|EIF3K|USP16|GZMB|SCRIB|GZMC|EIF4EBP1|IGFBP5|EIF5|ETF1|ITGA2|FMR1|HNRNPD|HNRNPU|IGF2BP1|IMPACT|LIN28A|MVK|MCTS1|METTL3|MIF4GD|NCBP1|NCBP2|NCK1|NMNAT2|PABPC1|AKAP6|PAIP1|ZCCHC4|PARP16|SOX4|PIWIL2|PKP1|RBM24|RBM4|RPLP1|XBP1|PRKCA|PURA|RPS3|RPS4X|TYMS|PRMT1|RPS9|SH3BGRL|ANG|SMYD5|BCL3|SYNCRIP|UNK|YBX1|YTHDF2|ZFP385A|ACO1|DAPK1|WT1|AKT1|PLD1|MAPKAPK5|PTAFR|CYP1B1|EIF5A|GZMN|ALKBH5|CASC3|EIF2AK3|RGS2|RPS6KB1|CIRBP|ELAVL1|CNOT6L|PML|PINK1|PTK2B|SHMT2|KRT13|SESN2|S100A9|SHMT1|DUS3L|KRT17|TNF|KLHL25|EIF1|ELAVL4|ERN1|HABP4|ABCF1|ALKBH1|ILF3|C1QBP|CDK5RAP1|KHDRBS1|FASTKD2|FASTKD3|CALR|LRPPRC|MAGOH|METTL8|MPV17L2|PUM2|METTL14|CDK4|MRPL13|TRAP1|DDX39B|DDX3X|PCBP1|PCIF1|EIF2A|EEF2K|EIF4A3|EIF5B|EIF2S1|IGF1|PTBP1|PRG3|PUS7|GEMIN5|MTOR|MAPK3|MRPS27|RBM3|PPP1CA|RBM4B|THBS1|MTG1|RBM8A|NGRN|NSUN3|NSUN4|PTCD3|ABCE1|PELO|APLP1|RMND1|RPUSD3|B3GNTL1|RPUSD4|TACO1|BTG2|TRUB2|BZW1|TCOF1|TSFM|BZW2|CAPRIN1|CAPRIN2|METTL5|XRN1|CNOT1|CNOT10|CNOT2|CNOT3|CNOT6|FOXO3|CNOT7|NAT10|CNOT8|NCL|CTIF|NGDN|CYFIP1|DAP|DAPK3|DDX25|APP|DDX6|WFS1|DNAJC1|DNAJC3|EEFSEC|EIF2AK2|EIF4E|EIF4E2|EIF6|EIF4E3|EIF4EBP2|EIF4EBP3|EIF4ENIF1|EIF4G1|EIF4G2|EP300|EIF4G3|NPM1|EIF5A2|ENC1|NSUN5|BANK1|FXR1|IL6|FXR2|GIGYF2|PA2G4|GRB7|GSPT1|EIF2AK1|GAPDH|GTDC1|FECH|GUF1|HBS1L|IREB2|IFRD2|IGF2BP2|IGF2BP3|TIA1|PRKDC|JMJD4|KBTBD8|LARP1|LARP4|LARP4B|LARP6|LIMD1|LSM14A|LSM14B|DAPL1|MKNK1,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_REGULATION_OF_TRANSLATION,303,ENR,GOBP_REGULATION_OF_TRANSLATION,-1.8537999999999999,1.46E-2,GOBP_REGULATION_OF_TRANSLATION,FALSE,GOBP_REGULATION_OF_TRANSLATION
,2.2218487496163601,-2.2218487496163601,2.2218487496163601,-0.99399999999999999,-0.1414,5.5300000000000002E-2,1,MALT1|DUSP3|LGALS3|SLC39A6|RBCK1|RNF31|FCHO1|NFKBID|NFKBIZ|PRNP|PSEN1|PSEN2|PTPN6|PTPN22|PTPRC|DGKZ|STOML2|PRKD2|SH2D1A|MAPK1|RC3H1|RC3H2|LAPTM5|TNFRSF21|RFTN1|RIPK2|PTPRJ|BTNL1|BTNL6|STK11|EIF2B1|EIF2B2|IFNG|EIF2B3|EIF2B4|THY1|EIF2B5|SKAP1|SLA2|PTPN2|KHDRBS1|ADA|WNK1|ITPRIPL1|BRAF|TEC|SHB|THEMIS|SKINT1|LCK|PDE4D|ABL1|BTK|NCK1|TRAF6|TRAT1|CD160|TXK|CD226|CD247|TESPA1|VTCN1|CD28|CD3E|ZAP70|ZC3H12A|PDE4B|CACNB3|CD8A|CD8B1|RPS3|CTLA4|DENND1B|CD300A|DUSP22|NRAS|BTN1A1|BTNL10|BTNL4|BTNL9|BTRC|PLCG1|ELF1|PLCG2|ERMAP|LCP2|PHPT1|BCL2A1D|SKINT10|SKINT11|FOSL2|SKINT2|FOXP3|SKINT3|SKINT4|SKINT5|SKINT6|SKINT7|SKINT8|SKINT9|UBASH3A|UBE2N|FYN|UBR2|USP12|USP46|USP9X|CEACAM1|PAWR|CCR7|CD81|ICOSL|CD2AP|IKBKG|RELA|SPPL3|BTNL2|CARD11|CBLB|BCL10|ITK|GATA3|CD276|KCNN4|PRAM1|CLEC2I|LAT|LIME1|CACNB4|CYLD|LIPA|EZR|CRKL,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,133,ENR,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,-1.9086000000000001,6.0000000000000001E-3,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,FALSE,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY
45,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.1166,4.1000000000000003E-3,0.373,P2RX7|MCOLN1|BECN1|CYP2R1|PGAM2|PRKAA1|PRKAA2|GUCA1A|BMP6|HSPA8|KCNMA1|LRRK2|UCP2|MAPK1|ABAT|ATP12A|GPHN|IMPA2|SLC11A1|KCNK3|ITPKA|ITPKB|ITPKC|LCAT|TFRC|AKR1C18|KCNA1|HNRNPD|KIT|ABCB1A|LCK|AKAP5|SLC34A1|SLC41A1|ZFP658|ANK3|ASPH|ATG5|NFATC1|BCL2|CYP1A1|TRPM2|CALM1|FUS|CALM2|CALM3|CYP27B1|CAPN3|CREB1|TSPO|RYR1|HSD17B1|RYR3|B2M|STAR|SMPD3|SOD1|DPEP1|ACO1|AKT1|ALOX15|ALOX5AP|ABCC2|ATP13A2|PLCD1|ATP7A|PLCG2|ABCC8|TNNC1|CAT|PLSCR1|CDK1|BNIP3|ATP1A3|CEBPA|CAV1|CASR|GLUD1|GPR39|GRIA1|CP|HOMER1|ENDOG|HAAO|HPCA|SLC30A5|CYP2A5|FXN|CRP|IL1A|KCNC1|KCNC2|KCNIP3|JUN|KCNJ1|KCNJ10|MTTP|MYOG|AHCYL1|FGA|LONP1|FGB|MAPT|KCNMB1|APOBEC1|MEF2A|MICU1|HAMP|HAMP2|HVCN1|MMP9|EDN1|NUDT1|NPTX1|OTC|P2RX4|SLC30A2|P2RX5|MEF2C|PKD2|FABP4|PLN|PPP2CB|PPP3CA|SLC12A2|SLC13A2|PARK7|PRNP|PPIF|PTK2B|SLC25A23|KRT10|SNCA|SLC1A1|RYR2|SCN5A|SLC30A1|SORD|TRF|ABCC9|MAPK9|TAT|STIM1|CYP1A2|HNRNPA1|STK39|NFE2L1|SLC25A24|SUMO1|TCIRG1|PAM|TLR9|SLC25A39|ACTA1|XDH|HSF1|NFATC3|TRPC1|NFATC4|SHH|TRPC3|A3GALT2|ACER1|ADAM9|ADD1|PLA2G4A|ANXA11|ANXA5|WNK1|ANXA7|ATF1|BACE1|BRAF|BSG|CALR|CAMK2B|CARF|PPARG|CASP3|CASP6|CASP9|SLC25A13|CD14|CDH1|SOD2|CDK4|CDKN1B|CHUK|VPS54|CLDN1|CLIC4|CPA1|PTGS2|CPNE1|CPNE2|CPNE3|CPNE4|CPNE5|CPNE7|CPNE8|CRHBP|CRIP1|CUTA|CYBB|CYBRD1|DAXX|ENPP1|DDX19A|DLG2|DLG4|DNMT3A|ECT2|EEF2K|EGFR|EIF2S1|ENTPD6|TNNT2|FN1|TH|FOS|FOSB|GSK3A|TTN|FOXA2|GSK3B|GABRB3|GDI1|GGH|GIPR|GPLD1|GSS|HESX1|ID2|GATM|INHBB|IQGAP1|ITPR3|LTA4H|JUNB|JUND|KHK|KCNB1|KCNH1|KCNMB2|ASS1|KCNMB4|MT3|LCT|UROS|AQP2|ATF4|LGMN|LOXL2|MAP1LC3A|CACNA1G|MAPK3|MAPK8|CPS1|MDM2|MNAT1|MT1|MT2|MT4|MTF1|NCAM1|NCSTN|GCLC|NEK7|NFATC2|NFE2L2|NLGN1|PPP1CA|NPC1|ERCC1|HTT|NQO1|NRXN1|THBS1|FAS|OGG1|MECP2|PCDH15|PCNA|PCSK1|PDCD6|PDE1C|PDX1|PEF1|FGG|PENK|PPP5C|RASA4|AQP1|RASAL1|RASGRP2|S100A16|SDC1|SEC31A|SERPINA1A|SLC25A12|SERPINA1B|SERPINA1C|SERPINA1D|SERPINA1E|MAOB|SERPINF1|SETD2|MYLK|SLC30A10|SLC30A3|SLC30A4|SLC30A8|SMPD1|SOD3|SOX2|SUCNR1|SYT1|SLC39A8|SYT3|HFE|TFAP2A|TFR2|TNFRSF11B|TRPV6|ALDOB|TUBA1A|TXNIP|APP|WNT5A|ABCC6|ADCY1|GSN|EP300|FBP1|ADCY7|ABCB6|ALAD|FECH|HMOX1|D2HGDH|GPI1|IREB2|ATP1A2|HIF1A|SLC11A2|HMGCS2|LIG4,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_RESPONSE_TO_METAL_ION,347,ENR,GOBP_RESPONSE_TO_METAL_ION,-2.4645000000000001,0,GOBP_RESPONSE_TO_METAL_ION,FALSE,GOBP_RESPONSE_TO_METAL_ION
12,2.3872161432802601,-2.3872161432802601,2.3872161432802601,-0.99590000000000001,-0.2828,2.2599999999999999E-2,0.98699999999999999,CES1F|CASR|CES1B|HTR2C|ACACB|CES1C|GPR39|P2RX7|CES1E|SLC9A4|CES1G|CLDN2|SLC26A6|GHRL|GABBR1|GRIK1|AGXT|HRH2|CCKAR|PTGER3|HIP1R|UMOD|STARD10|SV2A|SCT|ABCB4|SNX10|TFF2|MYC|TRPC4|TNF|NF1|ABAT|KCNQ1|PAK1|ABCB11|APBA1|CACNB4|BEST1|NMU|CACNA1A|CES1D,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_ACID_SECRETION,42,ENR,GOBP_ACID_SECRETION,-2.15,4.1000000000000003E-3,GOBP_ACID_SECRETION,FALSE,GOBP_ACID_SECRETION
2,1.6903698325740999,-1.6903698325740999,1.6903698325740999,-0.97960000000000003,-0.1157,5.9700000000000003E-2,1,LY9|NCOR1|MALT1|RPL22|NCKAP1L|NDFIP1|PTCRA|GLI3|NFKBID|NFKBIZ|NLRP3|OTUD5|TBK1|TNFSF8|HSPH1|PAX1|IHH|PRDM1|STAT3|IL15|PRKCQ|PRKCZ|IL21|IL2RA|PRR7|IL2RG|ITCH|RC3H1|RC3H2|RELB|GPR18|RIPK2|MAPK8IP1|RORC|RSAD2|SASH3|SEMA4A|NKAP|SLAMF6|RARA|RASAL3|SMAD7|ADA|SOCS5|SPN|ITPKB|RUNX1|STAT4|RUNX3|STAT6|IGTP|TARM1|OPA1|TBX21|SH3RF1|SHB|NKG7|TMEM98|SYK|TNFRSF14|ABL1|TNFSF18|SOCS1|TNFSF4|ARG2|TXK|TYK2|TCF7|TGFBR2|RORA|ZAP70|ZBTB7B|BCL2|TOX|ZC3H12A|DOCK2|TWSG1|ELF4|TGFB1|PTGER4|SATB1|ZFP35|BCL3|KCTD9|PIK3R1|AP3B1|ABCC1|ATF2|ATP7A|CTSL|ENTPD7|ANXA1|ADORA2A|CCL19|CCL20|CCR2|CCR7|CD55|CD81|MYC|GATA3|GIMAP3|GIMAP5|GPR183|H2-T23|PLA2G2D|BAG6|CLEC4A3|CLEC4A4|CLEC4F|PSAP|PSMB11|WDFY4|BCL11B|PF4|PNP|RHOA|PTPN22|PTPRC|GIMAP1|STOML2|KLHL25|MYB|NKX2-3|XCL1|TCIRG1|IFNG|IL4|SHH|BRAF|ARMC5|AGER|ASCL2|BATF|BCL6|BRD2|BRD4|BTLA|CCR6|CD160|CD1D1|CD1D2|CD24A|CD274|SLC4A2|CD28|CD3E|CD44|CD69|HMGB1|CD80|INS1|INS2|CLEC4A2|CLEC4G|CRTAM|MTOR|MEN1|CD300A|EOMES|FOSL2|FOXP3|FUT7|GADD45G|CEBPB|H2-M3|HFE|HLX|IL12A|FOXP1|IL12B|IL18|ABL2|IL18R1|IL2|IL23A|ANKLE1|AP3D1|EP300|IL27|IL4RA|BLM|IL6|IL6RA|IRGM1|CARD11|IRF1|CBFB|IRF4|CBLB|ITK|JAK2|JAK3|CD83|LEF1|LGALS1|DAPL1|LGALS9|LOXL3,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_ALPHA_BETA_T_CELL_ACTIVATION,199,ENR,GOBP_ALPHA_BETA_T_CELL_ACTIVATION,-1.8787,2.0400000000000001E-2,GOBP_ALPHA_BETA_T_CELL_ACTIVATION,FALSE,GOBP_ALPHA_BETA_T_CELL_ACTIVATION
30,2.3872161432802601,-2.3872161432802601,2.3872161432802601,-0.99590000000000001,-0.21360000000000001,2.8E-3,0.26200000000000001,PPP1R11|KRT6A|P2RX7|LTA|LTF|RNASE1|RNASE10|MBL1|RNASE12|MBL2|MPEG1|MR1|MMP7|SEH1L|NOD2|EPHA2|NPY|PGLYRP1|PGLYRP3|PGLYRP4|STAB2|NLRP3|PLA2G1B|TBK1|TIRAP|TLR2|RARRES2|TNFAIP8|TNFSF8|REG3B|ZG16|REG3G|RNASE4|RNASE6|ROMO1|TNF|PYCARD|TAC1|RIPK2|NCF1|IFNG|GBP2|GBP3|GBP7|LYZ1|LYZ2|MYD88|ADAM17|FAU|NLRP6|TNFRSF14|SCD1|CARD9|DROSHA|RPL39|ADM|ANG|B2M|ABCC1|PLD1|ACP5|CAMP|C5AR1|CASP4|CHGA|DEFB11|DEFB19|DEFB2|CD36|DEFB4|DEFB40|DEFB42|HAVCR2|EAR1|EAR2|EAR6|APP|FGR|GBP10|GBP4|GBP6|IL18|GBP8|GBP9|CTSG|GSDMD|HCK|IL27RA|HMGB2|DEFB1|DEFB37|DMBT1|IL7R|LALBA|LBP|LYG1|MPO|MYO1F|H2-T23|HAMP|KLRK1|HAMP2|NOD1|IL1B|PGLYRP2,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,105,ENR,GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,-2.5232000000000001,4.1000000000000003E-3,GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,FALSE,GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM
6,1.59859945921846,-1.59859945921846,1.59859945921846,-0.9748,-0.25659999999999999,9.6100000000000005E-2,1,WDR1|CACNA1D|NPPA|CACNA2D1|GJA5|CAV3|GJA1|KCNE1|KCNE2|KCNE3|DLG1|KCNH2|KCND3|KCNE4|RNF207|ZMPSTE24|SCN1B|KCNH6|SCN2B|NOS1AP|SCN4B|KCNJ2|SCN5A|KCNJ5|KCNJ8|KCNN2|AKAP9|FLNA|KCNQ1|ANK2|SNTA1|KCNA5,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,32,ENR,GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,-1.7519,2.52E-2,GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,FALSE,GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION
16,2.7212463990471698,-2.7212463990471698,2.7212463990471698,-1,-0.13200000000000001,1.35E-2,0.88,RBM10|PPARA|ADRA1A|ASB2|ATP2A2|CACNA1S|TRIM63|UCHL1|FDPS|MYH6|CHRNB1|COL14A1|COMP|CTDP1|PBRM1|GATA4|NKX2-5|HEY2|HNRNPU|ACTN2|MAP2K4|AFG3L2|MEIS1|MET|AKAP6|ANK2|VEGFA|ATG5|MYOCD|BCL2|BMP4|P2RX2|PARP2|PDLIM5|PI16|PIN1|WNT10B|CAMK2D|CAPN3|CASQ1|CASQ2|CAV3|RYR1|ADM|AGT|SGCD|SORBS2|DMD|ACTN3|DYSF|EDNRA|ATG7|TBX3|ANKRD23|CDK1|COL6A1|TRIP10|CAV2|PRKG1|YY1|CNTNAP1|ZFP418|ACTN1|CNTNAP2|ACTN4|ALPK2|CTCF|ALPK3|CXADR|BIN3|BMPR1A|CACNA2D2|DCAF8|DNER|EFEMP2|FBXO22|FHL2|KDM1A|HOMER1|LRRC10|MAML1|MEGF10|MYF5|MYO18B|MYOF|ITGB1|NAGLU|PITX2|POPDC2|RAMP2|RCAN1|SGCB|SHOX2|SIX1|SKI|SMAD6|SMO|SMYD3|MFN2|SPEG|SYPL2|TBX18|TBX5|TMEM182|TMTC3|WFIKKN1|WFIKKN2|XK|ZMPSTE24|MYOG|LMNA|NR3C1|MEF2A|PAK1|HAMP|HAMP2|KEL|EDN1|RGS2|MEF2C|NOTCH1|PPP3CA|PPP3CB|PRKD1|GPX1|RGS4|HDAC5|HDAC9|DYRK1A|SLC8A1|TOMM70A|STAC3|ACTA1|SLC25A4|ACTC1|ACTG1|ADPRHL1|NFATC3|AKAP13|NFATC4|CFL2|CFLAR|CSRP1|CSRP2|CSRP3|FHOD3|FLII|FLNC|HDAC2|KRT19|PLEC|KRT8|LDB3|LMOD1|LMOD2|LMOD3|MYBPC1|MYBPC2|MYBPC3|MYBPH|MYH10|MYH11|MYL2|MYL9|DDX39B|MYLK3|MYOD1|MYOM1|MYOM2|MYOM3|MYOZ1|ADRA1B|MYOZ2|ADRB1|MYPN|NEB|NEBL|NEURL2|NRAP|PDGFRA|DICER1|PDGFRB|SIRT1|PGM5|PRKAR1A|PROX1|SIX4|SMAD4|SRF|TCAP|TMOD1|TMOD2|TMOD3|TMOD4|TNNT1|TNNT2|TNNT3|TPM1|GSK3A|TTN|GSK3B|WDR1|XIRP1|IGF1|PTCD2|MTOR|PMP22|NFATC2|HES1|ISL1|SDC1|SPG11|FOXP1|ENG|LOX|EP300|PRICKLE1|G6PDX|BIN1|HDAC4|CACNB4,https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_MUSCLE_CELL_DEVELOPMENT,221,ENR,GOBP_MUSCLE_CELL_DEVELOPMENT,-2.2551000000000001,0,GOBP_MUSCLE_CELL_DEVELOPMENT,FALSE,GOBP_MUSCLE_CELL_DEVELOPMENT
