__mclCluster,EnrichmentMap::-log10(pvalue) (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)*sign(NES) (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::ES (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fdr_qvalue (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::fwer_qvalue (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (human_r_protein_coding_classic.GseaPreranked),EnrichmentMap::pvalue (human_r_protein_coding_classic.GseaPreranked),name,selected,shared name
10,2.23657200643706,2.23657200643706,2.23657200643706,0.99419999999999997,0.1525,5.3999999999999999E-2,0.999,BMP4|HAND2|REST|PPARG|TNFAIP6|CEBPD|NPPC|RORB|NPNT|GLI3|TRPM4|GDF10|VEGFC|PRKD1|RUNX2|ATF4|IPO7|LRP3|CEBPB|IGFBP5|LIMD1|TWSG1|ACVR1|CTNNBIP1|GSK3B|RASSF2|HOXA2|IGF1|SMAD3|IFITM1|IL6ST|CRIM1|FBN2|SCUBE3|TWIST2|BAMBI|MEN1|CDK6|DDX5|RIOX1|UCMA|PRMT3|DDR2|SUFU|ID1|PTCH1|SMAD5|VEGFA|CLIC1|ID2|ERFE|DNAI3|BMPR2|SOX11|CTHRC1|ACVR2B|NBR1|NOG|AREG|TCIRG1|SFRP1|TWIST1|GREM1|BMPR1B|FAM20C|TAOK3|ILK|SKI|IL6R|TP63|CITED1|JAG1|CCN1|FGFR2|HEMGN|PTEN|WNT10B|ZHX3|CHRD|JUND|LTF|RANBP3L|MEF2C|BMPR1A|FFAR4|BMP6|NOCT|FZD1|HGF|CTNNB1|SMAD1|TNF|ATRAID|SFRP2|NELL1|SMAD6|SEMA4D|SMOC1|NOTCH1|FBXO5|FGF2|WNT7B|CCN4|GLI1|MSX2|PTK2|WWTR1|YAP1|HDAC7|SNAI2|AXIN2|ACVR2A|TENT5A|TMEM53|FGF23|ID3|TOB1|CEBPA|IL6|TMEM119|PPP3CA|TMEM64|PRKACA|GDPD2|BMP7|OSTN|BMP2|WNT3|FERMT2|WNT4|SOX9|SUCO|LRP5,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,133,ENR,GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,2.0581999999999998,5.7999999999999996E-3,GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,FALSE,GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION
19,1.99139982823808,1.99139982823808,1.99139982823808,0.98980000000000001,0.14710000000000001,6.1800000000000001E-2,1,BRDT|MSH6|TOP6BL|ZWINT|UBR2|AGO4|C9ORF78|MOV10L1|CCNB2|CCNE1|CCNE2|CENPC|MRE11|PRDM9|SIRT7|SLC25A31|TDRD9|HORMAD1|PLK1|CDC25B|CDC25C|SLX4|UBB|BRCA2|RAD50|BRIP1|RAD51|BRME1|FOXJ2|M1AP|RAD51AP1|C14ORF39|MAEL|TERF1|MEIKIN|DMC1|EME1|EME2|NDC80|NDC1|FANCD2|FANCM|UBE2B|HSPA2|P3H4|HSF2BP|AURKA|PTTG1|KASH5|PTTG2|MAJIN|PSMA8|MCMDC2|BCL2L11|MEIOC|MUS81|BAG6|PDIK1L|TEX15|SPATA22|PKMYT1|SPDYA|TOP2B|STAG3|SUN1|SYCE1|PSMD13|SYCE1L|SYCE2|SYCP2|TEX12|RAD21|RAD51B|RAD51C|RAD51D|RAD54B|STK35|RAD54L|KNL1|REC8|ZCWPW1|ANKLE1|RMI1|ATM|ANKRD31|BTBD18|SPO11|TERB1|TERB2|TRIP13|FOXJ3|MYBL1|ZSCAN21|CCNA1|CDC25A|CKS2|TRIM75|MEI1|EHMT2|ERCC4|ING2|PIWIL2|DMRTC2|CDC20|FBXO5|SYCP3|WEE2|DNMT3L|C1ORF146|CCNB1IP1|SLC2A8|CENPS|CENPX|CNTD1|HFM1|IHO1|KLHDC3|MEI4|MLH3|MND1|MSH4|MSH5|ESPL1|DDX4|PSMC3IP|REC114|RNF212|RNF212B|DMRT1|SHOC1|SYCE3|MAPK15|SYCP1|TEX11|FMN2|TEX19|MLH1|TOP2A,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS,138,ENR,GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS,2.0222000000000002,1.0200000000000001E-2,GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS,FALSE,GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS
34,2.0757207139381202,2.0757207139381202,2.0757207139381202,0.99160000000000004,0.37690000000000001,7.6200000000000004E-2,1,ONECUT1|WNT11|NOTCH1|FGF2|INSM1|NKX6-3|JAG1|BCCIP|POU3F2|GATA2|HES1|OTP|BMP2|WNT4|LHX3|FGF8|ASCL1|RFX6,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEUROENDOCRINE_CELL_DIFFERENTIATION,18,ENR,GOBP_NEUROENDOCRINE_CELL_DIFFERENTIATION,1.9641,8.3999999999999995E-3,GOBP_NEUROENDOCRINE_CELL_DIFFERENTIATION,FALSE,GOBP_NEUROENDOCRINE_CELL_DIFFERENTIATION
3,1.8386319977650301,1.8386319977650301,1.8386319977650301,0.98550000000000004,0.28649999999999998,7.0800000000000002E-2,1,BMP4|FGF2|FGFR1|SIX1|FZD5|GATA5|HOXC11|NKX2-1|ROBO1|WNT2B|AR|ROBO2|DKK1|HIPK1|POU5F1|HIPK2|FGF1|GDNF|WNT1|WNT2|SPRY1|CTNNB1|C12ORF43|HOXA11|BMP2|WNT3|SIX3|WNT4|FGF10|FGF8|FRS2|SOX9|SALL1|SOX8|MESP1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DEVELOPMENTAL_INDUCTION,35,ENR,GOBP_DEVELOPMENTAL_INDUCTION,1.9842,1.4500000000000001E-2,GOBP_DEVELOPMENTAL_INDUCTION,FALSE,GOBP_DEVELOPMENTAL_INDUCTION
11,2.7212463990471698,2.7212463990471698,2.7212463990471698,1,0.33589999999999998,1.1000000000000001E-3,3.7999999999999999E-2,CDH17|DSG1|DCHS1|CDH1|CDHR3|ATP2C1|CDH13|FXYD5|CDH23|CDH5|KIFAP3|CDH26|CDH16|PCDHGB4|PCDHGC3|CDH10|CDH11|CDH12|PCDHB10|CDH15|PCDHB11|PCDHB6|CDH18|PCDHB13|CDH19|PCDHB14|CDH20|NLGN1|PCDHB16|CDH22|PCDHB2|CDH24|NRXN1|PCDHB3|CDH4|PCDHB4|CDH6|PCDHB5|CDH7|PCDHB9|CDH8|SELL|CDH9|SELP|CDH2|CDH3|AJUBA|PCDH12,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,48,ENR,GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,2.7808999999999999,0,GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,FALSE,GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES
11,2.7212463990471698,2.7212463990471698,2.7212463990471698,1,0.28220000000000001,0,0,CDH17|TRO|CDH1|CDHR3|SDK2|TENM3|AMIGO1|DSC2|CDH26|PLXNB2|CD84|PCDH8|NPTN|PCDHGC3|PCDHGC4|CDH10|DSC1|PCDHGC5|CDH11|CDH12|CDH15|CDH18|CDH19|CDH20|CDH22|CDH24|CDH4|PKD1|CDH6|CDH7|CLSTN2|CDH8|CDH9|CDHR2|PTPRR|MYPN|PTPRT|CADM1|DCHS2|CDH2|CDH3|MYOT|CEACAM5|CEACAM1|DSG4|PCDH12|DSC3|DSG1|DSG3|PIK3CB|CNTN4|NECTIN1|FAT1|PCDHGA3|PALLD|CNTN6|CELSR2|FAT2|CDH16|PCDHGB4|CNTN2|PCDHA10|PCDH17|SDK1|CADM3|DSCAML1|PCDH11Y|IGSF9|HMCN1|NEXN|IGSF11|CLSTN1|PCDH9|IGSF21|DCHS1|CDH13|ITGB1|CDHR5|CDH5|DSCAM|ROBO4|CEACAM6|DSG2|PTPRG|L1CAM|NECTIN3|PTPRM|NECTIN4|ROBO3|PTK7|KIRREL3|PECAM1|CELSR1|EMB|FAT4|HMCN2|CDH23|PCDHAC2|AMIGO2|CDHR1|CLSTN3|CADM2|CDHR4|RET|ESAM|MPZL2|PCDH1|PVR|PCDH10|PCDH11X|ROBO1|PCDH18|ROBO2|PCDH19|PCDH20|PCDH7|PCDHA1|PCDHA7|PCDHB10|PCDHA11|PCDHB11|PCDHB6|PCDHA12|PCDHB13|PCDH15|PCDHA13|PCDHB14|PCDHA3|PCDHB16|PCDHA4|PCDHB2|PCDHA5|PCDHB3|PCDHA6|PCDHB4|PCDHA8|PCDHB5|PCDHA9|PCDHB9|PCDHAC1|PCDHB1|PCDHB12|NECTIN2|PCDHB15|PCDHB7|BSG|PCDHB8|PLXNB3|PCDHGA1|PCDHGA10|PCDHGA11|FAT3|PCDHGA12|PCDHGA2|PTPN23|CELSR3|PCDHGA4|PCDHGA5|PCDHGA6|PCDHGA7|PCDHGA8|PCDHGA9|PCDHGB1|PCDHGB2|PCDHGB3|PCDHGB5|PCDHGB6|PCDHGB7|CADM4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,169,ENR,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,4.2324000000000002,0,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,FALSE,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES
5,1.9172146296835499,1.9172146296835499,1.9172146296835499,0.9879,0.41789999999999999,8.8800000000000004E-2,1,GAL|SPINK5|CTNNB1|MSX2|RBPJ|TRPC4AP|NOM1|NF1|CDH3|FERMT1|WNT10B|WNT5A|ERCC2|NSUN2|TGFB2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HAIR_FOLLICLE_MATURATION,15,ENR,GOBP_HAIR_FOLLICLE_MATURATION,1.9278,1.21E-2,GOBP_HAIR_FOLLICLE_MATURATION,FALSE,GOBP_HAIR_FOLLICLE_MATURATION
30,1.85387196432176,1.85387196432176,1.85387196432176,0.98599999999999999,0.12670000000000001,7.0699999999999999E-2,1,CAV3|SLC6A2|WNK3|WNK4|DLG1|DMD|TRPM2|ASIC5|TRPM4|ATP12A|ATP1A1|FGF12|ATP1A2|FXYD1|ATP1A3|ATP1A4|P2RX7|ATP1B1|ATP4A|HCN4|ATP4B|SLC5A10|SLC5A9|BPIFA1|SLC6A16|PCSK9|ACTN4|FXYD3|FXYD4|FXYD6|FXYD7|WNK2|SLC34A1|SLC38A2|SLC5A3|ATP2B4|ATP1B2|SLC20A1|ATP1B3|SLC28A3|RANGRF|FXYD2|SLC4A4|NEDD4L|SCN10A|SCN1A|SLC4A8|SCN1B|SCN2A|SCN3A|SLC17A6|ASIC4|SCN3B|SLC17A7|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SLC38A5|OSR1|SLMAP|NPPA|SNTA1|PKD2|SLC4A10|ASIC2|SLC4A11|SLC9A1|SLC20A2|SLC34A2|SLC9A2|SLC34A3|SLC9A3|SLC9A4|SLC9A5|SLC9A6|TRPV3|SLC6A19|SLC9A7|MCOLN1|SLC9A8|SLC9A9|KCNK3|SLC9B1|UTRN|SLC9B2|SLC9C1|SLC9C2|SHROOM2|TESC|ASIC1|TPCN1|ASIC3|SLC4A7|MCOLN3|CNNM4|SLC17A3|KCNK9|SCNN1B|PKD2L1|GRP|SLC24A4|SLC5A4|SLC8A2|HCN1|HCN3|SLC5A2|SLC6A1|SCN2B|SCN9A|SLC5A5|CHP1|SLC23A1|SCN11A|SLC13A1|AGT|SLC13A4|FGF13|TRPM5|COMMD1|NOS1|SLC4A5|SLC6A4|HCN2|SLC5A11|SCNN1A|SCNN1D|SCNN1G|GRIN2A|SLC13A3|PTPN3|KCNK1|SLC5A6|SLC6A12|SLC6A13|SLC13A2|SLC6A14|SLC13A5|SLC38A1|SLC6A20|SLC17A1|SLC6A8|SLC17A2|SLC17A4|SLC17A8|FXYD5|TPCN2|PRKCE|CNGB1|CNGA1|CNGA3|SLC41A3|SLC8A3|SLC41A1|NALCN|SLC38A4|ANO6|SLC6A11|SLC6A3|SLC24A1|SLC24A2|SLC6A15|GRIN1|SLC24A3|SLC6A17|SLC24A5|SLC6A5|SLC6A6|SLC6A7|SLC6A9|SLC12A1|SLC12A2|SLC8B1|WNK1|SLC4A9|SLC5A1|SLC12A3|SLC6A18|STK39|SLC8A1|CAMK2D,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,182,ENR,GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,1.9832000000000001,1.4E-2,GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,FALSE,GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT
15,2.7212463990471698,2.7212463990471698,2.7212463990471698,1,0.13519999999999999,5.0000000000000001E-4,1.4999999999999999E-2,FOXF2|WNT3A|COL12A1|COL7A1|PTX3|COL4A6|COL5A2|NPNT|ADAMTS4|DAG1|ADAMTS5|ATP7A|COL13A1|COL27A1|COL6A1|COL11A2|MATN1|MYH11|HPN|SERPINB5|CTSG|RGCC|ADAMTS8|CRTAP|HSD17B12|SMOC2|ATXN1L|MMP24|TIE1|FOXC1|CTSS|COL1A1|DPP4|COL17A1|COL5A3|ELANE|EMILIN1|ADAMTS16|KLK5|SCX|KLK7|NID2|PRICKLE1|ADAMTS14|ADAMTS2|FBLN5|MMP16|MMP17|ADAMTS10|MMP23B|P3H1|ADAMTS17|MMP25|ADAMTSL1|MMP27|ADAMTSL3|ADAMTSL5|FLOT1|C6ORF15|SELENON|COL10A1|COL15A1|COL22A1|MMP7|COL23A1|COL24A1|GAS6|ANTXR1|COL28A1|COL6A5|NTN4|COL6A6|COL9A1|COL9A2|COL9A3|GFOD2|HPSE2|MANSC4|CAV2|MATN4|MIA|OLFML2A|GREM1|OLFML2B|PAPLN|ST7|MYF5|COLQ|RB1|TCF15|ADAMTS13|ADAM15|ADAMTS15|ITGA2|SPINK5|COL4A5|CCN1|ITGB1|CAPG|ITGB3|PLOD2|COL18A1|PLOD3|HAPLN2|TNFRSF1A|KIF9|CARMIL2|WT1|CST3|VWA1|CTSV|FLRT2|LARGE1|TLL2|CRISPLD2|LOXL1|SERAC1|FSCN1|MMP3|THSD4|MMP14|NFKB2|GSN|MMP2|MMP28|SERPINH1|MMP12|KLK4|LAMC1|LOXL2|LCP1|TNF|SMPD3|NF1|MELTF|OTOL1|SFRP2|IHH|MMP1|MMP10|SMOC1|MMP11|DNAJB6|MMP13|MMP15|TMEM38B|MMP19|MMP20|PLG|ERO1B|BMP1|ABL1|NOXO1|EXOC8|PBXIP1|RECK|SPINT2|TLL1|SH3PXD2B|MMP9|AXIN2|MPV17|SLC39A8|RIC1|ADAMTS3|APLP1|ENG|IER3IP1|TGFBR1|TIMP3|KAZALD1|TMPRSS6|LOX|TPSAB1|WASHC1|ADAMTS6|FSHR|BMP2|PRDM5|TGFB2|CAV1|PPARG|COL19A1|RIC8A|CFLAR|TGFBI|RXFP1|PXDN|CREB3L1|ADAMTS1|TNFRSF11B|APBB2|PRDX4|FOXF1|GPM6B|SMAD3|CTSK|TGFBR3|TNXB|CLASP1|ERO1A|CLASP2|FKBP10|LOXL3|LTBP4|MPZL3|LRP1|ANGPTL7|COL4A4|DDR2|IMPG2|ADAMTSL4|ADAMTS19|HRNR|P3H4|SLC2A10|TNFRSF1B|COL3A1|ELF3|COMP|GAS2|GFAP|DDR1|FOXC2|FBLN1|ANTXR2|TGM1|HMCN1|ADAMTS7|COLGALT1|QSOX1|COL8A2|FKTN|HAS2|MATN2|MFAP4|MATN3|ELN|ADAMTS18|COL11A1|COL2A1|NPHS1|CSGALNACT1|ADAMTS20|BCL3|MMP21|ZNF469|PDPN|ADAMTS9|ITGA8|ABI3BP|HAS1|CCDC80|COL4A2|COL4A3|HAS3|PLOD1|COL16A1|COL8A1|IMPG1|AGT|DMP1|ANXA2|POMGNT1|ECM2|FAP|EFEMP2|POMT1|EGFL6|POMT2|EGFLAM|OPTC|FURIN|IBSP|EXT1|COL5A1|LAMA1|LAMA2|LAMB1|LAMB2|FERMT1|NDNF|NID1|SMAD4|ERCC2|SPOCK2|VIT|ADAMTS12|MMP26|STAT3|TGFB1|NOTCH1|FGFR4|PDGFRA|PHLDB2|VIPAS39|CMA1|PHLDB1|AEBP1|CHADL|COL14A1|VPS33B|CYP1B1|LUM|ADAM10|ADAM8|ADTRP|MMP8|NPHP3|APP|COL1A2|COL4A1|ADAMTSL2|NOX1|FMOD|RAMP2|IL6|B4GALT1|COLGALT2|DPT|PRSS1|LOXL4|PRSS2|P4HA1|P4HA3|POSTN|TNR|FKRP|VTN|RUNX1|SPINT1|MYO1E|SERPINF2|SOX9|SULF1|NR2E1|SULF2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,337,ENR,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,2.887,0,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,FALSE,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
3,2.10237290870956,2.10237290870956,2.10237290870956,0.99209999999999998,0.21260000000000001,5.4100000000000002E-2,0.999,HOXA3|BMP4|HAND2|NKX3-2|WNT11|TP63|SIX1|FGFR2|MKS1|GLI3|HOXC11|TBX5|WT1|WNT5A|WNT2B|RDH10|DKK1|MEF2C|BMPR1A|GDNF|SPRY1|CTNNB1|RBPJ|EXT1|HES1|HOXA11|TGFBR2|MAP2K1|FOLR1|ISL1|LRP2|CITED2|GATA6|MESP1|LEMD2|NOTCH1|NTF4|TBR1|FGF2|FGFR1|MAP2K2|PIM1|GATA5|PAX2|PAX8|EMP2|AXIN2|ROBO1|AR|ROBO2|POU5F1|SMARCD3|SHH|FGF1|NOG|WNT2|RBM20|SOX17|BMP7|FOXH1|BMP2|EYA1|MAPK1|MAPK3|FGF10|FGF8|FRS2|SULF1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ANIMAL_ORGAN_FORMATION,68,ENR,GOBP_ANIMAL_ORGAN_FORMATION,2.0594999999999999,7.9000000000000008E-3,GOBP_ANIMAL_ORGAN_FORMATION,FALSE,GOBP_ANIMAL_ORGAN_FORMATION
