tissue,cell_type,go_term,NES,FDR
Bladder,bladder cell,Cytoplasmic Translation (GO:0002181),-2.660228908480276,0.0
Bladder,bladder cell,Peptide Biosynthetic Process (GO:0043043),-2.3451992748365984,0.0
Bladder,bladder cell,Macromolecule Biosynthetic Process (GO:0009059),-2.2538177814629807,0.0
Bladder,bladder cell,Translation (GO:0006412),-2.1655176038169475,0.0
Bladder,bladder cell,Gene Expression (GO:0010467),-2.003209795208338,0.005410401100447
Bladder,bladder cell,Ribosome Assembly (GO:0042255),-2.0019948291269998,0.0045086675837058
Bladder,bladder cell,Positive Regulation Of Lamellipodium Organization (GO:1902745),1.865450058988588,0.916531711358843
Bladder,bladder cell,rRNA Metabolic Process (GO:0016072),-1.8194116459113352,0.0834747598354688
Bladder,bladder cell,tRNA Processing (GO:0008033),-1.7947967268253335,0.105051954700347
Bladder,bladder cell,Ribosomal Small Subunit Biogenesis (GO:0042274),-1.7794254143694417,0.1136184231093882
Bladder,bladder cell,Negative Regulation Of Response To Biotic Stimulus (GO:0002832),1.7767324159410491,0.8590642889424526
Bladder,bladder cell,ncRNA Processing (GO:0034470),-1.756395645545256,0.137243841248007
Bladder,bladder cell,Collagen Fibril Organization (GO:0030199),1.7538069950740551,0.6994325600080346
Bladder,bladder cell,Ribosome Biogenesis (GO:0042254),-1.7237750719596294,0.1926430694856149
Bladder,bladder cell,Ribonucleoprotein Complex Biogenesis (GO:0022613),-1.7181770628166095,0.1916183723074999
Bladder,bladder cell,rRNA Processing (GO:0006364),-1.6994031260437945,0.2209940757182605
Bladder,bladder cell,Regulation Of Cytoskeleton Organization (GO:0051493),1.6862919684518598,0.8354879105152154
Bladder,bladder cell,Protein N-linked Glycosylation Via Asparagine (GO:0018279),1.6812083736579089,0.6872514311539621
Bladder,bladder cell,mRNA Catabolic Process (GO:0006402),1.669102567527813,0.6282122501757558
Bladder,bladder cell,Circulatory System Development (GO:0072359),1.6665597420499352,0.54983482546378
Bladder,bladder cell,Antiviral Innate Immune Response (GO:0140374),-1.662961216259898,0.3256546186173847
Bladder,bladder cell,Positive Regulation Of Interleukin-1 Production (GO:0032732),1.6456810783833773,0.5617808922115095
Bladder,bladder cell,Substantia Nigra Development (GO:0021762),1.637317294375966,0.5304685146128353
Bladder,bladder cell,Integrated Stress Response Signaling (GO:0140467),1.622038379358859,0.5298791051521543
Bladder,bladder cell,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),-1.6146921545664394,0.5097800147976783
Bladder,bladder cell,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),1.6067081691850005,0.5304685146128352
Bladder,bladder cell,Regulation Of Interleukin-1 Beta Production (GO:0032651),1.599082370793148,0.5127862307924074
Bladder,bladder cell,Phosphatidylinositol Metabolic Process (GO:0046488),-1.5783694590736943,0.6962509916137807
Bladder,bladder cell,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),1.5695511643647022,0.5712737849676687
Bladder,bladder cell,Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),-1.5520823358811533,0.8515546986919319
Bladder,bladder cell,Double-Strand Break Repair (GO:0006302),1.534709652383793,0.6540339979770156
Bladder,bladder cell,Negative Regulation Of Organelle Assembly (GO:1902116),1.527453890422045,0.6422598423219845
Bladder,bladder cell,Heart Development (GO:0007507),1.5083285447317047,0.67800507023953
Bladder,bladder cell,Negative Regulation Of Protein Binding (GO:0032091),-1.5058963436630164,1.0
Bladder,bladder cell,Axonal Transport (GO:0098930),-1.5044591574067905,1.0
Bladder,bladder cell,Positive Regulation Of Metabolic Process (GO:0009893),1.4986978134924522,0.6748738324796626
Bladder,bladder cell,Sterol Metabolic Process (GO:0016125),-1.4895078105712911,1.0
Bladder,bladder cell,"Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)",1.4819314198598232,0.7094197758695725
Bladder,bladder cell,Regulation Of Cellular Senescence (GO:2000772),-1.481080656526671,1.0
Bladder,bladder cell,Regulated Exocytosis (GO:0045055),-1.4780962886794733,1.0
Bladder,bladder cell,Modulation Of Chemical Synaptic Transmission (GO:0050804),-1.475388459844851,1.0
Bladder,bladder cell,Regulation Of Protein Modification Process (GO:0031399),1.474789959340287,0.697519564390035
Bladder,bladder cell,tRNA Modification (GO:0006400),-1.473864749719865,1.0
Bladder,bladder cell,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),1.471153439184406,0.6773788226875566
Bladder,bladder cell,Regulation Of Heart Contraction (GO:0008016),1.470199988047202,0.6483504067490209
Bladder,bladder cell,Ribosomal Large Subunit Biogenesis (GO:0042273),-1.4645189198670143,1.0
Bladder,bladder cell,Regulation Of Mitotic Nuclear Division (GO:0007088),1.4600344830370235,0.6512974540524255
Bladder,bladder cell,Wnt Signaling Pathway (GO:0016055),-1.4591331075025034,1.0
Bladder,bladder cell,Sphingolipid Biosynthetic Process (GO:0030148),-1.4553870699560758,1.0
Bladder,bladder cell,Regulation Of Protein Localization To Membrane (GO:1905475),1.4543303805544578,0.6433532395823782
Bladder,bladder cell,Regulation Of Protein Localization (GO:0032880),1.4541935713808891,0.6167924418750628
Bladder,bladder cell,Regulation Of Vesicle-Mediated Transport (GO:0060627),-1.4451569401772166,1.0
Bladder,bladder cell,Sulfur Compound Biosynthetic Process (GO:0044272),1.4362753650302384,0.6626141156974993
Bladder,bladder cell,Regulation Of Lamellipodium Assembly (GO:0010591),1.4352127137687338,0.6414361803833407
Bladder,bladder cell,Regulation Of Protein Binding (GO:0043393),-1.435141339825604,1.0
Bladder,bladder cell,Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),-1.433378627223715,1.0
Bladder,bladder cell,Glycerophospholipid Biosynthetic Process (GO:0046474),-1.429141238833605,1.0
Bladder,bladder cell,RNA Modification (GO:0009451),-1.4280701229332586,1.0
Bladder,bladder cell,Axon Development (GO:0061564),-1.4269507190886228,1.0
Bladder,bladder cell,Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943),1.4264240126462475,0.6475863574481382
Bladder,bladder cell,Organic Anion Transport (GO:0015711),-1.4233419023429876,1.0
Bladder,bladder cell,Cilium Assembly (GO:0060271),-1.4200242111479893,1.0
Bladder,bladder cell,SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),-1.4127251433585142,1.0
Bladder,bladder cell,Regulation Of Signal Transduction (GO:0009966),-1.4105066307913212,1.0
Bladder,bladder cell,Protein Import Into Nucleus (GO:0006606),-1.397690387581196,1.0
Bladder,bladder cell,Macromolecule Catabolic Process (GO:0009057),-1.3959110920784554,1.0
Bladder,bladder cell,Protein Localization To Cell Surface (GO:0034394),-1.3934878805689237,1.0
Bladder,bladder cell,Vesicle Cytoskeletal Trafficking (GO:0099518),-1.3906103129354068,1.0
Bladder,bladder cell,Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),-1.3783463899794048,1.0
Bladder,bladder cell,Import Into Nucleus (GO:0051170),-1.3777627885239994,1.0
Bladder,bladder cell,Carboxylic Acid Transport (GO:0046942),-1.3767319191613456,1.0
Bladder,bladder cell,ERAD Pathway (GO:0036503),-1.3762996541888686,1.0
Bladder,bladder cell,Glycoprotein Metabolic Process (GO:0009100),-1.3747003295203462,1.0
Bladder,bladder cell,Protein K63-linked Deubiquitination (GO:0070536),-1.374680655951826,1.0
Bladder,bladder cell,Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173),-1.372893088980213,1.0
Bladder,bladder cell,Regulation Of Peptidase Activity (GO:0052547),1.3724266963244265,0.8444343041148367
Bladder,bladder cell,Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),-1.372115728223973,1.0
Bladder,bladder cell,Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),-1.3695793349562877,1.0
Bladder,bladder cell,Sphingolipid Metabolic Process (GO:0006665),-1.3662804270041642,1.0
Bladder,bladder cell,T Cell Receptor Signaling Pathway (GO:0050852),-1.3650488848305729,1.0
Bladder,bladder cell,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),1.3629269954377798,0.8582004992155926
Bladder,bladder cell,Nucleobase-Containing Compound Catabolic Process (GO:0034655),-1.3614128293311467,1.0
Bladder,bladder cell,Extracellular Matrix Organization (GO:0030198),1.3613822778276727,0.8359790850657829
Bladder,bladder cell,Cholesterol Metabolic Process (GO:0008203),-1.3591090981924947,1.0
Bladder,bladder cell,B Cell Activation (GO:0042113),-1.359022221304738,1.0
Bladder,bladder cell,Skin Development (GO:0043588),1.358587892844335,0.8208952730612602
Bladder,bladder cell,Regulation Of Filopodium Assembly (GO:0051489),-1.3523337113563476,1.0
Bladder,bladder cell,Ubiquitin-Dependent ERAD Pathway (GO:0030433),-1.3500916549851374,1.0
Bladder,bladder cell,Regulation Of Protein Metabolic Process (GO:0051246),-1.3448117302057032,1.0
Bladder,bladder cell,Actin Filament Organization (GO:0007015),-1.341802796403352,1.0
Bladder,bladder cell,Purine Ribonucleotide Biosynthetic Process (GO:0009152),-1.3416309709183365,1.0
Bladder,bladder cell,Regulation Of Histone Deacetylation (GO:0031063),1.3370334038181515,0.8929553329316059
Bladder,bladder cell,Positive Regulation Of Synaptic Transmission (GO:0050806),-1.3337162853428035,1.0
Bladder,bladder cell,Regulation Of Lipid Metabolic Process (GO:0019216),-1.3326400868986588,1.0
Bladder,bladder cell,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),1.3317270387836964,0.8899189811644618
Bladder,bladder cell,Vascular Transport (GO:0010232),-1.3302992131867022,1.0
Bladder,bladder cell,Glycoprotein Biosynthetic Process (GO:0009101),1.328938283757343,0.8780467406908531
Bladder,bladder cell,protein-RNA Complex Assembly (GO:0022618),-1.328357917381681,1.0
Bladder,bladder cell,Mitotic Metaphase Plate Congression (GO:0007080),-1.3215713819114905,1.0
Bladder,bladder cell,Regulation Of Cellular Metabolic Process (GO:0031323),-1.3176210464717335,1.0
Bladder,bladder cell,Protein Localization To Nucleus (GO:0034504),-1.3168666179575812,1.0
Bladder,bladder cell,mRNA Splice Site Recognition (GO:0006376),-1.3149120701593555,1.0
Bladder,bladder cell,Anterograde Axonal Transport (GO:0008089),-1.31483499791793,1.0
Bladder,bladder cell,Positive Regulation Of Dephosphorylation (GO:0035306),1.3144286083337238,0.920910181638187
Bladder,bladder cell,Protein Tetramerization (GO:0051262),-1.3140565743291583,1.0
