NAME,NES_avg,pvalue,FDR
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS,4.48757825,0.010416667,0.031213986
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,3.89654095,0.39544514,0.5494054
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,3.78319285,0.0,0.0
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,3.7061201500000003,0.0,0.0
GOBP_SENSORY_SYSTEM_DEVELOPMENT,3.401061,0.0,0.0
GOBP_CILIUM_ORGANIZATION,2.8822891999999998,0.0,0.0011681669
GOBP_EPIDERMAL_CELL_DIFFERENTIATION,2.880926,0.0,0.0043885848
GOBP_FOREBRAIN_DEVELOPMENT,2.84267345,0.0,0.0043089064
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,2.8263686999999997,0.0,0.0011200624
GOBP_SMOOTHENED_SIGNALING_PATHWAY,2.7331700000000003,0.0,0.0026252756
GOBP_TELENCEPHALON_DEVELOPMENT,2.66830255,0.0,0.003309265
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT,2.6582967,0.01622718,0.10983406
GOBP_EPIDERMIS_DEVELOPMENT,2.57434765,0.014861995,0.0787909
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,2.56604515,0.0,0.003985449
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,2.5588257,0.056420233,0.21482183
GOBP_NEURON_PROJECTION_GUIDANCE,2.53081615,0.0,0.02822018
GOBP_MESENCHYME_DEVELOPMENT,2.5165484,0.0,0.0059579457
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,2.5096420999999998,0.0020283975,0.028189862
GOBP_MICROTUBULE_BASED_MOVEMENT,2.4763533,0.030364372,0.10708867
GOBP_PALLIUM_DEVELOPMENT,2.4515452,0.0,0.006865895
GOBP_NEURAL_TUBE_DEVELOPMENT,2.44078765,0.024621213,0.14691009
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,2.4210241,0.028455285,0.20579892
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,2.40704355,0.01443299,0.050282598
GOBP_NEURON_MIGRATION,2.3994720000000003,0.0019230769,0.06554888
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,2.39772025,0.0039138943,0.059326027
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,2.38232905,0.23564357,0.48903295
GOBP_CELL_CELL_JUNCTION_ASSEMBLY,2.3771806,0.15625,0.40288946
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,2.36180845,0.042510122,0.22116287
GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,2.35759965,0.0,0.012319315
GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE,2.3542578,0.0,0.011471686
GOBP_SYNAPSE_ASSEMBLY,2.32791425,0.0,0.0141546745
GOBP_MECHANORECEPTOR_DIFFERENTIATION,2.32316855,0.05204461,0.2548187
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT,2.3137252999999998,0.031055901,0.107141696
GOBP_EYE_MORPHOGENESIS,2.28283115,0.003921569,0.042982984
GOBP_HAIR_CELL_DIFFERENTIATION,2.26181435,0.057142857,0.26125723
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,2.26083415,0.009708738,0.12133208
GOBP_POSTSYNAPSE_ORGANIZATION,2.2522257999999997,0.09306931,0.29790986
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION,2.23689305,0.0021141649,0.04196678
GOBP_OSSIFICATION,2.23652395,0.009310987,0.052983847
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,2.20664915,0.001980198,0.031466983
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE,2.1948175500000002,0.026052104,0.17798652
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,2.19440695,0.005769231,0.05404629
GOBP_SENSORY_ORGAN_MORPHOGENESIS,2.17351145,0.02173913,0.16340354
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,2.1656304,0.04897959,0.20402773
GOBP_PITUITARY_GLAND_DEVELOPMENT,2.1653628,0.028455285,0.116727956
GOBP_SPROUTING_ANGIOGENESIS,2.16497215,0.08316832,0.30985704
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,2.15527345,0.006355932,0.032453015
GOBP_COMPLEMENT_ACTIVATION,2.1546556,0.089613035,0.20252833
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,2.1385307,0.020661157,0.17489964
GOBP_NON_MOTILE_CILIUM_ASSEMBLY,2.13661005,0.045908183,0.2109303
GOBP_RESPONSE_TO_BMP,2.12606605,0.014799154,0.06365028
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION,2.1205102,0.004140787,0.05425427
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,2.10709775,0.005976096,0.07418185
GOBP_REGULATION_OF_CELL_MORPHOGENESIS,2.09657775,0.0040983604,0.038795523
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION,2.0940402,0.003992016,0.071038686
GOBP_RENAL_TUBULE_DEVELOPMENT,2.08984185,0.10245901,0.21416803
GOBP_CAMERA_TYPE_EYE_MORPHOGENESIS,2.0872402,0.01632653,0.041501522
GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT,2.0649462499999998,0.052083332,0.17437588
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,2.0447742,0.001992032,0.08530922
GOBP_NERVE_DEVELOPMENT,2.03816225,0.044265594,0.2384175
GOBP_PATTERN_SPECIFICATION_PROCESS,2.03516635,0.006060606,0.049534913
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION,2.02700025,0.010416667,0.11896675
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,2.01233065,0.15028901,0.38411012
GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,2.0053952500000003,0.33398438,0.59693646
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,2.0019502,0.10344828,0.33056772
GOBP_HYPOTHALAMUS_DEVELOPMENT,1.9973218999999998,0.032258064,0.11534647
GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION,1.9925068000000001,0.054166667,0.1261638
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,1.9906108,0.007677543,0.10409138
GOBP_ADHERENS_JUNCTION_ORGANIZATION,1.98869435,0.03065134,0.1612257
GOBP_DIENCEPHALON_DEVELOPMENT,1.9859680000000002,0.051975053,0.14290354
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,1.9822812,0.043650795,0.2506327
GOBP_RENAL_TUBULE_MORPHOGENESIS,1.9688396,0.09533074,0.22995415
GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,1.9685932,0.06530612,0.26115385
GOBP_FOREBRAIN_CELL_MIGRATION,1.96531315,0.013513514,0.16268139
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION,1.9603624499999999,0.018442623,0.12174533
GOBP_FAT_CELL_DIFFERENTIATION,1.9581707000000002,0.18867925,0.46848637
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY,1.95775765,0.016393442,0.14103214
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,1.95615235,0.010373444,0.10690286
GOBP_CELL_JUNCTION_MAINTENANCE,1.955521085,0.47600767,0.68896824
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,1.9492357999999999,0.08695652,0.21139774
GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS,1.9473639,0.3836478,0.6322501
GOBP_REFLEX,1.9417133,0.016032064,0.14910775
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,1.9410024,0.009652509,0.11912412
GOBP_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,1.9383439,0.015873017,0.117147766
GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE,1.9374066,0.17159763,0.42228842
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM,1.93056595,0.080078125,0.26570478
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,1.9291488,0.007751938,0.08759503
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,1.9221468000000002,0.1010101,0.32924083
GOBP_ACTION_POTENTIAL,1.9194323,0.053892214,0.23524675
GOBP_OSTEOBLAST_DIFFERENTIATION,1.9149101000000002,0.015748031,0.08343868
GOBP_ORGAN_GROWTH,1.91428565,0.055776894,0.15937352
GOBP_NEURAL_TUBE_PATTERNING,1.9142098,0.009633912,0.10439112
GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT,1.91001295,0.095634095,0.32220593
GOBP_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE,1.90829765,0.068686865,0.1987273
GOBP_FEMALE_SEX_DIFFERENTIATION,1.90133445,0.084337346,0.20212476
GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION,1.8992824000000001,0.121212125,0.3865478
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE,1.8949615499999999,0.18934911,0.44508523
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,1.8942847500000002,0.024242423,0.14525716
GOBP_SPECIFICATION_OF_SYMMETRY,1.89140155,0.029598309,0.13826464
GOBP_MULTICELLULAR_ORGANISM_GROWTH,1.89074025,0.03168317,0.19567285
GOBP_MYOBLAST_FUSION,1.8899110000000001,0.029354207,0.1777477
GOBP_NEPHRON_DEVELOPMENT,1.8888601500000002,0.03253796,0.14353007
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,1.883543,0.18058252,0.4450759
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION,1.8801805,0.107279696,0.32986635
GOBP_EPITHELIAL_CELL_PROLIFERATION,1.87154235,0.10139165,0.33622438
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT,1.86262265,0.11111111,0.24480139
GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,1.86168315,0.05,0.1505608
GOBP_EAR_DEVELOPMENT,1.86001185,0.118367344,0.3542728
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,1.8594228,0.034907598,0.20586525
GOBP_NEURON_MATURATION,1.85734955,0.03773585,0.20599794
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,1.8560135,0.09185804,0.33007255
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,1.8555087,0.51209676,0.6625763
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,1.85133795,0.077844314,0.30898577
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,1.8494844000000001,0.022857143,0.08916179
GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT,1.84337565,0.026530612,0.17556186
GOBP_REGULATION_OF_VESICLE_FUSION,1.8399595,0.01446281,0.1211818
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS,1.83929265,0.028056113,0.20053665
GOBP_CRANIAL_NERVE_DEVELOPMENT,1.8358756,0.24561404,0.5001708
GOBP_BONE_DEVELOPMENT,1.8333754,0.026415095,0.120106235
GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,1.8333111,0.013752456,0.09613013
GOBP_CARTILAGE_DEVELOPMENT,1.8321091999999999,0.15040651,0.30358168
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,1.8318555,0.09018036,0.29827332
GOBP_ENDOCARDIAL_CUSHION_FORMATION,1.82946975,0.026,0.18320969
GOBP_ENDOCARDIAL_CUSHION_MORPHOGENESIS,1.82566605,0.06412826,0.24882841
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,1.8245915,0.2,0.46169546
GOBP_REGULATION_OF_BEHAVIOR,1.8209439500000002,0.32591093,0.4741509
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,1.81899375,0.24485597,0.50997806
GOBP_NEURON_REMODELING,1.8172473500000002,0.13306452,0.37760863
GOBP_TRANSMISSION_OF_NERVE_IMPULSE,1.81521715,0.05075188,0.24959682
GOBP_ANIMAL_ORGAN_FORMATION,1.81404025,0.040650405,0.15941575
GOBP_DEVELOPMENT_OF_PRIMARY_FEMALE_SEXUAL_CHARACTERISTICS,1.80975165,0.055343512,0.19034348
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,1.8092907999999999,0.07860262,0.2100871
GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,1.80841035,0.06958251,0.1895325
GOBP_LOCOMOTORY_BEHAVIOR,1.8072932000000002,0.037475344,0.10983569
GOBP_OVULATION_CYCLE,1.805249035,0.42964354,0.5798072
GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS,1.8004978999999999,0.06370656,0.16627976
GOBP_NEGATIVE_REGULATION_OF_SECRETION,1.7984885,0.21063395,0.4855458
GOBP_INNERVATION,1.79770395,0.15498939,0.41174215
GOBP_NEURAL_TUBE_FORMATION,1.79161475,0.21802935,0.4837537
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS,1.7910326,0.06370656,0.25059724
GOBP_BONE_MINERALIZATION,1.78999925,0.025948104,0.22310203
GOBP_EPHRIN_RECEPTOR_SIGNALING_PATHWAY,1.7879144349999998,0.48162475,0.68325883
GOBP_REGULATION_OF_ANIMAL_ORGAN_FORMATION,1.7863984,0.1003937,0.23931319
GOBP_PRESYNAPSE_ORGANIZATION,1.78121245,0.14859438,0.40385416
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,1.7804175,0.47890297,0.69439393
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,1.78033535,0.039583333,0.19348352
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,1.7738893500000001,0.046,0.15483649
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,1.773717,0.0375,0.11378721
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,1.7676508499999999,0.08928572,0.20853177
GOBP_EMBRYONIC_BRAIN_DEVELOPMENT,1.7632181,0.23425196,0.396628
GOBP_NUCLEAR_TRANSPORT,1.7631752499999997,0.15169661,0.40874097
GOBP_NEURON_PROJECTION_EXTENSION,1.763083,0.12007874,0.274473
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT,1.7622254499999999,0.040899795,0.13854598
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,1.75905875,0.11857708,0.25521195
GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT,1.758984525,0.72440946,0.8640735
GOBP_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY,1.75614315,0.14478764,0.3954748
GOBP_CARDIAC_SEPTUM_MORPHOGENESIS,1.7552876,0.023715414,0.11759128
GOBP_D_GLUCOSE_IMPORT,1.75299005,0.022088353,0.17706615
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,1.75045135,0.035928145,0.1211402
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS,1.7503459499999998,0.2417154,0.48784602
GOBP_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,1.7488003500000002,0.07910751,0.3171349
GOBP_REGULATION_OF_NEUROGENESIS,1.7469424500000001,0.16496944,0.41485423
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,1.7447153499999999,0.26984128,0.5177594
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE,1.7433178,0.04347826,0.14994144
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,1.741551,0.07003891,0.20095237
GOBP_BLOOD_VESSEL_REMODELING,1.73925625,0.13373253,0.38966545
GOBP_INCLUSION_BODY_ASSEMBLY,1.7391317499999999,0.21346153,0.47912726
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,1.737651,0.042,0.15982045
GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE,1.7357685,0.024193548,0.1613556
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,1.7357133,0.03258656,0.12681803
GOBP_POSITIVE_REGULATION_OF_BEHAVIOR,1.7354673,0.26584867,0.4246954
GOBP_RHYTHMIC_PROCESS,1.7347407499999998,0.41568628,0.561207
GOBP_NEUROTRANSMITTER_SECRETION,1.73441725,0.16666667,0.42830598
GOBP_POSITIVE_REGULATION_OF_CIRCADIAN_RHYTHM,1.7342534,0.09451796,0.21004009
GOBP_POSITIVE_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION,1.73308935,0.05597015,0.2543403
GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY,1.7305291999999999,0.052313883,0.24840759
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,1.7302885000000001,0.10547667,0.330873
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,1.7282472,0.031067962,0.19364257
GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION,1.7280967500000002,0.25742576,0.5202241
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,1.7274667,0.19222903,0.41739318
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,1.7261887,0.075728156,0.21505882
GOBP_METANEPHRIC_GLOMERULUS_DEVELOPMENT,1.7253604,0.06846473,0.26304996
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND,1.7231299,0.1026694,0.3289327
GOBP_DEVELOPMENTAL_MATURATION,1.7190512500000001,0.026915114,0.18037929
GOBP_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,1.7180612,0.08216433,0.31895795
GOBP_POSITIVE_REGULATION_OF_VESICLE_FUSION,1.71642475,0.046938777,0.19592813
GOBP_ORGAN_INDUCTION,1.71608115,0.10119048,0.24188781
GOBP_PRESYNAPSE_ASSEMBLY,1.7147147,0.0503876,0.25027707
GOBP_NEGATIVE_CHEMOTAXIS,1.71291585,0.14313726,0.27934635
GOBP_TRNA_WOBBLE_BASE_MODIFICATION,1.71141725,0.039772727,0.23665921
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,1.7025238,0.029821074,0.17841604
GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS,1.6997219499999998,0.15120968,0.40530685
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,1.6995458,0.02504817,0.16293105
GOBP_MICROTUBULE_BASED_TRANSPORT,1.69850925,0.036734693,0.20549026
GOBP_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT,1.6978409,0.3305785,0.49350777
GOBP_HIPPO_SIGNALING,1.6948717,0.10546875,0.3354955
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,1.6931615,0.5883534,0.7734612
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS,1.69095575,0.28225806,0.5648768
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC,1.68782435,0.05154639,0.1662959
GOBP_HINDBRAIN_DEVELOPMENT,1.6876969000000002,0.23014256,0.48840898
GOBP_AXON_EXTENSION,1.6873315500000001,0.05078125,0.15332238
GOBP_STRIATED_MUSCLE_CELL_PROLIFERATION,1.6851915,0.085365854,0.29888317
GOBP_SYNCYTIUM_FORMATION,1.6846183,0.032629557,0.21067269
GOBP_NEURAL_RETINA_DEVELOPMENT,1.6817912000000002,0.032520324,0.17893666
GOBP_HEART_MORPHOGENESIS,1.68009605,0.017374517,0.19397417
GOBP_RETINA_HOMEOSTASIS,1.67893355,0.62909836,0.8105858
GOBP_MESONEPHROS_DEVELOPMENT,1.6770325000000001,0.30452675,0.46783143
GOBP_AXIS_SPECIFICATION,1.67159635,0.046783626,0.15250161
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION,1.67117175,0.05639098,0.23959148
GOBP_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,1.6695459000000001,0.03269231,0.20693992
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,1.667244625,0.5841393,0.7590717
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY,1.66695965,0.04133858,0.18196255
GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION,1.6661074999999999,0.040860213,0.15572834
GOBP_HINDBRAIN_MORPHOGENESIS,1.6646646,0.34268537,0.6044011
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT,1.6636058,0.103658535,0.3270243
GOBP_ACROSOME_REACTION,1.6626012000000001,0.38133875,0.5254274
GOBP_ENDOCARDIAL_CUSHION_DEVELOPMENT,1.66110695,0.14426878,0.39625308
GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,1.6596289,0.0703125,0.21503876
GOBP_OUTFLOW_TRACT_MORPHOGENESIS,1.65690695,0.044354837,0.21474758
GOBP_ROOF_OF_MOUTH_DEVELOPMENT,1.6568277999999999,0.27044025,0.53714204
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION,1.6554070749999998,0.6106557,0.7861568
GOBP_SEX_DIFFERENTIATION,1.65196765,0.09542744,0.22845836
GOBP_NEUROTRANSMITTER_TRANSPORT,1.6509407999999999,0.29783037,0.5592951
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT,1.650056225,0.62124246,0.7821517
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS,1.6467128500000001,0.033864543,0.19422974
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT,1.6465779500000002,0.28985506,0.55817604
GOBP_ARTERY_DEVELOPMENT,1.6457907,0.4260355,0.6547844
GOBP_LIMBIC_SYSTEM_DEVELOPMENT,1.6450968000000001,0.14046122,0.37866357
GOBP_EMBRYONIC_HEART_TUBE_DEVELOPMENT,1.64439915,0.22064777,0.46197337
GOBP_PARAXIAL_MESODERM_DEVELOPMENT,1.64341035,0.07157464,0.2349211
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION,1.6433806999999998,0.08924949,0.21025608
GOBP_CARDIAC_SEPTUM_DEVELOPMENT,1.64043675,0.14015152,0.38449958
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY,1.6380686,0.12681913,0.27423084
GOBP_REGULATION_OF_CILIUM_MOVEMENT,1.6364539999999999,0.71370965,0.7749024
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT,1.6358665499999998,0.043659043,0.2404111
GOBP_FOREBRAIN_NEURON_DEVELOPMENT,1.6341376,0.0390625,0.17981212
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,1.6327598499999998,0.86888456,0.92450386
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT,1.6319766,0.032258064,0.22249538
GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,1.63157195,0.06300813,0.26642305
GOBP_SPERMATID_DIFFERENTIATION,1.6279188,0.9087221,0.91592914
GOBP_REGULATION_OF_ENDOCYTOSIS,1.62697475,0.06311637,0.27401528
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,1.6259457999999998,0.2752475,0.54814243
GOBP_MITOTIC_RECOMBINATION,1.6227057,0.15322581,0.29072848
GOBP_LUNG_ALVEOLUS_DEVELOPMENT,1.6223964,0.33973128,0.4679705
GOBP_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS,1.6211958000000002,0.034416825,0.21370305
GOBP_LUNG_MORPHOGENESIS,1.62087175,0.054325957,0.22570837
GOBP_KIDNEY_MORPHOGENESIS,1.61939145,0.12645914,0.27659214
GOBP_MESENCHYME_MORPHOGENESIS,1.6177538999999999,0.034042552,0.20252462
GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION,1.6176716299999998,0.49704143,0.7016262
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,1.6130536,0.27450982,0.5397988
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,1.6129866,0.3273453,0.59012735
GOBP_HOMOLOGOUS_RECOMBINATION,1.6129597,0.17515275,0.33305743
GOBP_PHAGOCYTOSIS_RECOGNITION,1.6126588,0.054655872,0.2506943
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,1.61209055,0.053784862,0.1915914
GOBP_REGULATION_OF_CELL_SHAPE,1.6112140000000001,0.5,0.7019359
GOBP_SYNAPTIC_VESICLE_CLUSTERING,1.609108,0.19291338,0.4452056
GOBP_NEURON_RECOGNITION,1.6063601,0.0882353,0.30038172
GOBP_EMBRYONIC_HINDLIMB_MORPHOGENESIS,1.6043756500000002,0.13163064,0.25627154
GOBP_HEART_FORMATION,1.6018757,0.06092437,0.19296889
