NAME,NES,pvalue,FDR
GOBP_DETECTION_OF_CHEMICAL_STIMULUS,7.095815,0.0,0.0
GOBP_DETECTION_OF_STIMULUS,6.167133,0.0,0.0
GOBP_CILIUM_MOVEMENT,4.6406255,0.0,0.0
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,4.141001,0.0,0.0
GOBP_SKIN_DEVELOPMENT,3.6855874,0.0,0.0
GOBP_AXONEME_ASSEMBLY,3.6634438,0.0,0.0
GOBP_KERATINIZATION,3.4182992,0.0,0.0
GOBP_CYTOPLASMIC_TRANSLATION,3.4039452,0.0,0.0
GOBP_KERATINOCYTE_DIFFERENTIATION,3.289684,0.0,0.0
GOBP_MICROTUBULE_BUNDLE_FORMATION,3.0735092,0.0,0.00015957719
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,2.8644667,0.0,0.0006498422
GOBP_DENDRITE_EXTENSION,2.7027636,0.001980198,0.0020895556
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,2.6623647,0.0,0.0026802744
GOBP_METANEPHROS_DEVELOPMENT,2.641704,0.0,0.0030376338
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,2.4747076,0.0,0.007845415
GOBP_RIBOSOME_BIOGENESIS,2.4118173,0.0,0.010570405
GOBP_RENAL_SYSTEM_DEVELOPMENT,2.4033117,0.002096436,0.010929416
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY,2.3873513,0.0,0.011804276
GOBP_MELANOCYTE_DIFFERENTIATION,2.3107672,0.0,0.016826736
GOBP_GAS_TRANSPORT,2.2564955,0.0020533882,0.02258545
GOBP_RRNA_METABOLIC_PROCESS,2.2345257,0.0019305019,0.025157783
GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,2.207849,0.0,0.029283864
GOBP_ZYMOGEN_ACTIVATION,2.2023053,0.0,0.029926939
GOBP_RRNA_PROCESSING,2.1755526,0.0,0.03318621
GOBP_REGULATION_OF_CELL_MATURATION,2.1750026,0.0,0.03290839
GOBP_SINGLE_FERTILIZATION,2.1460333,0.002,0.037526406
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT,2.1315455,0.003929273,0.03921406
GOBP_FERTILIZATION,2.120956,0.0019455253,0.041683853
GOBP_AMMONIUM_ION_METABOLIC_PROCESS,2.1017478,0.0038022813,0.044575267
GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT,2.0958993,0.003976143,0.045832485
GOBP_POTASSIUM_ION_TRANSPORT,2.094337,0.002020202,0.045413084
GOBP_MUSCLE_CELL_MIGRATION,2.0491621,0.0019723866,0.056607656
GOBP_CELLULAR_RESPONSE_TO_METAL_ION,2.0412118,0.0041067763,0.05770276
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,2.0375974,0.004166667,0.05863959
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,2.0230446,0.0,0.06246124
GOBP_FIBRINOLYSIS,2.0216773,0.002020202,0.061435394
GOBP_FEAR_RESPONSE,2.020971,0.005988024,0.061275333
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,2.0181623,0.00203666,0.0617921
GOBP_PLASMINOGEN_ACTIVATION,1.9872869,0.001992032,0.07117206
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,1.9832461,0.014,0.07069703
GOBP_SODIUM_ION_TRANSPORT,1.9710357,0.0102459015,0.07423941
GOBP_STEROID_CATABOLIC_PROCESS,1.9299542,0.010504202,0.08872937
GOBP_UTERUS_DEVELOPMENT,1.913532,0.004016064,0.09276914
GOBP_SPERM_CAPACITATION,1.9015552,0.005859375,0.09768534
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,1.8837283,0.013487476,0.10425883
GOBP_DETECTION_OF_LIGHT_STIMULUS,1.8559908,0.014084507,0.11103261
