__mclCluster,EnrichmentMap::-log10(pvalue) (non_human_up),EnrichmentMap::-log10(pvalue)*sign(NES) (non_human_up),EnrichmentMap::-log10(pvalue)_max,EnrichmentMap::Colouring (non_human_up),EnrichmentMap::ES (non_human_up),EnrichmentMap::fdr_qvalue (non_human_up),EnrichmentMap::fwer_qvalue (non_human_up),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (non_human_up),EnrichmentMap::pvalue (non_human_up),name,selected,shared name
1,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,CCR6|CFAP206|SPEM3|TSSK4|CFAP45|CLXN|DRC1|BBS4|IQCF1|IRGC|IQUB|RSPH4A|PGAM4|CEP131|ROPN1B|CFAP221|CFAP54|DEFB1|DNAH9|SPAG16|TLE6|DZIP1|EPPIN|CFAP126|CFAP161|DNAAF2|CFAP46|HOATZ|LRRC23|SPACA9|UBE2B|KLC3|TEKT1|TEKT4|TEKT5|TACR2|DNAI3|PLA2G3|TUBA1A|DYNC2H1|CCDC159|CEP128|CFAP119|CFAP157|CFAP47|CFAP53|TAC4|CFAP57|RNASE10|CFAP61|CFAP65|CFAP97D1|DNAH1|CABS1|DNAI1|DNALI1|CFAP107|DNHD1|CFAP141|DRC7|CFAP144|MEIG1|CFAP210|TTC12|CFAP251|TTLL5|CFAP276|SEMG1|ZMYND12|CFAP68|SEMG2|CFAP77|CFAP90|CFAP95|CIMAP1A|CIMIP2A|PACRG|CIMIP2C|DNAH10|BBOF1|DNAH14|BBS1|DNAH3|BBS2|DNAH6|TAC1|EFCAB6|GARIN2|CCDC39|KIF9|RIBC1|RIBC2|SAXO4|SPMIP10|SPMIP11|SPMIP6|SPMIP8|TEKTIP1|TEKTL1|TTLL9|GAS2L2|INTS13|ARMC2|CCDC146|ING2|CFAP43|CFAP44|DNAH5|DPCD|TSSK6|SLC22A14|RSPH6A|CATSPER1|CATSPER2|CATSPER3|CATSPER4|SEPTIN4|ARMC12|PRSS55|TEX101|DDX4|APOB|PRDM14|TACR1|CFAP20|TPPP2|ARMC3|EFHC1|ATP1A4|CELF3|TTLL3|TTLL6|TTLL8|CATSPERD|CATSPERE|EFHB|EFCAB9|CFAP69|ATP2B4|SLIRP|VDAC3|CEP78|RFX3|ADAM7|PLTP|AKAP3|CFAP58|IFT81|SPEF2|MKKS|TTC21A|CCDC38|SLC9B1|SLC9B2|TTLL1|SLC9C1|DNAAF6|DNAH2|DNAH7|TEKT2|LZTFL1|GARIN3|KIAA0319L|PDCL2|PIERCE1|PFN4|CCNYL1|TPGS1|ROPN1|ROPN1L|POC1B|ASH1L|CCDC40|NEURL1|SMCP|TEKT3|VPS13A|YIF1B|CATSPERZ|QRICH2|TUBB4B|SORD|TMEM232|EFHC2|CFAP52|ENKUR|MNS1|PIERCE2|ODAD3|LDHC|TMF1|NME7|RSPH9|TBC1D21|SPAG6|SPAG8|LRRC46|NME8|DNAH17|DNAH8|INPP5B|NPHP4|DNAH11|TAC3|TACR3|SLC22A16|ADCY3|GAPDHS|DNAAF11|FSIP2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,210,ENR,GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,1,0,GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,FALSE,GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY
3,2.71432976660709,2.71432976660709,2.71432976660709,1,,1.0570405E-2,,RPS28|RPS5|RPS6|NAF1|RPSA2|NAT10|ZNHIT3|ZNHIT6|EFL1|RPS13|RPUSD4|RRP1B|HEATR3|DDX56|DHX37|SART1|NVL|EIF1AX|EIF2A|LSG1|EIF5B|LTV1|NUDT16|SDE2|MDN1|RAN|NMD3|NOP9|NUP88|RPS15|SDAD1|GRWD1|NIP7|ISG20|DROSHA|RPS23|FAU|VCX|SNU13|RPSA|XRCC5|RPS7|RRN3|UTP25|RPL11|DDX49|DIS3|NOP53|WBP11|ERI1|LYAR|EXOSC1|RRP7A|EXOSC4|EXOSC5|FBLL1|GTF2H5|BUD23|DIMT1|EMG1|MRTO4|FBL|FDXACB1|EXOSC2|FTSJ3|EXOSC7|EXOSC8|METTL15|NSUN4|EXOSC9|METTL25B|METTL5|MRM1|MRM3|NSUN5|RPUSD1|SPOUT1|TSR3|ZCCHC4|AATF|ABCF1|AFG2A|AIRIM|BMS1|BYSL|REXO4|C1D|XPO1|CHD7|DDX10|DDX18|DDX27|DDX31|DDX51|DDX52|DDX54|DNTTIP2|EBNA1BP2|ESF1|MPV17L|FCF1|GNL2|GREB1L|MYG1|RPS19|GTF3A|GTPBP10|MYBBP1A|HEATR1|CDKN2A|IMP3|IMP4|ISG20L2|POP4|KRI1|POP5|RIOK3|KRR1|POP7|LAS1L|SBDS|MAK16|METTL18|CUL4A|MPHOSPH6|NGDN|NLE1|NOB1|WDR43|NOC4L|NOL10|NOA1|NOL11|NOL6|NOL7|RPP25|NOL8|RNASEL|NOL9|RPP30|NOLC1|RPP38|NOM1|RPP40|NOP14|GAR1|NOP16|NOP56|RPUSD2|LTO1|NOP58|NHP2|NPM3|RIOK2|NOP10|NSA2|PA2G4|PAK1IP1|PDCD11|PELP1|PES1|PIN4|PNO1|PPAN|TENT4B|PWP1|RPL24|RBFA|C1QBP|RBIS|RBM34|TRMT112|USP16|RCL1|TRMT61B|REXO1|AFG2B|REXO5|TRMT2B|RIOK1|RIOX2|RPF1|XRN2|RPL14|RPL26|RPL26L1|RPL27|RPL35|RPL35A|RPL7|RPL7A|RPL7L1|RPLP0|RPS11|RPS12|RPS16|RPS17|RPS19BP1|RPS21|RPS24|RPS25|DDX21|RPS27A|RPS3A|RPS4X|RPS8|RPS9|RRP1|RRP15|SIRT7|RRP36|RRP8|RRP9|RSL24D1|SLX9|SRFBP1|SURF6|TBL3|TMA16|TSR1|TSR2|DDX17|URB1|URB2|YTHDF2|UTP11|UTP14A|UTP15|UTP18|UTP20|UTP23|DDX47|PRKDC|UTP3|UTP4|UTP6|WDR12|WDR3|NOC2L|WDR36|GLUL|WDR46|WDR55|WDR74|WDR75|YBEY|CUL4B|ZNF593|ZNF622|EIF4A3|ZNF658|EXOSC10|FRG1|GEMIN4|SUV39H1|RRS1|RPS27L|DDX3X|FASTKD2|KAT2B|MALSU1|MPV17L2|MCAT|LSM6|METTL16|MPHOSPH10|MTREX|NPM1|DKC1|ERCC2|EXOSC3|EXOSC6|MRPS2|RPS15A|USP36|GNL3L|GTPBP4|MRPS7|DCAF13|MTG1|MTG2|CINP|NGRN|NSUN3|ABT1|BOP1|RBM10|BRIX1|DDX28|RCC1L|DHX29|DHX30|EIF6|EIF5|ERAL1|METTL17|MRM2|MTERF3|MTERF4|NOP2|PIH1D1|PIH1D2|PWP2|RPF2|RPL38|AK6|RPL5|TFB1M|RPS14|TFB2M|WDR18|RPS27,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RIBOSOME_BIOGENESIS,312,ENR,GOBP_RIBOSOME_BIOGENESIS,1,0,GOBP_RIBOSOME_BIOGENESIS,FALSE,GOBP_RIBOSOME_BIOGENESIS
,2.7050079566407099,2.7050079566407099,2.7050079566407099,0.99802761340000001,,5.6607655999999999E-2,,BMP4|THBS4|ITGA2|CCL5|SIX1|CCN3|GNA12|FGF9|DOCK7|ITGB3|PLXNA1|DOCK5|CORO1B|ITGB1BP1|BIN3|TCP11L2|PDGFRB|DDIT3|PLEKHO1|IGFBP5|PDGFA|PDGFB|MEF2C|MDK|ADAMTS1|BMPR1A|GRB10|PPARD|TRIB1|CRK|AAMP|IGF1|MSTN|PAK1|S100A11|NFE2L2|GSTP1|SSH1|MEGF10|NF1|SIX4|TERT|MYOCD|PDGFD|MDM2|SMO|LRP1|SEMA6D|DDR2|XBP1|NRP1|TLR4|CCN4|FAT1|FOXO4|NDRG4|PLAT|PLAU|IGFBP3|NET1|PTPN1|PRKG1|SORL1|ADIPOQ|ROCK1|DDR1|AIF1|ACE|DOCK4|AKIRIN1|BCL2|NR4A3|ANXA1|MAP3K7|LPAR1|PARVA|SERPINE1|POSTN|SLIT2|VTN|TPM1|ABHD2|HAS2|TACR1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MUSCLE_CELL_MIGRATION,84,ENR,GOBP_MUSCLE_CELL_MIGRATION,1,1.9723865999999998E-3,GOBP_MUSCLE_CELL_MIGRATION,FALSE,GOBP_MUSCLE_CELL_MIGRATION
9,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.0376337999999999E-3,,BMP4|MYC|CALB1|LIF|CITED1|SIX1|UMOD|GLI3|HOXC11|GDF11|CD34|LGR4|TCF21|ITGA8|WT1|PDGFRB|RDH10|WNT9B|PDGFA|FOXD1|PDGFB|FRAS1|PKD1|EGR1|GDNF|OSR2|NKX3-1|SPRY1|CTNNB1|AQP1|KIF26B|HES1|HOXA11|HES5|HNF1B|LAMB2|NF1|SIX4|DLG5|SMAD4|SALL1|AKR1B1|SLC22A1|GPC3|IRX1|IRX2|SIX2|IRX3|SMO|WNT7B|AQP2|POU3F3|TFAP2B|PDGFRA|PTCH1|WWTR1|PAX2|GDF6|OSR1|PAX8|BASP1|YAP1|ID2|APH1A|PKD2|RET|ACAT1|ADIPOQ|AGTR2|ROBO2|GREB1L|LHX1|BCL2|SHH|SLC22A6|FOXJ1|ID3|FBN1|FOXC2|NIPBL|SOX17|BMP7|GREM1|EYA1|CTSH|NPHS2|WNT4|FGF10|FGF8|STAT1|SOX9|SOX8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_METANEPHROS_DEVELOPMENT,92,ENR,GOBP_METANEPHROS_DEVELOPMENT,1,0,GOBP_METANEPHROS_DEVELOPMENT,FALSE,GOBP_METANEPHROS_DEVELOPMENT
3,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.3186210000000001E-2,,RPS28|RPS6|NAF1|NAT10|ZNHIT3|ZNHIT6|RPUSD4|RRP1B|DDX56|DHX37|SART1|NVL|NUDT16|SDE2|NOP9|RPS15|ISG20|DROSHA|SNU13|RPS7|UTP25|RPL11|DDX49|DIS3|NOP53|WBP11|ERI1|LYAR|EXOSC1|RRP7A|EXOSC4|EXOSC5|FBLL1|GTF2H5|BUD23|DIMT1|EMG1|MRTO4|FBL|FDXACB1|EXOSC2|FTSJ3|EXOSC7|EXOSC8|METTL15|NSUN4|EXOSC9|METTL25B|METTL5|MRM1|MRM3|NSUN5|RPUSD1|SPOUT1|TSR3|ZCCHC4|BMS1|BYSL|REXO4|C1D|CHD7|DDX10|DDX18|DDX27|DDX51|DDX52|DDX54|EBNA1BP2|ESF1|FCF1|MYG1|RPS19|HEATR1|CDKN2A|IMP3|IMP4|POP4|KRI1|POP5|RIOK3|KRR1|POP7|LAS1L|SBDS|MAK16|METTL18|MPHOSPH6|NGDN|NOB1|WDR43|NOC4L|NOL10|NOL11|NOL6|NOL7|RPP25|NOL8|RNASEL|NOL9|RPP30|NOLC1|RPP38|RPP40|NOP14|GAR1|NOP56|RPUSD2|NOP58|NHP2|NPM3|RIOK2|NOP10|NSA2|PA2G4|PAK1IP1|PDCD11|PELP1|PES1|PIN4|PPAN|TENT4B|PWP1|RBFA|RBM34|TRMT112|RCL1|TRMT61B|REXO1|REXO5|TRMT2B|RIOK1|RPF1|XRN2|RPL14|RPL26|RPL27|RPL35|RPL35A|RPL7|RPL7A|RPL7L1|RPS16|RPS17|RPS21|RPS24|RPS25|DDX21|RPS8|RRP1|RRP15|SIRT7|RRP36|RRP8|RRP9|SLX9|SRFBP1|TBL3|TSR1|TSR2|DDX17|URB1|YTHDF2|UTP11|UTP14A|UTP15|UTP18|UTP20|UTP23|DDX47|PRKDC|UTP3|UTP4|UTP6|WDR12|WDR3|WDR36|WDR46|WDR55|WDR74|WDR75|YBEY|EIF4A3|EXOSC10|FRG1|GEMIN4|SUV39H1|RRS1|KAT2B|LSM6|METTL16|MPHOSPH10|MTREX|DKC1|ERCC2|EXOSC3|EXOSC6|USP36|GTPBP4|DCAF13|NSUN3|ABT1|BOP1|BRIX1|EIF6|MRM2|MTERF4|NOP2|PIH1D1|PIH1D2|PWP2|RPF2|AK6|RPL5|TFB1M|RPS14|TFB2M|WDR18|RPS27,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RRNA_PROCESSING,218,ENR,GOBP_RRNA_PROCESSING,1,0,GOBP_RRNA_PROCESSING,FALSE,GOBP_RRNA_PROCESSING
4,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,TRIM16|CASP14|UGCG|VDR|CLDN1|PRKCH|RIPK4|LDB2|LSR|COL5A2|KRT16|DSP|KRT2|NSDHL|FZD3|ELOVL1|ALX4|ATP7A|JUP|DSC1|KRT3|IRF6|KRT4|PDGFA|LAMA5|PAX6|COL6A1|FRAS1|PKD1|KRT6C|HDAC1|KRT7|KRT72|KRT73|PSEN1|KRT74|KRT77|RBPJ|KRT78|KRT79|KRT80|KRT81|KRT82|KRT85|KRT86|ITGB6|KRT9|EPHA2|EVPL|KRT10|TCHH|KRT76|OVOL2|DKK4|GRHL1|KPRP|RYR1|SMO|FOXC1|STK4|SUFU|CLDN4|DLX3|COL1A1|AP3B1|FST|TXNIP|MACROH2A1|KDF1|PIP5K1A|COL5A3|KLK5|POU2F3|SRSF6|KRT6A|LCE3A|PLA2G10|ADAMTS2|STARD7|ZMPSTE24|BCL2|MACROH2A2|HOXC13|SAV1|PTCH2|FOXE1|PLAAT4|ALOX12|ALOX12B|TNFSF13B|ALOXE3|HOXA7|IL17A|ZFP36|ADAM9|FA2H|ETV4|ITGA2|KRT5|SPRR5|EXPH5|SCEL|SPINK5|ZBED2|ITGA3|ITGA6|CLIC4|FGFR2|GORAB|FOSL2|LATS1|LATS2|DNASE1L2|LGR4|WNT10B|FGF7|DKK1|SOX18|EZH2|APCDD1|NGFR|CNFN|SGPP1|WNT10A|KAZN|DACT2|LCE1C|LCE1E|IVL|LCE3D|LCE3E|KRT36|MYD88|SPRR2B|KRT84|SPRR2D|SPRR2F|SPRR2G|TNF|TRPC4AP|LDB1|NF1|MED1|SNAI1|GRHL2|PKP1|ST14|ASPRV1|WNT16|CDSN|MSX2|GBA1|ASCL4|CERS3|ROCK1|ITGB4|NSUN2|CDKN2A|REG3G|S100A7|SHH|RELA|LRP4|OPN3|PLEC|FLG|KRT17|PUM2|LORICRIN|MET|SPRR1A|SPRR1B|SPRR2E|TGM3|VANGL2|EGFR|NOM1|SOS1|KRT14|ZNF750|FGF10|ZDHHC21|SOSTDC1|TGFB2|LHX2|POU3F1|DLL1|ERRFI1|ZFP36L1|EDA|EDAR|SOX21|WNT5A|PPHLN1|IGFBP5|SFN|SHARPIN|CASP3|GAL|SLC39A7|HDAC3|PIAS4|TFAP2C|CDH3|SLITRK5|TNFRSF19|ATP8A2|DSG4|FOXN1|FOXQ1|KRT25|KRT27|KRT28|KRT83|FLG2|PKP3|CYSRT1|SRF|AQP3|TFAP2B|PALLD|HRNR|ABCB6|TMPRSS11F|SLC2A10|COL3A1|COMP|CSTA|OVOL1|MAFB|FZD6|LGR5|TGM1|WDR48|ALOX15B|FLNB|TP63|MYSM1|JAG1|ASH1L|KRT75|CD109|TMEM79|NUMA1|SLC27A4|ACVR1B|CYP26B1|EXTL3|FUZ|TRAF3IP2|CDKN1A|INTU|IL18|GNAS|CTNNB1|EXT1|IFT74|COL5A1|GRHL3|INHBA|MAP2K1|PPL|FERMT1|NME2|SPRR3|SLC39A2|KRT1|KRT6B|SMAD4|TSG101|HDAC2|ERCC2|EREG|NAGLU|GATA6|HPSE|ACER1|AHDC1|NOTCH1|ARRDC3|ABCA12|AKR1C3|STMN1|ASAH1|GLI2|YAP1|LTB|VPS33B|IL20|BCL11B|CYP27B1|ANXA1|COL1A2|FAM210B|TRADD|PPP3CA|BCR|NFKBIZ|KLF4|LIPK|LIPM|ROCK2|LIPN|NCOA3|SOX9|DHCR24|FOXI3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SKIN_DEVELOPMENT,307,ENR,GOBP_SKIN_DEVELOPMENT,1,0,GOBP_SKIN_DEVELOPMENT,FALSE,GOBP_SKIN_DEVELOPMENT
,2.71432976660709,2.71432976660709,2.71432976660709,1,,3.2908390000000003E-2,,BCL11A|ADAM7|MAP3K13|BNC1|PAEP|SHB|NGF|NPPC|WEE2|EDNRB|RAC1|TRIM58|RAC3|LRRK2|NPR2|TCP11|SIRT2|TMPRSS12|TBX6|AURKA|CLEC7A|BCL2|KIF14,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CELL_MATURATION,23,ENR,GOBP_REGULATION_OF_CELL_MATURATION,1,0,GOBP_REGULATION_OF_CELL_MATURATION,FALSE,GOBP_REGULATION_OF_CELL_MATURATION
,2.23214870625617,2.23214870625617,2.23214870625617,0.994140625,,9.7685339999999996E-2,,SEMG2|ADAM7|ROPN1|ROPN1L|CCR6|SLC22A14|CATSPER2|CATSPER3|IQCF1|SLC26A3|CATSPER4|TCP11|BSPH1|SPINK1|CABYR|CATSPERD|CATSPERZ|CATSPERE|EFCAB9|CFTR|ELSPBP1|ROPN1B|DEFB1|PAEP|PRKACA|PCSK4|SLC26A6|ABHD2|TMPRSS12|DLD|SEMG1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SPERM_CAPACITATION,31,ENR,GOBP_SPERM_CAPACITATION,1,5.859375E-3,GOBP_SPERM_CAPACITATION,FALSE,GOBP_SPERM_CAPACITATION
2,2.69460520327651,2.69460520327651,2.69460520327651,0.99797979800000003,,6.1435393999999997E-2,,THBS1|PLG|HRG|PLAT|PLAU|PROS1|CPB2|F11|ANXA2|F12|SERPINB2|FAP|FGG|SERPINE1|GP1BA|THBD|SERPING1|USF1|VTN|KLKB1|F2|SERPINF2|KRT1|FGA|FGB|PLAUR|APOH,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FIBRINOLYSIS,27,ENR,GOBP_FIBRINOLYSIS,1,2.020202E-3,GOBP_FIBRINOLYSIS,FALSE,GOBP_FIBRINOLYSIS
1,2.71432976660709,2.71432976660709,2.71432976660709,1,,0,,ODAD4|ADCY10|CCR6|CFAP206|SPEM3|STK36|CFAP298|TSSK4|CFAP45|CLXN|CYB5D1|DRC1|BBS4|IQCF1|IRGC|IQUB|ODAD2|RSPH4A|PGAM4|CEP131|ROPN1B|CFAP221|CFAP54|DEFB1|DNAH9|SPAG16|TLE6|DZIP1|EPPIN|CFAP126|CFAP161|DNAAF2|CFAP46|CFAP70|CFAP91|HOATZ|LRRC23|OFD1|SPACA9|UBE2B|KLC3|TEKT1|TEKT4|TEKT5|TTC29|JHY|TACR2|DNAI3|STARD7|KATNIP|PLA2G3|TUBA1A|DYNC2H1|CCDC159|CEP128|CFAP119|CFAP157|CFAP47|CFAP53|TAC4|CFAP57|RNASE10|CFAP61|CFAP65|CFAP97D1|DNAH1|CABS1|DNAI1|DNALI1|CFAP107|DNHD1|CFAP141|DRC7|CFAP144|MEIG1|CFAP210|TTC12|CFAP251|TTLL5|CFAP276|SEMG1|ZMYND12|CFAP68|SEMG2|CFAP77|CFAP90|CFAP95|CIMAP1A|DAW1|CIMIP2A|PACRG|CIMIP2C|DNAH10|BBOF1|DNAH14|BBS1|DNAH3|BBS2|DNAH6|TAC1|EFCAB6|GARIN2|CCDC39|KIF9|CCDC88C|RIBC1|RIBC2|SAXO4|SPMIP10|SPMIP11|SPMIP6|SPMIP8|TEKTIP1|TEKTL1|TTLL9|GAS2L2|INTS13|ARMC2|CCDC146|ING2|CFAP43|CFAP44|DNAH5|DPCD|KIF27|TSSK6|SLC22A14|RSPH6A|CATSPER1|CATSPER2|CATSPER3|CATSPER4|SEPTIN4|SPEF1|SPAG17|ARMC12|PRSS55|SPA17|TEX101|DDX4|APOB|PRDM14|TACR1|CFAP20|TPPP2|ARMC3|EFHC1|ATP1A4|CELF3|TTLL3|TTLL6|TTLL8|CABYR|CATSPERD|CATSPERE|EFHB|EFCAB9|CFAP69|ATP2B4|SLIRP|VDAC3|CEP78|RFX3|ADAM7|PLTP|AQP4|HYDIN|AKAP3|CFAP58|CELSR2|IFT81|SPEF2|MKKS|TTC21A|CCDC38|NEK10|SLC9B1|SLC9B2|TTLL1|SLC9C1|CFAP100|CFAP73|DNAAF5|DNAAF6|DNAH2|DNAH7|TEKT2|LZTFL1|GARIN3|KIAA0319L|PDCL2|PIERCE1|PFN4|CCNYL1|TPGS1|ROPN1|ROPN1L|POC1B|ASH1L|CCDC40|DNAI4|DNAAF1|NEURL1|SMCP|TEKT3|VPS13A|CAMSAP3|CWH43|YIF1B|CATSPERZ|DNAAF4|QRICH2|TUBB4B|SORD|TMEM232|EFHC2|CFAP52|DNAI2|ENKUR|MNS1|PIERCE2|ODAD3|LDHC|TMF1|NME5|NME7|RSPH9|TBC1D21|SPAG6|SPAG8|LRRC46|DNAAF3|GMNC|NME8|ZMYND10|CCDC63|DNAH17|DNAH8|ODAD1|NPHP3|INPP5B|NPHP4|DNAH11|TAC3|TACR3|NHERF1|SLC22A16|ADCY3|VANGL1|GAPDHS|DNAAF11|FSIP2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CILIUM_MOVEMENT,252,ENR,GOBP_CILIUM_MOVEMENT,1,0,GOBP_CILIUM_MOVEMENT,FALSE,GOBP_CILIUM_MOVEMENT
