species,threshold,subset,subset_description,retained_donor_variant_calls,Embryoblast_count,Embryoblast_percent,Germ_layer_specific_count,Germ_layer_specific_percent,Tissue_specific_count,Tissue_specific_percent,Adult_cell_type_specific_count,Adult_cell_type_specific_percent
Tabula Muris,1,all_substitutions,All pyrimidine-normalized substitution classes,10240,338,3.3,390,3.81,2122,20.72,7390,72.17
Tabula Muris,1,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",3300,83,2.52,144,4.36,741,22.45,2332,70.67
Tabula Muris,1,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,1350,39,2.89,63,4.67,391,28.96,857,63.48
Tabula Muris,2,all_substitutions,All pyrimidine-normalized substitution classes,10166,212,2.09,244,2.4,282,2.77,9428,92.74
Tabula Muris,2,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",3276,50,1.53,81,2.47,99,3.02,3046,92.98
Tabula Muris,2,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,1341,22,1.64,37,2.76,54,4.03,1228,91.57
Tabula Muris,3,all_substitutions,All pyrimidine-normalized substitution classes,5481,130,2.37,138,2.52,49,0.89,5164,94.22
Tabula Muris,3,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",1907,38,1.99,62,3.25,15,0.79,1792,93.97
Tabula Muris,3,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,864,13,1.5,26,3.01,10,1.16,815,94.33
Tabula Muris,5,all_substitutions,All pyrimidine-normalized substitution classes,1935,29,1.5,37,1.91,1,0.05,1868,96.54
Tabula Muris,5,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",778,10,1.29,22,2.83,0,0.0,746,95.89
Tabula Muris,5,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,298,2,0.67,8,2.68,0,0.0,288,96.64
Tabula Muris,10,all_substitutions,All pyrimidine-normalized substitution classes,507,3,0.59,11,2.17,0,0.0,493,97.24
Tabula Muris,10,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",252,2,0.79,7,2.78,0,0.0,243,96.43
Tabula Muris,10,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,81,1,1.23,1,1.23,0,0.0,79,97.53
Tabula Sapiens,1,all_substitutions,All pyrimidine-normalized substitution classes,17999,2954,16.41,5569,30.94,1424,7.91,8052,44.74
Tabula Sapiens,1,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",9447,1690,17.89,2719,28.78,747,7.91,4291,45.42
Tabula Sapiens,1,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,5426,881,16.24,1639,30.21,489,9.01,2417,44.54
Tabula Sapiens,2,all_substitutions,All pyrimidine-normalized substitution classes,15165,562,3.71,912,6.01,403,2.66,13288,87.62
Tabula Sapiens,2,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",8094,336,4.15,545,6.73,232,2.87,6981,86.25
Tabula Sapiens,2,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,4774,169,3.54,286,5.99,119,2.49,4200,87.98
Tabula Sapiens,3,all_substitutions,All pyrimidine-normalized substitution classes,7037,105,1.49,191,2.71,74,1.05,6667,94.74
Tabula Sapiens,3,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",3910,62,1.59,123,3.15,46,1.18,3679,94.09
Tabula Sapiens,3,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,2523,27,1.07,59,2.34,20,0.79,2417,95.8
Tabula Sapiens,5,all_substitutions,All pyrimidine-normalized substitution classes,2122,3,0.14,20,0.94,2,0.09,2097,98.82
Tabula Sapiens,5,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",1229,3,0.24,14,1.14,2,0.16,1210,98.45
Tabula Sapiens,5,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,751,2,0.27,7,0.93,1,0.13,741,98.67
Tabula Sapiens,10,all_substitutions,All pyrimidine-normalized substitution classes,473,1,0.21,4,0.85,0,0.0,468,98.94
Tabula Sapiens,10,exclude_T_to_C,"Exclude T>C, the primary A-to-I editing-sensitive class after pyrimidine normalization",292,1,0.34,4,1.37,0,0.0,287,98.29
Tabula Sapiens,10,exclude_C_to_T_and_T_to_C,Exclude both transition classes C>T and T>C as a broader conservative sensitivity analysis,168,1,0.6,2,1.19,0,0.0,165,98.21
