tissue,cell_type_stage,weight
Bladder,B_cell,0.0013020833333333333
Bladder,bladder_cell,0.2942708333333333
Bladder,bladder_urothelial_cell,0.5377604166666666
Bladder,endothelial_cell,0.13411458333333334
Bladder,leukocyte,0.022135416666666668
Bladder,mesenchymal_stem_cell_of_adipose,0.0013020833333333333
Bladder,myeloid_cell,0.0026041666666666665
Bladder,pancreatic_B_cell,0.0026041666666666665
Bladder,podocyte,0.0013020833333333333
Bladder,thymocyte,0.0026041666666666665
Fat,B_cell,0.06496062992125984
Fat,T_cell,0.03740157480314961
Fat,basal_cell_of_epidermis,0.001968503937007874
Fat,endothelial_cell,0.30866141732283464
Fat,epidermal_cell,0.0003937007874015748
Fat,epithelial_cell,0.015748031496062992
Fat,epithelial_cell_of_proximal_tubule,0.0003937007874015748
Fat,erythroblast,0.002362204724409449
Fat,keratinocyte_stem_cell,0.0003937007874015748
Fat,kidney_cortex_artery_cell,0.0007874015748031496
Fat,luminal_epithelial_cell_of_mammary_gland,0.0003937007874015748
Fat,lymphocyte,0.0066929133858267716
Fat,macrophage,0.0003937007874015748
Fat,mesenchymal_stem_cell,0.0011811023622047244
Fat,mesenchymal_stem_cell_of_adipose,0.25708661417322837
Fat,myeloid_cell,0.2996062992125984
Fat,pancreatic_B_cell,0.0011811023622047244
Fat,pancreatic_D_cell,0.0003937007874015748
Heart_and_Aorta,DN4_thymocyte,0.0003489183531053733
Heart_and_Aorta,Kupffer_cell,0.0003489183531053733
Heart_and_Aorta,cardiac_neuron,0.0017445917655268667
Heart_and_Aorta,cardiomyocyte,0.00314026517794836
Heart_and_Aorta,endocardial_cell,0.04919748778785764
Heart_and_Aorta,endothelial_cell,0.0003489183531053733
Heart_and_Aorta,endothelial_cell_of_coronary_artery,0.5352407536636427
Heart_and_Aorta,epithelial_cell_of_proximal_tubule,0.0003489183531053733
Heart_and_Aorta,erythrocyte,0.021632937892533146
Heart_and_Aorta,fibroblast_of_cardiac_tissue,0.2274947662247034
Heart_and_Aorta,fibroblast_of_lung,0.0003489183531053733
Heart_and_Aorta,keratinocyte,0.00104675505931612
Heart_and_Aorta,kidney_collecting_duct_principal_cell,0.0003489183531053733
Heart_and_Aorta,kidney_proximal_convoluted_tubule_epithelial_cell,0.0003489183531053733
Heart_and_Aorta,leukocyte,0.11584089323098395
Heart_and_Aorta,luminal_epithelial_cell_of_mammary_gland,0.0003489183531053733
Heart_and_Aorta,macrophage,0.0003489183531053733
Heart_and_Aorta,mast_cell,0.0034891835310537334
Heart_and_Aorta,mesenchymal_stem_cell,0.0006978367062107466
Heart_and_Aorta,pancreatic_B_cell,0.0003489183531053733
Heart_and_Aorta,smooth_muscle_cell,0.03698534542916958
Kidney,B_cell,0.010056843025797988
Kidney,"CD8-positive,_alpha-beta_T_cell",0.00043725404459991256
Kidney,Kupffer_cell,0.00043725404459991256
Kidney,NK_cell,0.0008745080891998251
Kidney,T_cell,0.007433318758198513
Kidney,basal_cell,0.00043725404459991256
Kidney,brush_cell,0.016178399650196764
Kidney,endothelial_cell,0.00043725404459991256
Kidney,endothelial_cell_of_hepatic_sinusoid,0.00043725404459991256
Kidney,enterocyte_of_epithelium_of_large_intestine,0.00043725404459991256
Kidney,epidermal_cell,0.00043725404459991256
Kidney,epithelial_cell_of_proximal_tubule,0.14079580236117184
Kidney,fenestrated_cell,0.14167031045037168
Kidney,fibroblast,0.011368605159597726
Kidney,fibroblast_of_lung,0.00043725404459991256
Kidney,hematopoietic_precursor_cell,0.00043725404459991256
Kidney,keratinocyte,0.00043725404459991256
Kidney,kidney_capillary_endothelial_cell,0.008307826847398338
