species,dataset,donor,stage_label,n_variants,n_unique_exact_sites,exact_site_same_site_pairs,total_site_pairs,exact_site_collision_rate,same_window_pairs_10bp,empirical_same_window_probability_10bp,top_10bp_chrom,top_10bp_start,top_10bp_end,top_10bp_n_unique_sites,top_window_pairs_10bp,top_window_pair_fraction_10bp,top_two_germ_layer_10bp_chrom,top_two_germ_layer_10bp_start,top_two_germ_layer_10bp_end,top_two_germ_layer_10bp_n_unique_sites,top_two_germ_layer_10bp_n_germ_layers,top_two_germ_layer_10bp_germ_layers,top_two_germ_layer_10bp_window_pairs,top_two_germ_layer_10bp_window_pair_fraction,top_two_germ_layer_10bp_mutation_frequency_per_bp,top_two_germ_layer_10bp_mutation_frequency_per_kb,top_two_germ_layer_10bp_random_exact_site_probability,top_two_germ_layer_10bp_uniform_same_position_probability_given_window_hits,same_window_pairs_100bp,empirical_same_window_probability_100bp,top_100bp_chrom,top_100bp_start,top_100bp_end,top_100bp_n_unique_sites,top_window_pairs_100bp,top_window_pair_fraction_100bp,top_two_germ_layer_100bp_chrom,top_two_germ_layer_100bp_start,top_two_germ_layer_100bp_end,top_two_germ_layer_100bp_n_unique_sites,top_two_germ_layer_100bp_n_germ_layers,top_two_germ_layer_100bp_germ_layers,top_two_germ_layer_100bp_window_pairs,top_two_germ_layer_100bp_window_pair_fraction,top_two_germ_layer_100bp_mutation_frequency_per_bp,top_two_germ_layer_100bp_mutation_frequency_per_kb,top_two_germ_layer_100bp_random_exact_site_probability,top_two_germ_layer_100bp_uniform_same_position_probability_given_window_hits,same_window_pairs_1kb,empirical_same_window_probability_1kb,top_1kb_chrom,top_1kb_start,top_1kb_end,top_1kb_n_unique_sites,top_window_pairs_1kb,top_window_pair_fraction_1kb,top_two_germ_layer_1kb_chrom,top_two_germ_layer_1kb_start,top_two_germ_layer_1kb_end,top_two_germ_layer_1kb_n_unique_sites,top_two_germ_layer_1kb_n_germ_layers,top_two_germ_layer_1kb_germ_layers,top_two_germ_layer_1kb_window_pairs,top_two_germ_layer_1kb_window_pair_fraction,top_two_germ_layer_1kb_mutation_frequency_per_bp,top_two_germ_layer_1kb_mutation_frequency_per_kb,top_two_germ_layer_1kb_random_exact_site_probability,top_two_germ_layer_1kb_uniform_same_position_probability_given_window_hits
Mouse,TabMur,1-M-62,Embryoblast,17,17,0,136,0.0,0,0.0,chr1,59843831,59843840,1,0,0.0,chr1,59843831,59843840,1,2,Ectoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,0,0.0,chr1,59843801,59843900,1,0,0.0,chr1,59843801,59843900,1,2,Ectoderm;Mesoderm,0,0.0,0.01,10.0,0.0,0.01,0,0.0,chr1,59843001,59844000,1,0,0.0,chr1,59843001,59844000,1,2,Ectoderm;Mesoderm,0,0.0,0.001,1.0,0.0,0.001
Mouse,TabMur,1-M-62,Germ layer-specific,7,7,0,21,0.0,0,0.0,chr4,150478461,150478470,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr4,150478401,150478500,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,chr4,150478001,150479000,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,1-M-62,Tissue-specific,182,182,0,16471,0.0,3,0.00018213830368526501,chr2,76386251,76386260,2,1,6.0712767895088334e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,10,0.0006071276789508834,chr2,76386201,76386300,2,1,6.0712767895088334e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,14,0.0008499787505312367,chr17,39848001,39849000,3,3,0.00018213830368526501,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,1-M-62,Adult-specific,903,903,0,407253,0.0,3,7.366428239939301e-06,chr4,129830881,129830890,2,1,2.455476079979767e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,68,0.00016697237343862414,chr4,3793301,3793400,4,6,1.4732856479878602e-05,chr16,32903801,32903900,3,2,Ectoderm;Mesoderm,3,7.366428239939301e-06,0.03,30.0,7.366428239939301e-08,0.01,102,0.0002504585601579362,chr4,3793001,3794000,6,15,3.68321411996965e-05,chr15,100064001,100065000,3,2,Ectoderm;Mesoderm,3,7.366428239939301e-06,0.003,3.0,7.366428239939301e-09,0.001
Mouse,TabMur,1-M-63,Embryoblast,77,77,0,2926,0.0,0,0.0,chr1,36528711,36528720,1,0,0.0,chr17,56090161,56090170,1,3,Ectoderm;Endoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,3,0.0010252904989747095,chr11,76346101,76346200,2,1,0.0003417634996582365,chr17,56090101,56090200,2,3,Ectoderm;Endoderm;Mesoderm,1,0.0003417634996582365,0.02,20.0,3.4176349965823652e-06,0.01,4,0.001367053998632946,chr4,41362001,41363000,2,1,0.0003417634996582365,chr17,56090001,56091000,2,3,Ectoderm;Endoderm;Mesoderm,1,0.0003417634996582365,0.002,2.0,3.417634996582365e-07,0.001
Mouse,TabMur,1-M-63,Germ layer-specific,60,60,0,1770,0.0,0,0.0,chr1,74252241,74252250,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,2,0.0011299435028248588,chr4,126389401,126389500,2,1,0.0005649717514124294,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,5,0.002824858757062147,chr4,126389001,126390000,3,3,0.001694915254237288,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,1-M-63,Tissue-specific,174,174,0,15051,0.0,3,0.00019932230416583617,chr5,147613111,147613120,2,1,6.644076805527871e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,8,0.0005315261444422297,chr1,86347901,86348000,2,1,6.644076805527871e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,12,0.0007972892166633447,chr1,86347001,86348000,2,1,6.644076805527871e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,1-M-63,Adult-specific,1128,1128,0,635628,0.0,15,2.3598708678661104e-05,chr2,122030071,122030080,2,1,1.5732472452440736e-06,chr5,107905431,107905440,2,2,Ectoderm;Mesoderm,1,1.5732472452440736e-06,0.2,200.0,1.5732472452440735e-07,0.1,119,0.00018721642218404475,chr3,95887001,95887100,4,6,9.43948347146444e-06,chr5,107905401,107905500,4,2,Ectoderm;Mesoderm,6,9.43948347146444e-06,0.04,40.0,9.439483471464441e-08,0.01,182,0.0002863309986344214,chr3,95887001,95888000,4,6,9.43948347146444e-06,chr5,107905001,107906000,4,2,Ectoderm;Mesoderm,6,9.43948347146444e-06,0.004,4.0,9.43948347146444e-09,0.001
Mouse,TabMur,18-F-50,Embryoblast,83,83,0,3403,0.0,1,0.0002938583602703497,chr7,19699731,19699740,2,1,0.0002938583602703497,chr7,19699731,19699740,2,2,Ectoderm;Mesoderm,1,0.0002938583602703497,0.2,200.0,2.9385836027034972e-05,0.1,4,0.0011754334410813989,chr6,99147601,99147700,2,1,0.0002938583602703497,chr13,55344001,55344100,2,3,Ectoderm;Endoderm;Mesoderm,1,0.0002938583602703497,0.02,20.0,2.938583602703497e-06,0.01,5,0.0014692918013517484,chr4,126389001,126390000,2,1,0.0002938583602703497,chr13,55344001,55345000,2,3,Ectoderm;Endoderm;Mesoderm,1,0.0002938583602703497,0.002,2.0,2.938583602703497e-07,0.001
Mouse,TabMur,18-F-50,Germ layer-specific,34,34,0,561,0.0,0,0.0,chr1,13625031,13625040,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr1,13625001,13625100,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,chr1,13625001,13626000,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
