species,dataset,scope,chromosome,chrom_length_bp,observed_n_variants,expected_n_variants,observed_fraction,expected_fraction,variants_per_100mb,log2_observed_over_expected,standardized_residual
Mouse,TabMur,Overall,chr1,195471971,583,794.1919466255758,0.05826504097541475,0.07937157171952587,298.25247937976746,-0.44566306835989705,-7.494015962389824
Mouse,TabMur,Overall,chr2,182113224,935,739.9160868686362,0.09344393363981611,0.07394724034265802,513.4168620286465,0.33740141277745284,7.171833914083032
Mouse,TabMur,Overall,chr3,160039680,441,650.2324826741234,0.04407355586648011,0.06498425771278467,275.556661947837,-0.559651132798175,-8.205305922619072
Mouse,TabMur,Overall,chr4,156508116,810,635.8839309434366,0.08095142914251449,0.06355026293658171,517.545045395601,0.34891477848507907,6.904781318138614
Mouse,TabMur,Overall,chr5,151834684,729,616.896031867603,0.07285628622826304,0.06165261161978843,480.127452302005,0.24071176766069521,4.513516112925214
Mouse,TabMur,Overall,chr6,149736546,560,608.3714117188192,0.055966420147911256,0.060800660775416675,373.9901947517876,-0.1194232027796831,-1.9611208798272057
Mouse,TabMur,Overall,chr7,145441459,691,590.9207077227143,0.06905856486108335,0.05905663679019731,475.1052449219448,0.2255444931967874,4.116988187184646
Mouse,TabMur,Overall,chr8,129401213,629,525.7500639218539,0.06286228263042175,0.05254348030400299,486.0850879349948,0.25845787452585467,4.502981102484828
Mouse,TabMur,Overall,chr9,124595110,435,506.22312981602744,0.04347391565060964,0.050591957806918594,349.1308768056788,-0.21852496460367876,-3.1655564463545898
Mouse,TabMur,Overall,chr10,130694993,485,531.0066214295554,0.04847091744953028,0.053068820850445265,371.09302266843537,-0.1306163691017145,-1.9965048660352769
Mouse,TabMur,Overall,chr11,122082543,996,496.0147072654758,0.0995402758344993,0.04957172768993362,815.841459003684,1.0050333525982709,22.449669544162344
Mouse,TabMur,Overall,chr12,120129022,411,488.07765809250793,0.041075354787127726,0.04877849871002478,342.1321452196623,-0.24769546223353564,-3.488864049400951
Mouse,TabMur,Overall,chr13,120421639,346,489.2665449884493,0.034579252448530884,0.048897316109179426,287.32377575428944,-0.49923887717909754,-6.476972114324069
Mouse,TabMur,Overall,chr14,124902244,332,507.47099849043144,0.0331800919448331,0.05071666984713486,265.80787451665,-0.6113917911702242,-7.789323365646934
Mouse,TabMur,Overall,chr15,104043685,382,422.72381202033426,0.03817709374375375,0.04224703298224408,367.15347019859973,-0.14596105289147293,-1.9807062315785353
Mouse,TabMur,Overall,chr16,98207768,271,399.01279985391324,0.02708374975014991,0.03987735357324738,275.94558507836166,-0.557289527876917,-6.408553033672607
Mouse,TabMur,Overall,chr17,94987271,379,385.9280963619133,0.03787727363581851,0.03856966783549003,399.00083033230845,-0.026100107622943847,-0.3526636685961532
Mouse,TabMur,Overall,chr18,90702639,307,368.5198704600307,0.030681591045372776,0.03682988911253555,338.4686524942235,-0.26311209212735,-3.2046821207987968
Mouse,TabMur,Overall,chr19,61431566,284,249.5930988785985,0.02838297021786928,0.024944343281890716,462.30304465948336,0.18596340449313495,2.1778565617475323
Mouse,TabMur,Embryoblast,chr1,195471971,28,35.24097784346949,0.06306306306306306,0.07937157171952587,14.324304326987116,-0.3266171865800829,-1.219756787218979
Mouse,TabMur,Embryoblast,chr2,182113224,32,32.832574712140165,0.07207207207207207,0.07394724034265802,17.571486187076673,-0.03649304188048346,-0.1453017166641966
Mouse,TabMur,Embryoblast,chr3,160039680,22,28.85301042447639,0.04954954954954955,0.06498425771278467,13.746590845470324,-0.38358347128795633,-1.2758094836210774
Mouse,TabMur,Embryoblast,chr4,156508116,42,28.21631674384228,0.0945945945945946,0.06355026293658171,26.835669020512647,0.5655921253819536,2.5948671237610403
