species,dataset,plot_label,scope,rank_within_scope,chromosome,region,bin_size_bp,n_stage_timing_donors,n_unique_donor_variants,mean_n_variants,sem_n_variants,mean_variants_per_100mb,sem_variants_per_100mb
Mouse,TabMur,Mouse (TabMur),Adult-specific,1,chr4,chr4:130.0-140.0 Mb,10000000,9,7319,19.11111111111111,2.8404051180364926,191.11111111111111,28.404051180364927
Mouse,TabMur,Mouse (TabMur),Adult-specific,2,chr11,chr11:120.0-122.1 Mb,10000000,9,7319,3.0,0.5270462766947299,144.0546485714821,25.307822056722475
Mouse,TabMur,Mouse (TabMur),Adult-specific,3,chr11,chr11:80.0-90.0 Mb,10000000,9,7319,13.777777777777779,1.7699480357859991,137.77777777777777,17.69948035785999
Mouse,TabMur,Mouse (TabMur),Adult-specific,4,chr11,chr11:100.0-110.0 Mb,10000000,9,7319,13.555555555555555,2.550114981673,135.55555555555554,25.501149816730003
Mouse,TabMur,Mouse (TabMur),Adult-specific,5,chr2,chr2:150.0-160.0 Mb,10000000,9,7319,13.555555555555555,1.667592335533737,135.55555555555554,16.67592335533737
Mouse,TabMur,Mouse (TabMur),Adult-specific,6,chr11,chr11:70.0-80.0 Mb,10000000,9,7319,12.666666666666666,2.0,126.66666666666667,20.0
Mouse,TabMur,Mouse (TabMur),Adult-specific,7,chr2,chr2:160.0-170.0 Mb,10000000,9,7319,12.11111111111111,1.0061539042374907,121.11111111111111,10.061539042374907
Mouse,TabMur,Mouse (TabMur),Adult-specific,8,chr18,chr18:30.0-40.0 Mb,10000000,9,7319,11.222222222222221,0.7777777777777778,112.22222222222223,7.777777777777778
Mouse,TabMur,Mouse (TabMur),Adult-specific,9,chr1,chr1:80.0-90.0 Mb,10000000,9,7319,11.11111111111111,1.2069756101333573,111.11111111111111,12.069756101333573
Mouse,TabMur,Mouse (TabMur),Adult-specific,10,chr2,chr2:180.0-182.1 Mb,10000000,9,7319,2.3333333333333335,0.5270462766947299,110.41580700074073,24.940388557707553
Mouse,TabMur,Mouse (TabMur),Embryoblast,1,chr5,chr5:100.0-110.0 Mb,10000000,9,444,1.3333333333333333,0.47140452079103173,13.333333333333334,4.714045207910316
Mouse,TabMur,Mouse (TabMur),Embryoblast,2,chr4,chr4:130.0-140.0 Mb,10000000,9,444,1.2222222222222223,0.4006168083848877,12.222222222222221,4.006168083848877
Mouse,TabMur,Mouse (TabMur),Embryoblast,3,chr18,chr18:30.0-40.0 Mb,10000000,9,444,1.1111111111111112,0.20030840419244386,11.11111111111111,2.0030840419244385
Mouse,TabMur,Mouse (TabMur),Embryoblast,4,chr9,chr9:120.0-124.6 Mb,10000000,9,444,0.4444444444444444,0.17568209223157663,9.672117630360198,3.8232401886260967
Mouse,TabMur,Mouse (TabMur),Embryoblast,5,chr4,chr4:40.0-50.0 Mb,10000000,9,444,0.8888888888888888,0.35136418446315326,8.88888888888889,3.5136418446315325
Mouse,TabMur,Mouse (TabMur),Embryoblast,6,chr7,chr7:120.0-130.0 Mb,10000000,9,444,0.8888888888888888,0.4230985058813282,8.88888888888889,4.230985058813282
Mouse,TabMur,Mouse (TabMur),Embryoblast,7,chr4,chr4:150.0-156.5 Mb,10000000,9,444,0.5555555555555556,0.2939723678960657,8.53634992915854,4.517011803355466
Mouse,TabMur,Mouse (TabMur),Embryoblast,8,chr1,chr1:80.0-90.0 Mb,10000000,9,444,0.7777777777777778,0.2777777777777778,7.777777777777778,2.777777777777778
Mouse,TabMur,Mouse (TabMur),Embryoblast,9,chr11,chr11:110.0-120.0 Mb,10000000,9,444,0.7777777777777778,0.32394177193585005,7.777777777777778,3.2394177193585
Mouse,TabMur,Mouse (TabMur),Embryoblast,10,chr2,chr2:160.0-170.0 Mb,10000000,9,444,0.7777777777777778,0.32394177193585005,7.777777777777778,3.2394177193585008
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,1,chr1,chr1:80.0-90.0 Mb,10000000,9,348,2.4444444444444446,0.7657804862272345,24.444444444444443,7.657804862272346
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,2,chr9,chr9:120.0-124.6 Mb,10000000,9,348,0.5555555555555556,0.2421610524189263,12.090147037950247,5.269972915097273
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,3,chr4,chr4:120.0-130.0 Mb,10000000,9,348,1.1111111111111112,0.4547418206595806,11.11111111111111,4.547418206595806
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,4,chr4,chr4:130.0-140.0 Mb,10000000,9,348,1.1111111111111112,0.35136418446315326,11.11111111111111,3.5136418446315325
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,5,chr9,chr9:70.0-80.0 Mb,10000000,9,348,0.8888888888888888,0.26057865332352387,8.88888888888889,2.605786533235239
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,6,chr11,chr11:100.0-110.0 Mb,10000000,9,348,0.7777777777777778,0.22222222222222224,7.777777777777778,2.2222222222222223
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,7,chr18,chr18:30.0-40.0 Mb,10000000,9,348,0.7777777777777778,0.43390275977259196,7.777777777777778,4.339027597725919
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,8,chr15,chr15:70.0-80.0 Mb,10000000,9,348,0.6666666666666666,0.44095855184409843,6.666666666666667,4.409585518440985
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,9,chr2,chr2:150.0-160.0 Mb,10000000,9,348,0.6666666666666666,0.23570226039551587,6.666666666666667,2.3570226039551585
Mouse,TabMur,Mouse (TabMur),Germ layer-specific,10,chr5,chr5:80.0-90.0 Mb,10000000,9,348,0.6666666666666666,0.23570226039551587,6.666666666666667,2.3570226039551585
Mouse,TabMur,Mouse (TabMur),Overall,1,chr4,chr4:130.0-140.0 Mb,10000000,9,10006,25.666666666666668,3.4840908267278117,256.6666666666667,34.84090826727812
Mouse,TabMur,Mouse (TabMur),Overall,2,chr1,chr1:80.0-90.0 Mb,10000000,9,10006,20.444444444444443,2.4216105241892634,204.44444444444446,24.21610524189263
Mouse,TabMur,Mouse (TabMur),Overall,3,chr11,chr11:120.0-122.1 Mb,10000000,9,10006,4.222222222222222,0.7777777777777778,202.7435794709748,37.34750148149536
Mouse,TabMur,Mouse (TabMur),Overall,4,chr11,chr11:80.0-90.0 Mb,10000000,9,10006,17.77777777777778,1.738276427462446,177.77777777777777,17.38276427462446
Mouse,TabMur,Mouse (TabMur),Overall,5,chr11,chr11:100.0-110.0 Mb,10000000,9,10006,17.555555555555557,2.4614308796528577,175.55555555555554,24.61430879652858
Mouse,TabMur,Mouse (TabMur),Overall,6,chr2,chr2:160.0-170.0 Mb,10000000,9,10006,17.0,1.3333333333333333,170.0,13.333333333333334
Mouse,TabMur,Mouse (TabMur),Overall,7,chr2,chr2:150.0-160.0 Mb,10000000,9,10006,16.88888888888889,2.0030840419244385,168.88888888888889,20.030840419244385
